description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Agua de Mesa San Carlos Botella 500ml,S/ 0.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,500.0,ml,0.9,wong,,,AGUA DE MESA SIN GAS
Agua de Mesa SAN CARLOS con Gas Botella 500ml,S/ 0.90 un,plaza_vea,AGUA DE MESA SIN GAS,2024-12-04 14:42:12.693145,500.0,ml,0.9,plaza_vea,Botella 500ml,,AGUA DE MESA SIN GAS
Agua de Mesa LOA Sin Gas Botella 625ml,S/ 1.30,vivanda,AGUA DE MESA SIN GAS,2024-12-04 18:18:45.823035,625.0,ml,1.3,vivanda,,LOA,AGUA DE MESA SIN GAS
Agua de Mesa LOA Sin Gas Botella 625ml,S/ 1.30 un,plaza_vea,AGUA DE MESA SIN GAS,2024-12-04 14:42:12.693145,625.0,ml,1.3,plaza_vea,Botella 625ml,,AGUA DE MESA SIN GAS
Agua de Mesa CIELO Sin gas Botella 625ml,S/ 1.30 un,plaza_vea,AGUA DE MESA SIN GAS,2024-12-04 14:42:12.693145,625.0,ml,1.3,plaza_vea,Botella 625ml,,AGUA DE MESA SIN GAS
Agua Mineral sin gas 625 mL,S/ 1.50,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,625.0,ml,1.5,tottus,,CIELO,AGUA DE MESA SIN GAS
Agua de Mesa Cuisine & Co Botella Sport 1L,S/ 1.60,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,1.0,l,1.6,metro,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 1.70,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,750.0,ml,1.7,wong,,,AGUA DE MESA SIN GAS
AGUA MESA SIN GAS BOTELLA X 750ML,S/ 1.80,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,750.0,ml,1.8,tottus,,SAN LUIS,AGUA DE MESA SIN GAS
Agua Mineral Sin Gas 600 mL,S/ 2.20,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,600.0,ml,2.2,tottus,,SAN MATEO,AGUA DE MESA SIN GAS
AGUA MESA SIN GAS BOTELLA X 1L,S/ 2.50,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,1.0,l,2.5,tottus,,SAN LUIS,AGUA DE MESA SIN GAS
Agua Mineral sin gas con Tapa Deportiva 1 L,S/ 2.50,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,1.0,l,2.5,tottus,,CIELO,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas Benedictino Botella 3L,S/ 2.70,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,3.0,l,2.7,wong,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas Benedictino Botella 3L,S/ 2.70,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,3.0,l,2.7,metro,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas San Luis Botella 1L,S/ 2.80,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,1.0,l,2.8,metro,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas San Luis Botella 1L,S/ 2.80,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,1.0,l,2.8,wong,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas San Luis Botella 2.5L,S/ 3.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,3.0,wong,,,AGUA DE MESA SIN GAS
Agua Mineral Sin Gas 2.5 L,S/ 3.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,2.5,l,3.9,tottus,,SAN MATEO,AGUA DE MESA SIN GAS
Sixpack Agua de Mesa Cuisine & Co Botella 625ml,S/ 5.50,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,625.0,ml,5.5,metro,,,AGUA DE MESA SIN GAS
Sixpack Agua de Mesa Cuisine & Co Botella 625ml,S/ 5.50,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,625.0,ml,5.5,wong,,,AGUA DE MESA SIN GAS
Agua Mineral sin gas Bidón Descartable 7 L,S/ 6.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,7.0,l,6.9,tottus,,CIELO,AGUA DE MESA SIN GAS
Agua Mineral sin gas Pack 6 Unidades 625 mL,S/ 6.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,6.0,un,6.9,tottus,,CIELO,AGUA DE MESA SIN GAS
Agua de Mesa sin Gas Benedictino Bidón 7 Lt,S/ 7.10,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,7.0,l,7.1,metro,,,AGUA DE MESA SIN GAS
Agua de Mesa Sin Gas San Luis Bidón 7L,S/ 7.50,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,7.0,l,7.5,wong,,,AGUA DE MESA SIN GAS
Agua de Mesa SAN LUIS Sin Gas Bidón 7L,S/ 7.50 un,plaza_vea,AGUA DE MESA SIN GAS,2024-12-04 14:42:12.693145,7.0,l,7.5,plaza_vea,Bidón 7L,,AGUA DE MESA SIN GAS
Six Pack Agua sin gas de 750 mL,S/ 8.50,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,750.0,ml,8.5,tottus,,SAN LUIS,AGUA DE MESA SIN GAS
Agua Mineral Sin Gas 7 L,S/ 8.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,7.0,l,8.9,tottus,,SAN MATEO,AGUA DE MESA SIN GAS
Sixpack Agua de Mesa Cuisine & Co Botella 2.5L,S/ 10.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,10.9,wong,,,AGUA DE MESA SIN GAS
Sixpack Agua de Mesa Sin Gas San Luis Botella 1L,S/ 11.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,1.0,l,11.0,wong,,,AGUA DE MESA SIN GAS
Agua sin gas Pack 6 Unidades 600 mL,S/ 11.20,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,6.0,un,11.2,tottus,,SAN MATEO,AGUA DE MESA SIN GAS
Sin gas 20 unidades de 500 mL,S/ 12.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,20.0,un,12.9,tottus,,SAN CARLOS,AGUA DE MESA SIN GAS
Agua de Mesa SAN CARLOS sin Gas Botella 500ml ...,S/ 12.90 un,plaza_vea,AGUA DE MESA SIN GAS,2024-12-04 14:42:12.693145,20.0,un,12.9,plaza_vea,Paquete 20un,,AGUA DE MESA SIN GAS
Sixpack Agua de Mesa Sin Gas San Luis Botella 2.5L,S/ 14.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,14.9,wong,,,AGUA DE MESA SIN GAS
Pack de Agua Sin Gas 6 Unidades 2.5 L,S/ 14.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,6.0,un,14.9,tottus,,SAN LUIS,AGUA DE MESA SIN GAS
Pack x15 Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 17.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,750.0,ml,17.9,wong,,,AGUA DE MESA SIN GAS
Pack de Agua sin Gas de 15 unidades,S/ 17.90,tottus,AGUA DE MESA SIN GAS,2024-12-04 14:00:35.589378,15.0,un,17.9,tottus,,SAN LUIS,AGUA DE MESA SIN GAS
Pack x15 Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 17.90,metro,AGUA DE MESA SIN GAS,2024-12-04 22:23:24.773957,750.0,ml,17.9,metro,,,AGUA DE MESA SIN GAS
