description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Orégano Entero KARIÑO Sobre 4g,S/ 0.70,vega,AJO ENTERO,2024-12-04 14:13:12.942145,4.0,g,0.7,vega,,Kariño,AJO ENTERO
Clavo de Olor Entero KARIÑO Sobre 4g,S/ 0.70,vega,AJO ENTERO,2024-12-04 14:13:12.942145,4.0,g,0.7,vega,,Kariño,AJO ENTERO
Orégano VEGA Entero Sobre 7g,S/ 0.90,vega,AJO ENTERO,2024-12-04 14:13:12.942145,7.0,g,0.9,vega,,Vega,AJO ENTERO
Orégano Entero 10 g,S/ 1.40,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,10.0,g,1.4,tottus,,TOTTUS,AJO ENTERO
Vinagre VENTURO Blanco Botella 125ml,S/ 1.80,vega,AJO ENTERO,2024-12-04 14:13:12.942145,125.0,ml,1.8,vega,,Venturo,AJO ENTERO
Orégano Entero 9 g,S/ 2.10,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,9.0,g,2.1,tottus,,SIBARITA,AJO ENTERO
Laurel Entero 7 g,S/ 2.50,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,7.0,g,2.5,tottus,,TOTTUS,AJO ENTERO
"MOLIDO DOY PACK X 120 GRS PIKI, AJOS",S/ 2.80,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,120.0,g,2.8,tottus,,PIKI,AJO ENTERO
Clavo Entero 10 g,S/ 2.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,10.0,g,2.9,tottus,,TOTTUS,AJO ENTERO
Ají Panca Molido PIKI Doypack 120gr,S/ 2.90,vega,AJO ENTERO,2024-12-04 14:13:12.942145,120.0,g,2.9,vega,,Piki,AJO ENTERO
Entero De Anchoveta En Salsa De Tomate 200 g,S/ 2.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,200.0,g,2.9,tottus,,SANTORINI,AJO ENTERO
Ají Molido PIKI Doypack 120g,S/ 3.20,vega,AJO ENTERO,2024-12-04 14:13:12.942145,120.0,g,3.2,vega,,Piki,AJO ENTERO
Romero Entero Kariño 8 g,S/ 3.30,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,8.0,g,3.3,tottus,,,AJO ENTERO
Orégano Entero Kariño 18 g,S/ 3.30,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,18.0,g,3.3,tottus,,,AJO ENTERO
Ají Criollo LIBBY'S Doypack 85gr,S/ 3.50,vega,AJO ENTERO,2024-12-04 14:13:12.942145,85.0,g,3.5,vega,,Libbys,AJO ENTERO
Orégano Entero Cuatro Estaciones 10 g,S/ 3.60,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,10.0,g,3.6,tottus,,,AJO ENTERO
Hojuelas al ajo 50 gr,S/ 3.60,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,50.0,g,3.6,tottus,,EL CEDRO,AJO ENTERO
Tomillo Entero Kariño 5 g,S/ 3.70,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,5.0,g,3.7,tottus,,,AJO ENTERO
