description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Alimento Lácteo LAIVE Yopi Sabor a Fresa Botella 180g,S/ 1.99,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,180.0,g,Alimento Lácteo LAIVE Yopi Sabor a Fresa Botella,1.99,vivanda,LAIVE,ALIMENTOS EN CUBITOS
Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso 100g,S/ 2.80,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,100.0,g,Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso,2.8,vivanda,LAIVE,ALIMENTOS EN CUBITOS
Alimento para Gatos RICOCAT Adulto Trocitos Marinos Pouch 85gr,S/ 3.00,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,85.0,g,Alimento para Gatos RICOCAT Adulto Trocitos Marinos Pouch r,3.0,vega,Ricocat,ALIMENTOS EN CUBITOS
Alimento para Gatos RICOCAT Adulto Trocitos Salmón Pouch 85gr,S/ 3.00,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,85.0,g,Alimento para Gatos RICOCAT Adulto Trocitos Salmón Pouch r,3.0,vega,Ricocat,ALIMENTOS EN CUBITOS
Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch 100g,S/ 3.90,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,100.0,g,Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch,3.9,vega,Dog Chow,ALIMENTOS EN CUBITOS
Alimento húmedo para Gatos Gatitos Pollo 85 gr,S/ 3.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,Alimento húmedo para Gatos Gatitos Pollo r,3.9,tottus,CAT CHOW,ALIMENTOS EN CUBITOS
Alimento para Perro Razas Pequeñas PEDIGREE Pouch de Pollo Paquete 18un 100gr,S/ 4.20,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,18.0,un,Alimento para Perro Razas Pequeñas PEDIGREE Pouch de Pollo Paquete  r,4.2,vivanda,PEDIGREE,ALIMENTOS EN CUBITOS
Dog Chow Alimento Húmedo para Perros Adultos Cordero Doypack 100 g,S/ 4.20,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,100.0,g,Dog Chow Alimento Húmedo para Perros Adultos Cordero Doypack,4.2,metro,,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Pescado Blanco 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,Alimento húmedo para gatos Classic con Pescado Blanco r,4.5,tottus,FELIX,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Atún 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,Alimento húmedo para gatos Classic con Atún r,4.5,tottus,FELIX,ALIMENTOS EN CUBITOS
