description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Alimento Lácteo LAIVE Yopi Sabor a Fresa Botella 180g,S/ 1.99,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,180.0,g,1.99,vivanda,LAIVE,ALIMENTOS EN CUBITOS
Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso 100g,S/ 2.80,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,100.0,g,2.8,vivanda,LAIVE,ALIMENTOS EN CUBITOS
Alimento para Gatos RICOCAT Adulto Trocitos Marinos Pouch 85gr,S/ 3.00,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,85.0,g,3.0,vega,Ricocat,ALIMENTOS EN CUBITOS
Alimento para Gatos RICOCAT Adulto Trocitos Salmón Pouch 85gr,S/ 3.00,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,85.0,g,3.0,vega,Ricocat,ALIMENTOS EN CUBITOS
Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch 100g,S/ 3.90,vega,ALIMENTOS EN CUBITOS,2024-12-04 14:34:32.726772,100.0,g,3.9,vega,Dog Chow,ALIMENTOS EN CUBITOS
Alimento húmedo para Gatos Gatitos Pollo 85 gr,S/ 3.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,3.9,tottus,CAT CHOW,ALIMENTOS EN CUBITOS
Alimento para Perro Razas Pequeñas PEDIGREE Pouch de Pollo Paquete 18un 100gr,S/ 4.20,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,18.0,un,4.2,vivanda,PEDIGREE,ALIMENTOS EN CUBITOS
Dog Chow Alimento Húmedo para Perros Adultos Cordero Doypack 100 g,S/ 4.20,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,100.0,g,4.2,metro,,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Pescado Blanco 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5,tottus,FELIX,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Atún 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5,tottus,FELIX,ALIMENTOS EN CUBITOS
Caldo en cubitos MAGGI Sabor carne Caja 75.2Gr,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,75.2,g,4.5,vivanda,MAGGI,ALIMENTOS EN CUBITOS
Alimento para Gatitos WHISKAS Pouch Pollo Bolsa 85g,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,85.0,g,4.5,vivanda,WHISKAS,ALIMENTOS EN CUBITOS
Alimento húmedo para Gatos Adultos Pescado 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5,tottus,CAT CHOW,ALIMENTOS EN CUBITOS
Alimento para Gatos Felix Sabor Salmón 85g,S/ 4.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.5,metro,,ALIMENTOS EN CUBITOS
Alimento húmedo para Gatos Esterilizados con Pescado 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5,tottus,CAT CHOW,ALIMENTOS EN CUBITOS
Felix Alimento Húmedo para Gatos Adultos Carne Doypack 85 g,S/ 4.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.5,metro,,ALIMENTOS EN CUBITOS
Alimento para Gato Adulto WHISKAS Pouch de Carne Paquete 85gr,S/ 4.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,85.0,g,4.5,vivanda,WHISKAS,ALIMENTOS EN CUBITOS
Alimento húmedo para Gatos Adultos Pollo 85 gr,S/ 4.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,4.5,tottus,CAT CHOW,ALIMENTOS EN CUBITOS
Whiskas Alimento Húmedo para Gatos Adultos Sabor Atún Pouch 85g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.6,metro,,ALIMENTOS EN CUBITOS
Whiskas Alimento Húmedo para Gatos Adultos Sabor Pollo Pouch 85g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.6,metro,,ALIMENTOS EN CUBITOS
Alimento Húmedo para Gatos Adultos Whiskas Sabor Cordero 85g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.6,metro,,ALIMENTOS EN CUBITOS
Whiskas Alimento Húmedo para Gatitos Sabor Pollo Pouch 85g,S/ 4.60,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.6,metro,,ALIMENTOS EN CUBITOS
BALANZÉ Curitas Caja 100un,S/ 4.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,100.0,un,4.9,vivanda,BALANZÉ,ALIMENTOS EN CUBITOS
Alimento Húmedo para Perros DOG CHOW Adultos Minis y Pequeños con Carne 100gr,S/ 4.90,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,100.0,g,4.9,vivanda,DOG CHOW,ALIMENTOS EN CUBITOS
Felix Alimento Húmedo para Gatos Adultos Atún Doypack 85 g,S/ 4.99,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.99,metro,,ALIMENTOS EN CUBITOS
Felix Alimento Húmedo para Gatos Adultos Pescado Blanco Doypack 85 g,S/ 4.99,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,85.0,g,4.99,metro,,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Carne 85 gr,S/ 5,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.0,tottus,FELIX,ALIMENTOS EN CUBITOS
Alimento húmedo para gatos Classic con Salmón 85 gr,S/ 5,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,85.0,g,5.0,tottus,FELIX,ALIMENTOS EN CUBITOS
Caldo MAGGI Cubito Sabor Gallina 100g Paquete 25un,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,100.0,g,5.5,vivanda,MAGGI,ALIMENTOS EN CUBITOS
Alimento Azucarado Bonlé 397g,S/ 5.50,metro,ALIMENTOS EN CUBITOS,2024-12-04 22:08:32.953741,397.0,g,5.5,metro,,ALIMENTOS EN CUBITOS
Alimento Azucarado NESTLÉ Toppings Lata 397g,S/ 5.50,vivanda,ALIMENTOS EN CUBITOS,2024-12-04 18:10:15.361329,397.0,g,5.5,vivanda,NESTLÉ,ALIMENTOS EN CUBITOS
