description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Smartphone Motoedge50 Fusion 8+256Gb Verde+Motobuds,"S/ 1,369",tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,256.0,g,1.0,tottus,,MOTOROLA,ARVEJA VERDE
Arveja VEGA Bolsa 400g,S/ 2.90,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,400.0,g,2.9,vega,,Vega,ARVEJA VERDE
Alverja Verde Tesoro del Campo Bolsa 350 g,S/ 2.90,metro,ARVEJA VERDE,2024-12-04 21:45:06.313246,350.0,g,2.9,metro,,,ARVEJA VERDE
Arveja TIMONEL Bolsa 400gr,S/ 3.20,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,400.0,g,3.2,vega,,Timonel,ARVEJA VERDE
Arveja COSTEÑO Bolsa 500g,S/ 3.50,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,500.0,g,3.5,vega,,Costeño,ARVEJA VERDE
Arroz Superior VEGA Bolsa 750g,S/ 3.70,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,3.7,vega,,Vega,ARVEJA VERDE
Arveja Verde Tesoro Del Campo Bolsa 500 g,S/ 3.80,metro,ARVEJA VERDE,2024-12-04 21:45:06.313246,500.0,g,3.8,metro,,,ARVEJA VERDE
Arveja partida VALLENORTE Bolsa 500gr,S/ 3.90,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,500.0,g,3.9,vega,,VALLENORTE,ARVEJA VERDE
Salsa Roja Pouch 160g,S/ 3.95,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,160.0,g,3.95,tottus,,CASA VERDE,ARVEJA VERDE
Arroz Superior COSTEÑO Bolsa 750g,S/ 4.20,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,4.2,vega,,Costeño,ARVEJA VERDE
Arveja Verde Partida INCATRAIL Bolsa 500g,S/ 4.29 un,plaza_vea,ARVEJA VERDE,2024-12-04 14:06:01.276036,500.0,g,4.29,plaza_vea,Bolsa 500g,,ARVEJA VERDE
Arveja Verde Partida INCATRAIL Bolsa 500g,S/ 4.29,vivanda,ARVEJA VERDE,2024-12-04 17:55:50.741827,500.0,g,4.29,vivanda,,INCATRAIL,ARVEJA VERDE
Arveja Verde Tesoro Del Campo Bolsa 500 g,S/ 4.30,wong,ARVEJA VERDE,2024-12-04 19:49:28.512456,500.0,g,4.3,wong,,,ARVEJA VERDE
Crema De Rocoto x 75 g,S/ 4.40,tottus,ARVEJA VERDE,2024-12-04 13:38:00.667596,75.0,g,4.4,tottus,,CASA VERDE,ARVEJA VERDE
Arveja Verde COSTEÑO Bolsa 500g,S/ 4.40 un,plaza_vea,ARVEJA VERDE,2024-12-04 14:06:01.276036,500.0,g,4.4,plaza_vea,Bolsa 500g,,ARVEJA VERDE
Arveja Verde COSTEÑO Bolsa 500g,S/ 4.40,vivanda,ARVEJA VERDE,2024-12-04 17:55:50.741827,500.0,g,4.4,vivanda,,COSTENO,ARVEJA VERDE
Arveja Verde Valle Norte Bolsa 500 g,S/ 4.70,metro,ARVEJA VERDE,2024-12-04 21:45:06.313246,500.0,g,4.7,metro,,,ARVEJA VERDE
Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,4.7,vega,,Costeño,ARVEJA VERDE
