description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Jugo en polvo sabor a maracuyá sobre de 15 g,S/ 1.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,15.0,g,1.2,tottus,,ZUKO,ARÁNDANOS
Bebida Gaseosa Backus Botella X300mL,S/ 1.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,300.0,ml,1.2,tottus,,GUARANA,ARÁNDANOS
Ref Citrus Punch 500 mL,S/ 1.70,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,500.0,ml,1.7,tottus,,TAMPICO,ARÁNDANOS
Tableta Para Taza Sabor Chocolate Clavo Y Canela x 60 g,S/ 1.80,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,60.0,g,1.8,tottus,,GENERICO,ARÁNDANOS
Agua Mineral con gas 625 mL,S/ 1.90,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,625.0,ml,1.9,tottus,,SAN LUIS,ARÁNDANOS
Yogurt Griego LAIVE Sabor a Arándanos Vaso 115...,S/ 2 un,plaza_vea,ARÁNDANOS,2024-12-04 13:54:17.808840,115.0,g,2.0,plaza_vea,Vaso 115g,,ARÁNDANOS
Bebida Sabor Naranja 350 mL,S/ 2.10,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,350.0,ml,2.1,tottus,,WATTS,ARÁNDANOS
Bebida Gaseosa Backus Zero Bot X450mL,S/ 2.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,450.0,ml,2.2,tottus,,GUARANA,ARÁNDANOS
Agua Mineral Sin Gas 600 mL,S/ 2.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,600.0,ml,2.2,tottus,,SAN MATEO,ARÁNDANOS
BEBIDA CON GAS MARACUYA BOT X 625ML,S/ 2.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,625.0,ml,2.2,tottus,,SAN LUIS,ARÁNDANOS
AGUA MESA SIN GAS BOTELLA X 1L,S/ 2.50,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,1.0,l,2.5,tottus,,SAN LUIS,ARÁNDANOS
TE LIMON LIGHT BT 450 ML,S/ 2.50,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,450.0,ml,2.5,tottus,,FREE TEA,ARÁNDANOS
BEBIDA NEGRO DURAZNO 500 ML,S/ 2.50,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,500.0,ml,2.5,tottus,,FREE TEA,ARÁNDANOS
Yogurt Batido con Trozos de Arándano Laive Griego 120g,S/ 2.50,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,120.0,g,2.5,wong,,,ARÁNDANOS
Yogurt Batido con Trozos de Arándano Laive Griego 120g,S/ 2.50,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,120.0,g,2.5,metro,,,ARÁNDANOS
Bebida Chicha Morada 320 mL,S/ 2.70,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,320.0,ml,2.7,tottus,,GLORIA,ARÁNDANOS
Gaseosa Inka Cola Sin Azúcar 500 mL,S/ 3.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,500.0,ml,3.2,tottus,,INCA KOLA,ARÁNDANOS
Gaseosa Sin Azúcar 500 mL,S/ 3.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,500.0,ml,3.2,tottus,,COCA COLA,ARÁNDANOS
Blueberries BELL'S FRESCOS Bandeja 100g,S/ 3.29 un,plaza_vea,ARÁNDANOS,2024-12-04 13:54:17.808840,100.0,g,3.29,plaza_vea,Bandeja 100g,,ARÁNDANOS
Bebida Natural BIO Arándano con Uva y Manzana ...,S/ 3.50 un,plaza_vea,ARÁNDANOS,2024-12-04 13:54:17.808840,300.0,ml,3.5,plaza_vea,Botella 300ml,,ARÁNDANOS
Bebida Natural BIO Arándano con Uva y Manzana Botella 300ml,S/ 3.60,vivanda,ARÁNDANOS,2024-12-04 17:48:33.549501,300.0,ml,3.6,vivanda,,BIO,ARÁNDANOS
"Jugo de Arándano, Uva y Manzana Bio Botella 300ml",S/ 3.60,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,300.0,ml,3.6,metro,,,ARÁNDANOS
