description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Avena SANTA CATALINA Bolsa 100g,S/ 1.30 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,100.0,g,1.3,plaza_vea,Bolsa 100g,,AVENA ENVASADA
Avena Clásica 3 OSITOS Bolsa 100g,S/ 1.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,100.0,g,1.5,plaza_vea,Bolsa 100g,,AVENA ENVASADA
Avena Clásica 3 OSITOS Bolsa 100g,S/ 1.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,100.0,g,1.5,vivanda,,3 OSITOS,AVENA ENVASADA
Galletas DEL PARAISO Avena & Manzana 100g,S/ 2.89 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,100.0,g,2.89,plaza_vea,Bolsa 100g,,AVENA ENVASADA
Avena Instantánea Regular BELL'S Bolsa 270g,S/ 3.20,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,270.0,g,3.2,vivanda,,BELL'S,AVENA ENVASADA
Avena Instantánea Regular BELL'S Bolsa 270g,S/ 3.20 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,270.0,g,3.2,plaza_vea,Bolsa 270g,,AVENA ENVASADA
Bebida con Avena y Canela Laive Deli Avena 250ml,S/ 3.20,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,250.0,ml,3.2,wong,,,AVENA ENVASADA
Avena Natural SANTA CATALINA Bolsa 250g,S/ 3.30,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,250.0,g,3.3,vivanda,,SANTA CATALINA,AVENA ENVASADA
Avena Instantánea de Frutos Rojos BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,45.0,g,3.5,vivanda,,BELL'S,AVENA ENVASADA
Avena Instantánea de Manzana y Canela BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,45.0,g,3.5,vivanda,,BELL'S,AVENA ENVASADA
Avena Instantánea de Chocolate BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,45.0,g,3.5,vivanda,,BELL'S,AVENA ENVASADA
Trigo con Miel Vita Plus Bolsa 140 gr,S/ 3.90,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,140.0,g,3.9,wong,,,AVENA ENVASADA
Avena Precocida BELL'S Bolsa 380g,S/ 4.00,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,380.0,g,4.0,vivanda,,BELL'S,AVENA ENVASADA
Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,S/ 4.19,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,370.0,g,4.19,vivanda,,GRANO ORO,AVENA ENVASADA
Avena GRANO DE ORO Hojuelas Precocidas Bolsa 3...,S/ 4.19 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,370.0,g,4.19,plaza_vea,Bolsa 370g,,AVENA ENVASADA
Trigo Atómico Original Forte Golpe Bolsa 125 g,S/ 4.20,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,125.0,g,4.2,wong,,,AVENA ENVASADA
Avena Precocida Santa Catalina 250g,S/ 4.30,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,250.0,g,4.3,wong,,,AVENA ENVASADA
Fourpack Trigo Atómico con Miel Forte Golpe 25g,S/ 4.50,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,25.0,g,4.5,wong,,,AVENA ENVASADA
Chía Avena GRANO DE ORO Hojuelas Precocidas Bo...,S/ 4.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,370.0,g,4.5,plaza_vea,Bolsa 370g,,AVENA ENVASADA
Kiwicha Avena GRANO DE ORO Hojuelas Precocidas...,S/ 4.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,370.0,g,4.5,plaza_vea,Bolsa 370g,,AVENA ENVASADA
Maca Avena GRANO DE ORO Hojuelas Precocidas Bo...,S/ 4.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,370.0,g,4.5,plaza_vea,Bolsa 370g,,AVENA ENVASADA
Quinua Avena GRANO DE ORO Hojuelas Precocidas ...,S/ 4.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,370.0,g,4.5,plaza_vea,Bolsa 370g,,AVENA ENVASADA
Ensalada Col Zanahoria BELL'S FRESCOS Bolsa 25...,S/ 4.69 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,250.0,g,4.69,plaza_vea,Bolsa 250gun,,AVENA ENVASADA
Avena BELL'S Bolsa 500g,S/ 4.70,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,500.0,g,4.7,vivanda,,BELL'S,AVENA ENVASADA
Avena Quaker Tradicional 200g,S/ 4.80,wong,AVENA ENVASADA,2024-12-04 18:11:09.559842,200.0,g,4.8,wong,,,AVENA ENVASADA
Avena QUAKER Tradicional Bolsa 200g,S/ 4.80,vivanda,AVENA ENVASADA,2024-12-04 17:14:00.389860,200.0,g,4.8,vivanda,,QUAKER,AVENA ENVASADA
Avena Quaker Tradicional 200g,S/ 4.80,metro,AVENA ENVASADA,2024-12-04 20:40:59.254964,200.0,g,4.8,metro,,,AVENA ENVASADA
