description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida de Té Verde Sabor Limón Leaf Tea Botella 400 ml,S/ 1.70,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,400.0,ml,1.7,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida H20H Limoneto Botella 500 ml,S/ 1.80,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 20:55:33.565840,500.0,ml,1.8,wong,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida UHT Sabor Chocolate Choco Vigor Bolsa 250ml,S/ 1.80,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,250.0,ml,1.8,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida H20H Limoneto Botella 500 ml,S/ 1.80,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,500.0,ml,1.8,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Energizante Zero 220V 450 mL,S/ 1.80,tottus,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:00:19.857350,450.0,ml,1.8,tottus,TOTTUS,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Sabor Piña con Kión San Luis Botella 625ml,S/ 2.20,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,625.0,ml,2.2,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida de Agua San Luis Sabor Limón Botella 625ml,S/ 2.20,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 20:55:33.565840,625.0,ml,2.2,wong,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Con Gas San Luis Maracuyá Botella 625ml,S/ 2.20,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 20:55:33.565840,625.0,ml,2.2,wong,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Con Gas San Luis Manzana Botella 625ml,S/ 2.20,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,625.0,ml,2.2,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Rehidratante Cero Fresa 475 mL,S/ 2.20,tottus,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:00:19.857350,475.0,ml,2.2,tottus,ELECTROLIGHT,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Sabor Piña con Kión San Luis Botella 625ml,S/ 2.20,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 20:55:33.565840,625.0,ml,2.2,wong,,BEBIDA ENERGIZANTE (FLUIDA)
Cero Pina X 475 mL,S/ 2.20,tottus,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 14:00:19.857350,475.0,ml,2.2,tottus,ELECTROLIGHT,BEBIDA ENERGIZANTE (FLUIDA)
Bebida de Agua San Luis Sabor Limón Botella 625ml,S/ 2.20,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,625.0,ml,2.2,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida Con Gas San Luis Manzana Botella 625ml,S/ 2.20,wong,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 20:55:33.565840,625.0,ml,2.2,wong,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,S/ 2.30,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,14.0,g,2.3,metro,,BEBIDA ENERGIZANTE (FLUIDA)
Bebida en Polvo Clight Sin Calorías Sabor Piña 14g,S/ 2.30,metro,BEBIDA ENERGIZANTE (FLUIDA),2024-12-04 22:26:03.864383,14.0,g,2.3,metro,,BEBIDA ENERGIZANTE (FLUIDA)
