description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida Gaseosa Backus Botella X300mL,S/ 1.20,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,300.0,ml,1.2,tottus,GUARANA,BEBIDA HIDRATANTE
Bebida Rehidratante Electrolight Granadilla Botella 475 ml,S/ 2.10,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,475.0,ml,2.1,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Electrolight Granadilla Botella 475 ml,S/ 2.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,475.0,ml,2.1,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Electrolight Fresa Botella 473 ml,S/ 2.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,473.0,ml,2.1,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Electrolight Fresa Botella 473 ml,S/ 2.10,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,473.0,ml,2.1,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante ELECTROLIGHT Mora Botella 475ml,S/ 2.10,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,475.0,ml,2.1,vivanda,ELECTROLIGHT,BEBIDA HIDRATANTE
Bebida Rehidratante Electrolight Piña Botella 475 ml,S/ 2.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,475.0,ml,2.1,wong,,BEBIDA HIDRATANTE
Cero Pina X 475 mL,S/ 2.20,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,475.0,ml,2.2,tottus,ELECTROLIGHT,BEBIDA HIDRATANTE
REHIDRATANTE MARACUYA BOTELLA X 600ML,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,600.0,ml,2.4,tottus,POWERADE,BEBIDA HIDRATANTE
REHIDRATANTE LIMON BOTELLA X600ML,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,600.0,ml,2.4,tottus,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Maracuyá Botella 600ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Uva 600 mL,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,600.0,ml,2.4,tottus,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante sin Azúcar SPORADE Apple Ice Botella 500ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.4,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Sabor Cool Blue 500 mL,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,500.0,ml,2.4,tottus,GATORADE,BEBIDA HIDRATANTE
Rehidratante Powerade Uva Botella 600ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Botella 500ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.4,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Mandarina Botella 500ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.4,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Sabor Mandarina 500 mL,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,500.0,ml,2.4,tottus,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Mora Azul Botella 600ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,600.0,ml,2.4,vivanda,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 600ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Limón Botella 600ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,600.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Tropical 500 mL,S/ 2.40,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,500.0,ml,2.4,tottus,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Maracuyá Botella 600ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,600.0,ml,2.4,vivanda,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Botella 475ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,475.0,ml,2.4,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 500ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,500.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Sin Azúcar Sporade Apple Ice Botella 500ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,500.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Sin Azúcar Sporade Apple Ice Botella 500ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,500.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Sin Azúcar Sporade Tropical Botella 500ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,500.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 600ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,600.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Blueberry Botella 500 ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,500.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Uva Botella 500ml,S/ 2.40,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,500.0,ml,2.4,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Uva Botella 500ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,500.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Limón Botella 600ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,600.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Cool Blue Botella 500ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,500.0,ml,2.4,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,S/ 2.40,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,500.0,ml,2.4,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 500ml,S/ 2.40,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,500.0,ml,2.4,wong,,BEBIDA HIDRATANTE
