description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Chocolate Bitter Sublime NESTLÉ Empaque 38gr,S/ 2.90,vega,BISTEC DE VACUNO,2024-12-04 13:20:24.584539,38.0,g,2.9,vega,,Sublime,BISTEC DE VACUNO
Chocolate NESTLÉ Sublime Bitter Paquete 38g,S/ 3 un,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,38.0,g,3.0,plaza_vea,Paquete 38g,,BISTEC DE VACUNO
Mezcla para Apanar AJINOMIX Crocante Bolsa 96gr,S/ 3.00,vega,BISTEC DE VACUNO,2024-12-04 13:20:24.584539,96.0,g,3.0,vega,,AJINOMIX,BISTEC DE VACUNO
Mezcla para Apanar AJINOMIX Apanado Bolsa 96gr,S/ 3.00,vega,BISTEC DE VACUNO,2024-12-04 13:20:24.584539,96.0,g,3.0,vega,,AJINOMIX,BISTEC DE VACUNO
Pinceles Kids CLASS&WORK KR972329 Blíster 6un,S/ 4.50,vivanda,BISTEC DE VACUNO,2024-12-04 17:23:22.810051,6.0,un,4.5,vivanda,,CLASS & WORK,BISTEC DE VACUNO
Nuggets De Pollo (10 unidades),S/ 4.90,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,10.0,un,4.9,tottus,,SAN FERNANDO,BISTEC DE VACUNO
CHIKI NUGGETS X 200 GR,S/ 4.90,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,200.0,g,4.9,tottus,,REDONDOS,BISTEC DE VACUNO
Crispy Nuggets (10 unidades),S/ 4.95,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,10.0,un,4.95,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Chocolate COSTA Vizzio Bitter Caja 69g,S/ 5 un,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,69.0,g,5.0,plaza_vea,Caja 69g,,BISTEC DE VACUNO
NUGGETS PECHUGA X 180 GR,S/ 5.50,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,180.0,g,5.5,tottus,,REDONDOS,BISTEC DE VACUNO
HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.90,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,6.0,un,5.9,tottus,,REDONDOS,BISTEC DE VACUNO
Dinonuggets 200 g (5 unidades),S/ 6.70,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,200.0,g,6.7,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Nuggets Pechuga Pollo Chia Sin Freír 180 g,S/ 6.90,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,180.0,g,6.9,tottus,,SAN FERNANDO,BISTEC DE VACUNO
Barra de Chocolate Bitter 60% HELENA Caja 50g,S/ 7 un,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,50.0,g,7.0,plaza_vea,Caja 50g,,BISTEC DE VACUNO
Pilas DURACELL AAA 2 Blister 2un,S/ 7.90,vega,BISTEC DE VACUNO,2024-12-04 13:20:24.584539,2.0,un,7.9,vega,,Duracell,BISTEC DE VACUNO
Hilo Dental con Menta BALANZÉ BASICOS Blíster ...,S/ 7.90 un,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,1.0,un,7.9,plaza_vea,Blíster 1un,,BISTEC DE VACUNO
Patas de Pollo Empacada al vacío SAN FERNANDO,S/ 8.50 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.9,kg,8.5,plaza_vea,Presentación 0.9 kg aprox.,,BISTEC DE VACUNO
Nuggets De Pechuga De Pollo 12 Un,S/ 8.60,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,12.0,un,8.6,tottus,,TOTTUS,BISTEC DE VACUNO
NUGGETS DE POLLO MULTIGRANOS X 270 GR,S/ 8.60,tottus,BISTEC DE VACUNO,2024-12-04 13:07:46.646555,270.0,g,8.6,tottus,,REDONDOS,BISTEC DE VACUNO
Espinazo de pollo Empacada al vacío SAN FERNAN...,S/ 8.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.9,kg,8.9,plaza_vea,Presentación 0.9 kg aprox.,,BISTEC DE VACUNO
Hígado de pollo Empacada al vacío SAN FERNANDO,S/ 8.90 x kg,plaza_vea,BISTEC DE VACUNO,2024-12-04 13:14:38.438884,0.9,kg,8.9,plaza_vea,Presentación 0.9 kg aprox.,,BISTEC DE VACUNO
