description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Coliflor Un,S/ 3.70 un,plaza_vea,BRÓCOLI,2024-12-04 14:02:33.918472,1.0,un,3.7,plaza_vea,Paquete 1un,,BRÓCOLI
Col Corazón,S/ 3.90 un,plaza_vea,BRÓCOLI,2024-12-04 14:02:33.918472,1.0,un,3.9,plaza_vea,Paquete 1un,,BRÓCOLI
Brócoli,S/ 4.49 x kg,plaza_vea,BRÓCOLI,2024-12-04 14:02:33.918472,0.6,kg,4.49,plaza_vea,Presentación 0.6 kg aprox.,,BRÓCOLI
Floretes de Brócoli 500g aprox,S/ 7.49,metro,BRÓCOLI,2024-12-04 21:40:15.285091,500.0,g,7.49,metro,,,BRÓCOLI
Brócoli x kg,S/ 7.99 x kg,wong,BRÓCOLI,2024-12-04 19:43:56.331074,1.0,kg,7.99,wong,,,BRÓCOLI
Brócoli Metro x kg,S/ 7.99 x kg,metro,BRÓCOLI,2024-12-04 21:40:15.285091,1.0,kg,7.99,metro,,,BRÓCOLI
Brócoli Viva x unid,S/ 8.50,metro,BRÓCOLI,2024-12-04 21:40:15.285091,1.0,un,8.5,metro,,,BRÓCOLI
Nuggets de Pollo con Brócoli AVINKA Bolsa 15un,S/ 9.50,vivanda,BRÓCOLI,2024-12-04 17:53:47.239085,15.0,un,9.5,vivanda,,AVINKA,BRÓCOLI
Nuggets de Pollo con Brócoli Avinka 15un,S/ 10.99,metro,BRÓCOLI,2024-12-04 21:40:15.285091,15.0,un,10.99,metro,,,BRÓCOLI
Brócoli Viva x unid,S/ 11.50,wong,BRÓCOLI,2024-12-04 19:43:56.331074,1.0,un,11.5,wong,,,BRÓCOLI
Brócoli VIVA,S/ 11.99 un,plaza_vea,BRÓCOLI,2024-12-04 14:02:33.918472,1.0,un,11.99,plaza_vea,Paquete 1un,,BRÓCOLI
Germinado de Brócoli Age Bandeja 100g,S/ 16.80,metro,BRÓCOLI,2024-12-04 21:40:15.285091,100.0,g,16.8,metro,,,BRÓCOLI
