description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Camote Amarillo x kg,,1.0,kg,1.69,metro,2024-12-04 21:52:40.669619,CAMOTE AMARILLO,1,kg,1.69,CAMOTE AMARILLO
Camote Amarillo x kg,,1.0,kg,2.79,wong,2024-12-04 20:01:34.079061,CAMOTE AMARILLO,1,kg,2.79,CAMOTE AMARILLO
Papa Blanca,,0.5,kg,2.79,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,5.58,CAMOTE AMARILLO
Camote Amarillo Especial Metro x kg,,1.0,kg,2.79,metro,2024-12-04 21:52:40.669619,CAMOTE AMARILLO,1,kg,2.79,CAMOTE AMARILLO
Camote Amarillo Procesado,,1.0,kg,2.79,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,2.79,CAMOTE AMARILLO
Papa Blanca Yungay,,1.0,kg,3.19,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,3.19,CAMOTE AMARILLO
Camote Amarillo Procesado Meza x kg,,1.0,kg,3.19,wong,2024-12-04 20:01:34.079061,CAMOTE AMARILLO,1,kg,3.19,CAMOTE AMARILLO
Camote Amarillo Procesado Wong x kg,,1.0,kg,3.19,wong,2024-12-04 20:01:34.079061,CAMOTE AMARILLO,1,kg,3.19,CAMOTE AMARILLO
Papa Cocktail Amarilla,,1.0,kg,3.69,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,3.69,CAMOTE AMARILLO
Camote Amarillo x kg,VIVANDA,1.0,kg,3.99,vivanda,2024-12-04 18:01:09.379590,CAMOTE AMARILLO,1,kg,3.99,CAMOTE AMARILLO
Yuca,,1.0,kg,4.49,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,4.49,CAMOTE AMARILLO
Camote Amarillo Agro Selecto 1Kg,,1.0,kg,4.75,metro,2024-12-04 21:52:40.669619,CAMOTE AMARILLO,1,kg,4.75,CAMOTE AMARILLO
Camote Amarillo Agro Selecto 1Kg,,1.0,kg,4.75,wong,2024-12-04 20:01:34.079061,CAMOTE AMARILLO,1,kg,4.75,CAMOTE AMARILLO
Papa Andina Procesada,,0.5,kg,4.99,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,9.98,CAMOTE AMARILLO
Papa Amarilla Tumbay,,0.25,kg,6.79,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,27.16,CAMOTE AMARILLO
Papa Huayro,,0.5,kg,7.29,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,14.58,CAMOTE AMARILLO
Kion,,0.3,kg,9.9,plaza_vea,2024-12-04 14:15:20.988923,CAMOTE AMARILLO,1,kg,33.0,CAMOTE AMARILLO
