description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Sopa Instántanea AJINOMEN Sabor a Carne Bolsa ...,S/ 1.60 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,80.0,g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa,1.6,plaza_vea,Bolsa 80g,,CARNE DE CARNERO
Sopa de Carne BELL'S Vaso 65g,S/ 1.90,vivanda,CARNE DE CARNERO,2024-12-04 17:21:40.189992,65.0,g,Sopa de Carne BELL'S Vaso,1.9,vivanda,,BELL'S,CARNE DE CARNERO
Sopa Instantánea Ajinomen Sabor Carne 80 g,S/ 1.90,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,80.0,g,Sopa Instantánea Ajinomen Sabor Carne,1.9,tottus,,AJINOMOTO,CARNE DE CARNERO
Sopa Instantánea Ajinomen Sabor Carne Oriental 80 g,S/ 1.90,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,80.0,g,Sopa Instantánea Ajinomen Sabor Carne Oriental,1.9,tottus,,AJINOMOTO,CARNE DE CARNERO
Caldo Sabor Carne Doña Gusta 6 Unidades,S/ 2.20,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,6.0,un,Caldo Sabor Carne Doña Gusta ades,2.2,tottus,,AJINOMOTO,CARNE DE CARNERO
Sopa Ramen NISSIN Sabor Carne Bolsa 85g,S/ 2.20,vivanda,CARNE DE CARNERO,2024-12-04 17:21:40.189992,85.0,g,Sopa Ramen NISSIN Sabor Carne Bolsa,2.2,vivanda,,NISSIN,CARNE DE CARNERO
Sopa Ramen NISSIN Sabor Carne Bolsa 85g,S/ 2.20 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,85.0,g,Sopa Ramen NISSIN Sabor Carne Bolsa,2.2,plaza_vea,Bolsa 85g,,CARNE DE CARNERO
Caldo de Carne DOÑA GUSTA Concentrado en Polvo Caja 42g,S/ 2.20,vivanda,CARNE DE CARNERO,2024-12-04 17:21:40.189992,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo Caja,2.2,vivanda,,DOÑA GUSTA,CARNE DE CARNERO
Concentrado en Polvo Doña Gusta Sabor Carne 6un,S/ 2.20,metro,CARNE DE CARNERO,2024-12-04 20:55:14.552046,6.0,un,Concentrado en Polvo Doña Gusta Sabor Carne,2.2,metro,,,CARNE DE CARNERO
Pasta Precocida Ramen Sab Carne 85g,S/ 2.30,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,85.0,g,Pasta Precocida Ramen Sab Carne,2.3,tottus,,NISSIN,CARNE DE CARNERO
Sopa de Fideos con Carne de 60 g,S/ 2.40,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,60.0,g,Sopa de Fideos con Carne de,2.4,tottus,,TOTTUS,CARNE DE CARNERO
Aderezo para Carne de Cerdo PIKI Bolsa 100g,S/ 2.40 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,100.0,g,Aderezo para Carne de Cerdo PIKI Bolsa,2.4,plaza_vea,Bolsa 100g,,CARNE DE CARNERO
Comida para Gatos RICOCAT Trocitos Carne Gatit...,S/ 3 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,85.0,g,Comida para Gatos RICOCAT Trocitos Carne Gatit,3.0,plaza_vea,Paquete 85g,,CARNE DE CARNERO
Comida para Gatos RICOCAT Gatitos Trocitos de Carne 85g,S/ 3.00,vega,CARNE DE CARNERO,2024-12-04 13:17:01.305213,85.0,g,Comida para Gatos RICOCAT Gatitos Trocitos de Carne,3.0,vega,,Ricocat,CARNE DE CARNERO
Sopa Instántanea de Carne AJINOMEN Vaso 51g,S/ 3.30 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,51.0,g,Sopa Instántanea de Carne AJINOMEN Vaso,3.3,plaza_vea,Vaso 51g,,CARNE DE CARNERO
Sopa instantánea MARUCHAN Carne Bolsa 85g,S/ 3.30 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,85.0,g,Sopa instantánea MARUCHAN Carne Bolsa,3.3,plaza_vea,Bolsa 85g,,CARNE DE CARNERO
Sopa Instantánea AJINOMEN Sabor a Carne Vaso 5...,S/ 3.30 un,plaza_vea,CARNE DE CARNERO,2024-12-04 13:11:29.906356,51.0,g,Sopa Instantánea AJINOMEN Sabor a Carne Vaso 5,3.3,plaza_vea,Vaso 51g,,CARNE DE CARNERO
Sopa Instantanea Sabor Carne Picante Vaso 51g,S/ 3.40,tottus,CARNE DE CARNERO,2024-12-04 13:05:40.839414,51.0,g,Sopa Instantanea Sabor Carne Picante Vaso,3.4,tottus,,AJINOMEN,CARNE DE CARNERO
