description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Cocoa WINTERS Reforzada Bolsa 40g,Winter'S,40.0,g,3.7,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,92.5,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Chocolate Kiwigen Sobre 90 gr,,90.0,g,6.6,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,73.33333333333333,COCOA EN POLVO
Cocoa en Polvo Winter's La Abuelita 150g,,150.0,g,6.7,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,44.66666666666667,COCOA EN POLVO
COCOA X160G,TOTTUS,160.0,g,6.9,tottus,2024-12-04 13:59:23.329651,COCOA EN POLVO,1.0,kg,43.125,COCOA EN POLVO
Fortificante NESQUIK Chocolate Doypack 190g,Nesquik,190.0,g,7.7,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,40.526315789473685,COCOA EN POLVO
Chocolate para Taza VEGA Tableta 90gr Pack 6u,Vega,90.0,g,7.8,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,86.66666666666666,COCOA EN POLVO
Cocoa Timonel Bolsa 160g,Timonel,160.0,g,8.9,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,55.625,COCOA EN POLVO
Chocolatada en Polvo Miskísimoo Doypack 200 g,,200.0,g,9.7,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,48.5,COCOA EN POLVO
7 Semillas en Polvo Miskísimoo 184g,,184.0,g,10.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,54.891304347826086,COCOA EN POLVO
Alimento Granulado MILO Activ - Go Doypack 190g,Milo,190.0,g,10.5,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,55.26315789473685,COCOA EN POLVO
Fortificante CHOCOLISTO Winter's Chocolate Frasco 300gr,Winter'S,300.0,g,10.9,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,36.333333333333336,COCOA EN POLVO
Fortificante NESQUIK Sabor a Chocolate Lata 380g,Nesquik,380.0,g,11.2,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,29.473684210526315,COCOA EN POLVO
Bebida Instantánea en Polvo Kiwigen Sabor Vainilla 180g,,180.0,g,12.1,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,67.22222222222221,COCOA EN POLVO
Bebida Instantánea en Polvo Kiwigen Sabor a Fresa 180g,,180.0,g,12.1,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,67.22222222222221,COCOA EN POLVO
Bebida Instantánea en Polvo Kiwigen Sabor Chocolate 180g,,180.0,g,12.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,67.22222222222221,COCOA EN POLVO
Bebida Instantánea en Polvo Kiwigen Sabor Vainilla 180g,,180.0,g,12.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,67.22222222222221,COCOA EN POLVO
Bebida Instantánea en Polvo Kiwigen Sabor a Fresa 180g,,180.0,g,12.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,67.22222222222221,COCOA EN POLVO
Alimento Granulado MILO Activ - Go Doypack 350g,Milo,350.0,g,13.9,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,39.714285714285715,COCOA EN POLVO
Cebada Instantáneo ECCO Doypack 250gr,Ecco,250.0,g,13.9,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,55.6,COCOA EN POLVO
Cocoa WINTER'S Pote 180gr,Winter'S,180.0,g,15.0,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,83.33333333333333,COCOA EN POLVO
Bebida Nutricional en Polvo Andean Chocolate Nunatura Doypack 200 g,,200.0,g,16.0,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,80.0,COCOA EN POLVO
COCOA WINTERS X 180G,WINTER'S,180.0,g,17.5,tottus,2024-12-04 13:59:23.329651,COCOA EN POLVO,1.0,kg,97.22222222222221,COCOA EN POLVO
Detergente en Polvo MAGIA BLANCA Lavanda Bolsa 2Kg,Magia,2.0,kg,17.5,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,8.75,COCOA EN POLVO
COCOA X 500G,TOTTUS,500.0,g,17.9,tottus,2024-12-04 13:59:23.329651,COCOA EN POLVO,1.0,kg,35.8,COCOA EN POLVO
Chocolatada en Polvo Miskísimoo 400g,,400.0,g,18.5,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,46.25,COCOA EN POLVO
Chocolate en Polvo Slender 35% Cacao 200g,,200.0,g,18.8,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,94.0,COCOA EN POLVO
Cacao en polvo Cocoa de 150 g,DONOFRIO,150.0,g,18.9,tottus,2024-12-04 13:59:23.329651,COCOA EN POLVO,1.0,kg,126.0,COCOA EN POLVO
Alimento Granulado MILO Activ-go Lata 380gr,Milo,380.0,g,19.2,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,50.526315789473685,COCOA EN POLVO
Cacao en Polvo Donofrio 150g,,150.0,g,19.5,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,130.0,COCOA EN POLVO
Alimento Granulado MILO Activ-Go Doypack 190gr x 2u,Milo,190.0,g,21.0,vega,2024-12-04 14:45:33.331401,COCOA EN POLVO,1.0,kg,110.5263157894737,COCOA EN POLVO
Bebida Nutricional en Polvo Andean Chocolate Nunatura Doypack 350 g,,350.0,g,21.5,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,61.42857142857143,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Chocolate Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,57.75,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Fresa Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,57.75,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Vainilla Kiwigen Lata 400 gr,,400.0,g,23.1,metro,2024-12-04 22:22:48.714964,COCOA EN POLVO,1.0,kg,57.75,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Chocolate Kiwigen Lata 400 gr,,400.0,g,23.5,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,58.75,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Vainilla Kiwigen Lata 400 gr,,400.0,g,23.5,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,58.75,COCOA EN POLVO
Bebida Instantánea en Polvo Sabor Fresa Kiwigen Lata 400 gr,,400.0,g,23.5,wong,2024-12-04 20:48:43.190623,COCOA EN POLVO,1.0,kg,58.75,COCOA EN POLVO
