description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Chocolate con Leche y Cereal Vizzio Crunch 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,24.0,g,Chocolate con Leche y Cereal Vizzio Crunch,1.5,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolates Rellenos Vizzio Crunch 21g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,21.0,g,Chocolates Rellenos Vizzio Crunch,1.5,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza VEGA Tableta 90gr,S/ 1.50,vega,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:27:23.764761,90.0,g,Chocolate para Taza VEGA Tableta r,1.5,vega,,Vega,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche y Maní Vizzio Maní 24g,S/ 1.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,24.0,g,Chocolate con Leche y Maní Vizzio Maní,1.5,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate NESTLÉ Sublime Clásico Paquete 28g,S/ 1.70 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,28.0,g,Chocolate NESTLÉ Sublime Clásico Paquete,1.7,plaza_vea,Paquete 28g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra 17 g (Venta x Unidad),S/ 1.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,17.0,g,Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra  (Venta ad),1.7,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza BELL'S Tableta 90g,S/ 1.80 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,90.0,g,Chocolate para Taza BELL'S Tableta,1.8,plaza_vea,Tableta 90g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Vizzio 26g,S/ 2.10,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,26.0,g,Chocolate con Leche Vizzio,2.1,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate TRIÁNGULO Barra 30g,S/ 2.30,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 18:06:17.096378,30.0,g,Chocolate TRIÁNGULO Barra,2.3,vivanda,,DONOFRIO,DIVERSAS PRESENTACIONES DE CHOCOLATES
Pudín de Chocolate UMSHA Bolsa 100g,S/ 2.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,100.0,g,Pudín de Chocolate UMSHA Bolsa,2.5,plaza_vea,Bolsa 100g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90gr,S/ 2.60,vega,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:27:23.764761,90.0,g,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta r,2.6,vega,,Sol Del Cuzco,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Sublime Cookies & Cream 38g,S/ 2.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,38.0,g,Chocolate Sublime Cookies & Cream,2.7,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Alimento Lácteo LAIVE Yopi Mix Sabor a Vainill...,S/ 2.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,110.0,g,Alimento Lácteo LAIVE Yopi Mix Sabor a Vainill,2.9,plaza_vea,Vaso 110g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta 90g,S/ 2.90,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 18:06:17.096378,90.0,g,Chocolate para Taza SOL DEL CUSCO Canela y Clavo Tableta,2.9,vivanda,,SOL DEL CUZCO,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Triángulo Barra 30 g,S/ 2.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 20:13:43.395870,30.0,g,Chocolate con Leche Triángulo Barra,2.9,wong,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Triángulo Barra 30 g,S/ 2.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,30.0,g,Chocolate con Leche Triángulo Barra,2.9,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,S/ 3.10 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,146.0,g,Yogurt BattimiLORIA Fresa con Bolitas de Ch,3.1,plaza_vea,Vaso 146g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Yogurt LAIVE Mix Vainilla Francesa con Bolitas...,S/ 3.10 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,125.0,g,Yogurt LAIVE Mix Vainilla Francesa con Bolitas,3.1,plaza_vea,Vaso 125g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Yogurt LAIVE Mix Fresa con Bolitas de Chocolat...,S/ 3.10 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,125.0,g,Yogurt LAIVE Mix Fresa con Bolitas de Chocolat,3.1,plaza_vea,Vaso 125g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Galletas Rellenas con Crema sabor a Chocolate ...,S/ 3.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,180.0,g,Galletas Rellenas con Crema sabor a Chocolate,3.2,plaza_vea,Paquete 180g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Pudín UNIVERSAL Sabor a Chocolate Bolsa 100g,S/ 3.40 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 14:22:42.201815,100.0,g,Pudín UNIVERSAL Sabor a Chocolate Bolsa,3.4,plaza_vea,Bolsa 100g,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter con Maní 41% Cacao Sublime 38g,S/ 3.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-04 22:00:33.627358,38.0,g,Chocolate Bitter con Maní 41% Cacao Sublime,3.6,metro,,,DIVERSAS PRESENTACIONES DE CHOCOLATES
