description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Jugo Pulp Fort Hierro Durazno 145ml,S/ 0.60,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,145.0,ml,0.6,metro,,,DURAZNO HUAYCO
DURAZNO 2L SOBRE X15G,S/ 1.20,tottus,DURAZNO HUAYCO,2024-12-04 13:26:51.499637,2.0,l,1.2,tottus,,ZUKO,DURAZNO HUAYCO
Bebida Instantánea en Polvo ZUKO Durazno Sobre...,S/ 1.20 un,plaza_vea,DURAZNO HUAYCO,2024-12-04 13:48:53.479053,15.0,g,1.2,plaza_vea,Sobre 15g,,DURAZNO HUAYCO
Yogurt GLORIA Frutado Durazno Vaso 120g,S/ 1.70 un,plaza_vea,DURAZNO HUAYCO,2024-12-04 13:48:53.479053,120.0,g,1.7,plaza_vea,Vaso 120g,,DURAZNO HUAYCO
Yogurt Frutado Gloria Durazno Vaso 120 g,S/ 1.70,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,120.0,g,1.7,metro,,,DURAZNO HUAYCO
Yogurt GLORIA Frutado Durazno Vaso 120g,S/ 1.80,vivanda,DURAZNO HUAYCO,2024-12-04 17:44:17.858512,120.0,g,1.8,vivanda,,GLORIA,DURAZNO HUAYCO
Yogurt Laive Kids Durazno 120g,S/ 1.80,wong,DURAZNO HUAYCO,2024-12-04 19:27:21.431605,120.0,g,1.8,wong,,,DURAZNO HUAYCO
Yogurt Laive Kids Durazno 120g,S/ 1.80,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,120.0,g,1.8,metro,,,DURAZNO HUAYCO
Yogurt Frutado Gloria Durazno Vaso 120 g,S/ 1.90,wong,DURAZNO HUAYCO,2024-12-04 19:27:21.431605,120.0,g,1.9,wong,,,DURAZNO HUAYCO
Yogurt Bebible Gloria Durazno Botella 180 g,S/ 2.00,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,180.0,g,2.0,metro,,,DURAZNO HUAYCO
Bebida Pulp Durazno Botella 300ml,S/ 2.00,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,300.0,ml,2.0,metro,,,DURAZNO HUAYCO
Bebida PULP Durazno Botella 300ml,S/ 2.00,vivanda,DURAZNO HUAYCO,2024-12-04 17:44:17.858512,300.0,ml,2.0,vivanda,,PULP,DURAZNO HUAYCO
Yogurt Bebible GLORIA Sabor a Durazno Botella 180g,S/ 2.10,vivanda,DURAZNO HUAYCO,2024-12-04 17:44:17.858512,180.0,g,2.1,vivanda,,GLORIA,DURAZNO HUAYCO
Bebida Durazno Gloria Caja 500ml,S/ 2.10,metro,DURAZNO HUAYCO,2024-12-04 21:30:09.820742,500.0,ml,2.1,metro,,,DURAZNO HUAYCO
Bebida Durazno Gloria Caja 500ml,S/ 2.10,wong,DURAZNO HUAYCO,2024-12-04 19:27:21.431605,500.0,ml,2.1,wong,,,DURAZNO HUAYCO
