description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Fideos Tornillo BELL'S SELECCIÓN Bolsa 250g,S/ 1.10 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.1,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos Canuto BELL'S SELECCIÓN Bolsa 250g,S/ 1.10 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.1,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos Canuto Rayado BELL'S Empaque 250g,S/ 1.30 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.3,plaza_vea,Empaque 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos Rigattone BELL'S Bolsa 250g,S/ 1.30 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.3,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos Macarrón BELL'S Empaque 250g,S/ 1.30 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.3,plaza_vea,Empaque 250g,,FIDEOS SECOS DE PASTA LARGA
Pasta de Tomate BELL'S Doypack 120g,S/ 1.50 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,120.0,g,1.5,plaza_vea,Doypack 120g,,FIDEOS SECOS DE PASTA LARGA
Fideos Macarron BENOTI Bolsa 250g,S/ 1.60,vega,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:15:36.991316,250.0,g,1.6,vega,,Benoti,FIDEOS SECOS DE PASTA LARGA
Fideos Tornillo GRANO DOE ORO Bolsa 250g,S/ 1.60,vega,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:15:36.991316,250.0,g,1.6,vega,,Grano De Oro,FIDEOS SECOS DE PASTA LARGA
Fideos Cuisine &Co Cabello de Ángel 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6,metro,,,FIDEOS SECOS DE PASTA LARGA
Fideos Cuisine &Co Corbata 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6,metro,,,FIDEOS SECOS DE PASTA LARGA
Fideos Cuisine &Co Canuto 250g,S/ 1.60,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,250.0,g,1.6,metro,,,FIDEOS SECOS DE PASTA LARGA
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,FIDEOS SECOS DE PASTA LARGA,2024-12-04 20:52:24.369409,100.0,g,1.7,metro,,,FIDEOS SECOS DE PASTA LARGA
Fideos Cabello de Ángel SAN JORGE Bolsa 250g,S/ 1.70 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.7,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos Tornillo SAN JORGE Bolsa 250g,S/ 1.70 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,250.0,g,1.7,plaza_vea,Bolsa 250g,,FIDEOS SECOS DE PASTA LARGA
Fideos NICOLINI Codo Rayado Bolsa 225g,S/ 1.80 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,225.0,g,1.8,plaza_vea,Bolsa 225g,,FIDEOS SECOS DE PASTA LARGA
Fideos NICOLINI Tornillo Bolsa 225g,S/ 1.80,vivanda,FIDEOS SECOS DE PASTA LARGA,2024-12-04 17:20:21.403867,225.0,g,1.8,vivanda,,NICOLINI,FIDEOS SECOS DE PASTA LARGA
Fideos NICOLINI Codo Chico Bolsa 235g,S/ 1.80 un,plaza_vea,FIDEOS SECOS DE PASTA LARGA,2024-12-04 13:08:18.117128,235.0,g,1.8,plaza_vea,Bolsa 235g,,FIDEOS SECOS DE PASTA LARGA
