description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Galletas Saladas FIELD Cream Cracker Paquete 7...,S/ 1.40 un,plaza_vea,GALLETAS SALADAS,2024-12-04 13:04:40.580199,5.0,g,Galletas Saladas FIELD Cream Cracker Paquete 7,1.4,plaza_vea,"Paquete 73,5g",,GALLETAS SALADAS
Galletas Saladas Ritz Mini 50g,S/ 1.50,metro,GALLETAS SALADAS,2024-12-04 20:48:14.131221,50.0,g,Galletas Saladas Ritz Mini,1.5,metro,,,GALLETAS SALADAS
Galletas Saladas RITZ sabor Original Paquete 5...,S/ 1.50 un,plaza_vea,GALLETAS SALADAS,2024-12-04 13:04:40.580199,5.0,g,Galletas Saladas RITZ sabor Original Paquete 5,1.5,plaza_vea,"Paquete 52,5g",,GALLETAS SALADAS
Galletas Saladas RITZ Mini Original Bolsa 50g,S/ 1.50 un,plaza_vea,GALLETAS SALADAS,2024-12-04 13:04:40.580199,50.0,g,Galletas Saladas RITZ Mini Original Bolsa,1.5,plaza_vea,Paquete 50 g,,GALLETAS SALADAS
Galleta Mini RITZ Bolsa 50gr,S/ 1.50,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,50.0,g,Galleta Mini RITZ Bolsa r,1.5,vega,,Ritz,GALLETAS SALADAS
Galleta Crackelet de Jamón Ahumado de 47 g,S/ 1.60,tottus,GALLETAS SALADAS,2024-12-04 13:03:15.866771,47.0,g,Galleta Crackelet de Jamón Ahumado de,1.6,tottus,,COSTA,GALLETAS SALADAS
Galleta SAN JORGE Soda Familiar 75gr,S/ 1.60,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,75.0,g,Galleta SAN JORGE Soda Familiar r,1.6,vega,,San Jorge,GALLETAS SALADAS
Galletas Saladas Ritz Original 52.5g,S/ 1.90,wong,GALLETAS SALADAS,2024-12-04 18:19:14.979750,52.5,g,Galletas Saladas Ritz Original,1.9,wong,,,GALLETAS SALADAS
Galletas Saladas Ritz Original 52.5g,S/ 1.90,metro,GALLETAS SALADAS,2024-12-04 20:48:14.131221,52.5,g,Galletas Saladas Ritz Original,1.9,metro,,,GALLETAS SALADAS
Galletas Saladas Ritz 70g,S/ 2.00,metro,GALLETAS SALADAS,2024-12-04 20:48:14.131221,70.0,g,Galletas Saladas Ritz,2.0,metro,,,GALLETAS SALADAS
Galletas Saladas Ritz 70g,S/ 2.00,wong,GALLETAS SALADAS,2024-12-04 18:19:14.979750,70.0,g,Galletas Saladas Ritz,2.0,wong,,,GALLETAS SALADAS
Galleta SAN JORGE Cracknel Original 140gr,S/ 2.60,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,140.0,g,Galleta SAN JORGE Cracknel Original r,2.6,vega,,San Jorge,GALLETAS SALADAS
Pack x6 Galletas Saladas Horneadas Cuisine & Co Gustits 21g,S/ 2.90,wong,GALLETAS SALADAS,2024-12-04 18:19:14.979750,6.0,g,Pack xalletas Saladas Horneadas Cuisine & Co Gustits,2.9,wong,,,GALLETAS SALADAS
Pack x6 Galletas Saladas Horneadas Cuisine & Co Gustits 21g,S/ 2.90,metro,GALLETAS SALADAS,2024-12-04 20:48:14.131221,6.0,g,Pack xalletas Saladas Horneadas Cuisine & Co Gustits,2.9,metro,,,GALLETAS SALADAS
Galletas RITZ Taco 52.5g x 2u,S/ 3.00,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,52.5,g,Galletas RITZ Taco  x 2u,3.0,vega,,Ritz,GALLETAS SALADAS
Galletas SAN JORGE Familiar Paquete 75g x 2u,S/ 3.20,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,75.0,g,Galletas SAN JORGE Familiar Paquete  x 2u,3.2,vega,,San Jorge,GALLETAS SALADAS
Galleta SODA V Soda Victoria Paquete 6un,S/ 3.50,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,6.0,un,Galleta SODA V Soda Victoria Paquete,3.5,vega,,Costa,GALLETAS SALADAS
Galleta SAN JORGE Soda Gourmet 250gr,S/ 3.70,vega,GALLETAS SALADAS,2024-12-04 13:13:06.115905,250.0,g,Galleta SAN JORGE Soda Gourmet r,3.7,vega,,San Jorge,GALLETAS SALADAS
Galletas Saladas RITZ sabor Original Paquete 6...,S/ 3.80 un,plaza_vea,GALLETAS SALADAS,2024-12-04 13:04:40.580199,120.0,g,Galletas Saladas RITZ sabor Original Paquete 6,3.8,plaza_vea,Paquete 120g,,GALLETAS SALADAS
Sixpack Galletas Saladas Ritz Sabor Original 22.4g,S/ 3.80,wong,GALLETAS SALADAS,2024-12-04 18:19:14.979750,22.4,g,Sixpack Galletas Saladas Ritz Sabor Original,3.8,wong,,,GALLETAS SALADAS
