description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Arroz Superior VEGA Bolsa 750g,S/ 3.70,vega,HABA VERDE,2024-12-04 14:12:05.109613,750.0,g,Arroz Superior VEGA Bolsa,3.7,vega,,Vega,HABA VERDE
Arroz Extra VEGA Bolsa 750g,S/ 3.90,vega,HABA VERDE,2024-12-04 14:12:05.109613,750.0,g,Arroz Extra VEGA Bolsa,3.9,vega,,Vega,HABA VERDE
Haba Verde,S/ 4.09 x kg,plaza_vea,HABA VERDE,2024-12-04 14:06:44.201328,0.5,kg,Haba Verde,4.09,plaza_vea,Presentación 0.5 kg aprox.,,HABA VERDE
Maíz Pop Corn TESORO VERDE Bolsa 500g,S/ 4.20,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,500.0,g,Maíz Pop Corn TESORO VERDE Bolsa,4.2,vivanda,,TESORO VERDE,HABA VERDE
Arroz Superior COSTEÑO Bolsa 750g,S/ 4.20,vega,HABA VERDE,2024-12-04 14:12:05.109613,750.0,g,Arroz Superior COSTEÑO Bolsa,4.2,vega,,Costeño,HABA VERDE
Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack 160g,S/ 4.20,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,160.0,g,Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack,4.2,vivanda,,OLIVALLE,HABA VERDE
Salsa Roja CASA VERDE Doypack 160g,S/ 4.20,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,160.0,g,Salsa Roja CASA VERDE Doypack,4.2,vivanda,,CASA VERDE,HABA VERDE
Arveja Verde Partida INCATRAIL Bolsa 500g,S/ 4.29,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,500.0,g,Arveja Verde Partida INCATRAIL Bolsa,4.29,vivanda,,INCATRAIL,HABA VERDE
Arveja Verde COSTEÑO Bolsa 500g,S/ 4.40,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,500.0,g,Arveja Verde COSTEÑO Bolsa,4.4,vivanda,,COSTENO,HABA VERDE
Habas Saladas BELL'S Táper 140g,S/ 4.40,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,140.0,g,Habas Saladas BELL'S Táper,4.4,vivanda,,BELL'S,HABA VERDE
Esponja Fibra Verde BOREAL Bolsa 3un,S/ 4.50,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,3.0,un,Esponja Fibra Verde BOREAL Bolsa,4.5,vivanda,,BOREAL,HABA VERDE
Crema De Rocoto CASA VERDE Doypack 75g,S/ 4.60,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,75.0,g,Crema De Rocoto CASA VERDE Doypack,4.6,vivanda,,CASA VERDE,HABA VERDE
Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,HABA VERDE,2024-12-04 14:12:05.109613,750.0,g,Arroz Extra COSTEÑO Bolsa,4.7,vega,,Costeño,HABA VERDE
Ají Pollero CASA VERDE Doypack 75g,S/ 4.70,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,75.0,g,Ají Pollero CASA VERDE Doypack,4.7,vivanda,,CASA VERDE,HABA VERDE
Frijol Panamito TESORO VERDE Bolsa 500g,S/ 4.80,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,500.0,g,Frijol Panamito TESORO VERDE Bolsa,4.8,vivanda,,TESORO VERDE,HABA VERDE
Arroz Superior TIMONEL Bolsa 1Kg,S/ 4.80,vega,HABA VERDE,2024-12-04 14:12:05.109613,1.0,kg,Arroz Superior TIMONEL Bolsa,4.8,vega,,Timonel,HABA VERDE
Arveja Verde VALLENORTE Bolsa 500g,S/ 4.90,vivanda,HABA VERDE,2024-12-04 17:56:15.177093,500.0,g,Arveja Verde VALLENORTE Bolsa,4.9,vivanda,,VALLENORTE,HABA VERDE
