description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Harina BENOTI Sin Prepar Paquete 180 gr,Benoti,180.0,g,1.2,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.666666666666666,HARINA DE TRIGO SIN PREPARAR
Harina GRANO DE ORO Sin Preparar Paquete 180gr,Grano De Oro,180.0,g,1.3,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,7.222222222222222,HARINA DE TRIGO SIN PREPARAR
Trigo mote VEGA Bolsa 400g,Vega,400.0,g,2.6,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.5,HARINA DE TRIGO SIN PREPARAR
Trigo mote TIMONEL Bolsa 400g,Timonel,400.0,g,2.9,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,7.25,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,,1.0,kg,4.29,plaza_vea,2024-12-04 12:54:23.175018,HARINA DE TRIGO SIN PREPARAR,1.0,kg,4.29,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,BELL'S,1.0,kg,4.29,vivanda,2024-12-04 17:13:37.449434,HARINA DE TRIGO SIN PREPARAR,1.0,kg,4.29,HARINA DE TRIGO SIN PREPARAR
Harina BENOTI Sin Preparar Paquete 1Kg,Benoti,1.0,kg,5.3,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,5.3,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo NICOLINI Sin Preparar Bolsa 1K...,,1.0,kg,6.1,plaza_vea,2024-12-04 12:54:23.175018,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.1,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo NICOLINI Sin Preparar Bolsa 1Kg,NICOLINI,1.0,kg,6.1,vivanda,2024-12-04 17:13:37.449434,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.1,HARINA DE TRIGO SIN PREPARAR
Harina GRANO DE ORO Preparada Paquete 1kg,Grano De Oro,1.0,kg,6.3,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.3,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo sin Preparar MOLITALIA sin Preparar Bolsa 1kg,MOLITALIA,1.0,kg,6.3,vivanda,2024-12-04 17:13:37.449434,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.3,HARINA DE TRIGO SIN PREPARAR
Harina de Trigo sin Preparar MOLITALIA sin Pre...,,1.0,kg,6.5,plaza_vea,2024-12-04 12:54:23.175018,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.5,HARINA DE TRIGO SIN PREPARAR
Harina sin Preparar 1 kg,MOLITALIA,1.0,kg,6.6,tottus,2024-12-04 12:58:11.491695,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.6,HARINA DE TRIGO SIN PREPARAR
Harina sin Preparar 1 kg,TOTTUS,1.0,kg,6.9,tottus,2024-12-04 12:58:11.491695,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.9,HARINA DE TRIGO SIN PREPARAR
Harina MOLITALIA Preparada Bolsa 1kg,Molitalia,1.0,kg,6.9,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,6.9,HARINA DE TRIGO SIN PREPARAR
Harina BLANCA FLOR Preparada Paquete 1Kg,Blanca Flor,1.0,kg,8.0,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,8.0,HARINA DE TRIGO SIN PREPARAR
Harina de Maíz PAN Precocida Bolsa 1kg,P.A.N.,1.0,kg,8.5,vega,2024-12-04 13:02:40.851830,HARINA DE TRIGO SIN PREPARAR,1.0,kg,8.5,HARINA DE TRIGO SIN PREPARAR
