description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Galletas Saladas FIELD Cream Cracker Paquete 7...,S/ 1.40 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,5.0,g,1.4,plaza_vea,"Paquete 73,5g",,HELADO DE CREMA PERSONAL
Crema con Queso Cuisine & Co Tocino 80g,S/ 3.00,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,80.0,g,3.0,metro,,,HELADO DE CREMA PERSONAL
Crema Chantilly Fleischmann 60g,S/ 3.40,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,60.0,g,3.4,metro,,,HELADO DE CREMA PERSONAL
Fideos Tallarín Delgado NICOLINI Bolsa 450g,S/ 3.60 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,450.0,g,3.6,plaza_vea,Bolsa 450g,,HELADO DE CREMA PERSONAL
Piqueo BELL'S Chifles Salados Táper 100g,S/ 3.79 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,100.0,g,3.79,plaza_vea,Táper 100g,,HELADO DE CREMA PERSONAL
Crema Instantánea Maggi Sabor Espárragos 65g,S/ 3.90,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,65.0,g,3.9,metro,,,HELADO DE CREMA PERSONAL
Crema Instantánea MAGGI Espárragos Sobre 66g,S/ 3.90 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,66.0,g,3.9,plaza_vea,Sobre 66g,,HELADO DE CREMA PERSONAL
Crema Instantánea Maggi Sabor Hongos 65g,S/ 3.90,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,65.0,g,3.9,metro,,,HELADO DE CREMA PERSONAL
Crema Instantánea MAGGI Espárragos Bolsa 66g,S/ 3.90,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518,66.0,g,3.9,vivanda,,MAGGI,HELADO DE CREMA PERSONAL
Crema Instantánea MAGGI Champiñones Bolsa 65g,S/ 3.90 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,65.0,g,3.9,plaza_vea,Bolsa 65g,,HELADO DE CREMA PERSONAL
Crema Instantánea Maggi Sabor Espárragos 65g,S/ 3.99,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,65.0,g,3.99,wong,,,HELADO DE CREMA PERSONAL
Wafer Cuadrado NIK Relleno con Crema Sabor a V...,S/ 4.20 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,6.0,un,4.2,plaza_vea,Paquete 6un,,HELADO DE CREMA PERSONAL
Wafer Cuadrado NIK Relleno con Crema Sabor a C...,S/ 4.20 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,6.0,un,4.2,plaza_vea,Paquete 6un,,HELADO DE CREMA PERSONAL
Piqueo BELL'S Maní salado Bolsa 180Gr,S/ 4.20 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,180.0,g,4.2,plaza_vea,Bolsa 180g,,HELADO DE CREMA PERSONAL
Mini Panetón Donofrio Chocotoncito Bolsa 80g,S/ 4.40,wong,HELADO DE CREMA PERSONAL,2024-12-04 20:20:36.331487,80.0,g,4.4,wong,,,HELADO DE CREMA PERSONAL
Crema Huancaína ALACENA Doypack 85g,S/ 4.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518,85.0,g,4.5,vivanda,,ALACENA,HELADO DE CREMA PERSONAL
Crema de Rocoto ALACENA Uchucuta Doypack 85g,S/ 4.50,vivanda,HELADO DE CREMA PERSONAL,2024-12-04 18:07:28.642518,85.0,g,4.5,vivanda,,ALACENA,HELADO DE CREMA PERSONAL
Crema de Ají y Queso AlaCena Huancaína 85g,S/ 4.50,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,85.0,g,4.5,metro,,,HELADO DE CREMA PERSONAL
Crema de Rocoto AlaCena Uchucuta 85g,S/ 4.50,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,85.0,g,4.5,metro,,,HELADO DE CREMA PERSONAL
Galletas CASINO Rellenas con Crema Sabor a Fre...,S/ 4.50 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,6.0,un,4.5,plaza_vea,Paquete 6un,,HELADO DE CREMA PERSONAL
Galletas CASINO Rellenas con Crema Sabor a Men...,S/ 4.50 un,plaza_vea,HELADO DE CREMA PERSONAL,2024-12-04 14:25:09.032976,6.0,un,4.5,plaza_vea,Paquete 6un,,HELADO DE CREMA PERSONAL
Crema de Ají Tarí AlaCena Doypack 85 g,S/ 4.50,metro,HELADO DE CREMA PERSONAL,2024-12-04 22:03:32.292615,85.0,g,4.5,metro,,,HELADO DE CREMA PERSONAL
