description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Jamoneta de Pollo San Fernando 85g,S/ 1.57,metro,JAMONADA,2024-12-04 21:06:45.960633,85.0,g,1.57,metro,,,JAMONADA
Jamonada de Pollo Redondos 85g,S/ 1.60,metro,JAMONADA,2024-12-04 21:06:45.960633,85.0,g,1.6,metro,,,JAMONADA
Mortadella La Norteña San Fernando Paquete 100 g,S/ 1.73,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,1.73,metro,,,JAMONADA
Jamonada de Pavita San Fernando Paquete 85 g,S/ 1.84,metro,JAMONADA,2024-12-04 21:06:45.960633,85.0,g,1.84,metro,,,JAMONADA
Jamonada de Pollo BELL'S Paquete 100g,S/ 2.20 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,100.0,g,2.2,plaza_vea,Paquete 100g,,JAMONADA
Jamonada de Pavita SAN FERNANDO Paquete 85g,S/ 2.30 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,85.0,g,2.3,plaza_vea,Paquete 85g,,JAMONADA
Jamonada de Pavita SAN FERNANDO Paquete 85g,S/ 2.30,vivanda,JAMONADA,2024-12-04 17:29:21.709452,85.0,g,2.3,vivanda,,SAN FERNANDO,JAMONADA
Jamonada con Pollo Cerdeña Paquete 100 g,S/ 2.30,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,2.3,metro,,,JAMONADA
Mortadela Lonchera La Segoviana Paquete 100 g,S/ 2.50,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,2.5,metro,,,JAMONADA
Jamonada Especial BELL'S Paquete 100g,S/ 2.60 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,100.0,g,2.6,plaza_vea,Paquete 100g,,JAMONADA
Jamonada de Pavita BELL'S Paquete 100g,S/ 2.60 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,100.0,g,2.6,plaza_vea,Paquete 100g,,JAMONADA
Jamonada Especial BRAEDT Paquete 100g,S/ 2.90 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,100.0,g,2.9,plaza_vea,Paquete 100g,,JAMONADA
Jamonada Lonchera 100 g,S/ 2.90,tottus,JAMONADA,2024-12-04 13:13:41.803562,100.0,g,2.9,tottus,,BRAEDT,JAMONADA
Jamonada Especial 100 g,S/ 2.90,tottus,JAMONADA,2024-12-04 13:13:41.803562,100.0,g,2.9,tottus,,BRAEDT,JAMONADA
Jamonada de Pollo Braedt Paquete 100 g,S/ 2.99,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,2.99,metro,,,JAMONADA
Chicharrón de Prensa Cerdeña 100g,S/ 3.80,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,3.8,metro,,,JAMONADA
Jamonada con Pollo Suiza 100g,S/ 3.90,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,3.9,metro,,,JAMONADA
Mortadela de Pollo Naturave 200g,S/ 3.90,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,3.9,metro,,,JAMONADA
Jamonada Bologna Otto Kunz Paquete 100 g,S/ 3.90,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,3.9,metro,,,JAMONADA
JAMONADA DE POLLO X 200G,S/ 4,tottus,JAMONADA,2024-12-04 13:13:41.803562,200.0,g,4.0,tottus,,TOTTUS,JAMONADA
Jamonada de Pollo BRAEDT Paquete 180g,S/ 4.40 un,plaza_vea,JAMONADA,2024-12-04 13:25:44.732637,180.0,g,4.4,plaza_vea,Paquete 180g,,JAMONADA
Jamonada de Pollo Otto Kunz Paquete 100 g,S/ 4.50,metro,JAMONADA,2024-12-04 21:06:45.960633,100.0,g,4.5,metro,,,JAMONADA
Jamonada de Pollo Wong 200g,S/ 4.60,wong,JAMONADA,2024-12-04 18:51:56.473310,200.0,g,4.6,wong,,,JAMONADA
Jamonada de Pollo Cuisine & Co 200g,S/ 4.60,metro,JAMONADA,2024-12-04 21:06:45.960633,200.0,g,4.6,metro,,,JAMONADA
