description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt GLORIA Batti Shake Fresa Vaso 120g,S/ 1.60 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,120.0,g,1.6,plaza_vea,Vaso 120g,,LECHE FRESCA UHT
Bebida UHT Sabor Chocolate Choco Vigor Bolsa 250ml,S/ 1.80,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,250.0,ml,1.8,metro,,,LECHE FRESCA UHT
Bebida UHT con Avena Vigor Bolsa 250ml,S/ 1.90,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,250.0,ml,1.9,metro,,,LECHE FRESCA UHT
Lechuga Crespa BELL'S,S/ 2.19 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,1.0,un,2.19,plaza_vea,Paquete 1un,,LECHE FRESCA UHT
Bebida de Leche Chocolatada LA PREFERIDA Bolsa...,S/ 2.90 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,800.0,ml,2.9,plaza_vea,Bolsa 800ml,,LECHE FRESCA UHT
Bebida Chocolatada La Preferida 800ml,S/ 3.00,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,800.0,ml,3.0,wong,,,LECHE FRESCA UHT
Leche Parcialmente Descremada LAIVE Deli Avena Botella 250ml,S/ 3.10,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,250.0,ml,3.1,vivanda,,LAIVE,LECHE FRESCA UHT
Bebida Láctea Sabor Chocolate Bonlé Bolsa 800 ml,S/ 3.20,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,3.2,metro,,,LECHE FRESCA UHT
Bebida con Avena y Canela Laive Deli Avena 250ml,S/ 3.20,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,250.0,ml,3.2,wong,,,LECHE FRESCA UHT
Blueberries BELL'S FRESCOS Bandeja 100g,S/ 3.29 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,100.0,g,3.29,plaza_vea,Bandeja 100g,,LECHE FRESCA UHT
Lechuga Crespa Hidropónica BELL'S Bolsa 200g,S/ 3.29 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,200.0,g,3.29,plaza_vea,Bolsa 200g,,LECHE FRESCA UHT
Bebida Yofresh Lúcuma Botella 320g,S/ 3.30,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,320.0,g,3.3,metro,,,LECHE FRESCA UHT
Mezcla Láctea La Preferida 800ml,S/ 3.30,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,3.3,metro,,,LECHE FRESCA UHT
Bebida Láctea Sabor Chocolate Bonlé Bolsa 800 ml,S/ 3.30,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,800.0,ml,3.3,wong,,,LECHE FRESCA UHT
Bebida Sabor Capuccino Laive Muuu Shake 230ml,S/ 3.30,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,230.0,ml,3.3,metro,,,LECHE FRESCA UHT
Alimento Lácteo Fresa Yofresh Botella 330 gr,S/ 3.40,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,330.0,g,3.4,metro,,,LECHE FRESCA UHT
Bebida Sabor Chocolate Laive Muuu Shake 230ml,S/ 3.40,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,230.0,ml,3.4,wong,,,LECHE FRESCA UHT
Bebida Sabor Capuccino Laive Muuu Shake 230ml,S/ 3.40,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,230.0,ml,3.4,wong,,,LECHE FRESCA UHT
Bebida Gloria Shake Mocaccino Botella 320ml,S/ 3.50,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,320.0,ml,3.5,wong,,,LECHE FRESCA UHT
Alimento Lácteo Fresa Yofresh Botella 330 gr,S/ 3.50,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,330.0,g,3.5,wong,,,LECHE FRESCA UHT
Gelatina UMSHA Sabor a Fresa Bolsa 120g,S/ 3.50 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,120.0,g,3.5,plaza_vea,Sobre 120g,,LECHE FRESCA UHT
Gloria Shake Cookies & Cream 320ml,S/ 3.50,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,320.0,ml,3.5,wong,,,LECHE FRESCA UHT
Bebida Gloria Shake Mocaccino Botella 320ml,S/ 3.50,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,320.0,ml,3.5,metro,,,LECHE FRESCA UHT
Leche DANLAC Pasteurizada Chocolate Botella 250ml,S/ 3.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,250.0,ml,3.6,vivanda,,DANLAC,LECHE FRESCA UHT
Leche Entera Pasteurizada Danlac Sabor Chocolate Botella 250ml,S/ 3.60,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,250.0,ml,3.6,metro,,,LECHE FRESCA UHT
Bebida Chocolatada La Preferida 800ml,S/ 3.60,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,3.6,metro,,,LECHE FRESCA UHT
Limpiador POETT Frescura de Lavanda Botella 90...,S/ 3.80 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,900.0,ml,3.8,plaza_vea,Botella 900ml,,LECHE FRESCA UHT
Leche sin Lactosa LAIVE Pacti Tarro Botella 390g,S/ 3.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,3.8,vivanda,,LAIVE,LECHE FRESCA UHT
Leche Condensada NESTLÉ Lata 100g,S/ 3.80,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,100.0,g,3.8,vivanda,,NESTLE,LECHE FRESCA UHT
Mezcla Láctea UHT Bonlé 800ml,S/ 3.80,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,3.8,metro,,,LECHE FRESCA UHT
Lavavajilla líquido BOREAL Limón fresh Doypack...,S/ 3.90 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,500.0,ml,3.9,plaza_vea,Doypack 500ml,,LECHE FRESCA UHT
Leche UHT LAIVE Entera Bolsa 900ml,S/ 3.90 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,900.0,ml,3.9,plaza_vea,Bolsa 900ml,,LECHE FRESCA UHT
Leche Entera UHT Laive 900ml,S/ 3.90,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,900.0,ml,3.9,metro,,,LECHE FRESCA UHT
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.99 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,130.0,g,3.99,plaza_vea,Bolsa 130g,,LECHE FRESCA UHT
Leche Descremada VIGOR UHT Bolsa 800ml,S/ 4.00,vega,LECHE FRESCA UHT,2024-12-04 13:41:17.589388,800.0,ml,4.0,vega,,Vigor,LECHE FRESCA UHT
Leche Reconstituida Entera GLORIA Lata 390g,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.2,vivanda,,GLORIA,LECHE FRESCA UHT
Queso Parmesano BELL'S Paquete 35g,S/ 4.20 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,35.0,g,4.2,plaza_vea,Paquete 35g,,LECHE FRESCA UHT
Leche Evaporada BELL'S Entera Lata 410g,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,410.0,g,4.2,vivanda,,BELL'S,LECHE FRESCA UHT
Leche UHT VIGOR Bolsa 800ml,S/ 4.20,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,800.0,ml,4.2,vivanda,,VIGOR,LECHE FRESCA UHT
Leche Uht Vigor Bolsa 800ml,S/ 4.30,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,800.0,ml,4.3,wong,,,LECHE FRESCA UHT
Leche Sabor a Chocolate Piamonte Botella 340ml,S/ 4.30,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,340.0,ml,4.3,wong,,,LECHE FRESCA UHT
Leche GLORIA Niños Lata 390g,S/ 4.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.4,vivanda,,GLORIA,LECHE FRESCA UHT
Leche sin Lactosa LAIVE Botella 390g,S/ 4.40,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.4,vivanda,,LAIVE,LECHE FRESCA UHT
Leche Uht Vigor Bolsa 800ml,S/ 4.40,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,4.4,metro,,,LECHE FRESCA UHT
Leche LAIVE Light Semidescremada UTH Bolsa 900ml,S/ 4.50,vega,LECHE FRESCA UHT,2024-12-04 13:41:17.589388,900.0,ml,4.5,vega,,Laive,LECHE FRESCA UHT
Leche GLORIA UHT Entera Bolsa 900ml,S/ 4.50,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.5,vivanda,,GLORIA,LECHE FRESCA UHT
Leche Entera Deslactosada con Café Danlac Capuccino Botella 250ml,S/ 4.50,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,250.0,ml,4.5,wong,,,LECHE FRESCA UHT
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,900.0,ml,4.6,plaza_vea,Bolsa 900ml,,LECHE FRESCA UHT
Leche Condensada BELL'S Lata 390g,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,390.0,g,4.6,vivanda,,BELL'S,LECHE FRESCA UHT
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.6,vivanda,,LAIVE,LECHE FRESCA UHT
Leche UHT Vigor Light Bolsa 800ml,S/ 4.60,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,800.0,ml,4.6,wong,,,LECHE FRESCA UHT
Leche UHT Vigor Light Bolsa 800ml,S/ 4.60,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,800.0,ml,4.6,metro,,,LECHE FRESCA UHT
Leche Condensada BELL'S Lata 390g,S/ 4.60 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,390.0,g,4.6,plaza_vea,Lata 390g,,LECHE FRESCA UHT
Leche Fresca LAIVE sin Lactosa Bolsa 900ml,S/ 4.70,vega,LECHE FRESCA UHT,2024-12-04 13:41:17.589388,900.0,ml,4.7,vega,,Laive,LECHE FRESCA UHT
Leche sin Lactosa LAIVE Light Botella 390g,S/ 4.70 un,plaza_vea,LECHE FRESCA UHT,2024-12-04 13:36:06.259557,390.0,g,4.7,plaza_vea,Botella 390g,,LECHE FRESCA UHT
Leche Entera UHT Gloria Bolsa 900ml,S/ 4.90,wong,LECHE FRESCA UHT,2024-12-04 19:04:47.717068,900.0,ml,4.9,wong,,,LECHE FRESCA UHT
Leche Entera UHT Gloria Bolsa 900ml,S/ 4.90,metro,LECHE FRESCA UHT,2024-12-04 21:15:29.781318,900.0,ml,4.9,metro,,,LECHE FRESCA UHT
Leche UHT sin Lactosa GLORIA Zero Bolsa 900ml,S/ 4.90,vivanda,LECHE FRESCA UHT,2024-12-04 17:35:30.549203,900.0,ml,4.9,vivanda,,GLORIA,LECHE FRESCA UHT
Leche Fresca GLORIA UHT Entera Bolsa 900ml,S/ 4.90,vega,LECHE FRESCA UHT,2024-12-04 13:41:17.589388,900.0,ml,4.9,vega,,Gloria,LECHE FRESCA UHT
