description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Caramelos Masticables MENTOS Limón Paquete 29.04g,MENTOS,29.04,g,2.0,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,68.87052341597796,LIMÓN
Yogurt Griego LAIVE Sabor a Pie de Limón Vaso ...,,115.0,g,2.2,plaza_vea,2024-12-04 13:45:54.170665,LIMÓN,1.0,kg,19.130434782608695,LIMÓN
Bebida Instantánea en Polvo CLIGHT Limón con Splenda Sobre 7g,CLIGHT,7.0,g,2.3,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,328.57142857142856,LIMÓN
Bebida en Polvo Clight Sin Calorías Sabor Limón 14g,,14.0,g,2.3,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,164.28571428571428,LIMÓN
Bebida en Polvo Clight Sin Calorías Sabor Limón 14g,,14.0,g,2.3,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,164.28571428571428,LIMÓN
Marshmellows Mr. Mallo Limones Bolsa 100 g,,100.0,g,2.9,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,29.0,LIMÓN
Limón Sutil x kg,,1.0,kg,2.99,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,2.99,LIMÓN
Limón x kg,,1.0,kg,2.99,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,2.99,LIMÓN
Limón Sútil x kg,,1.0,kg,2.99,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,2.99,LIMÓN
Jabón Aroma Limón BOLÍVAR Cuidado Total Paquete 190g,BOLÍVAR,190.0,g,3.2,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,16.842105263157897,LIMÓN
Jabón para Ropa Bolívar Limón 190g,,190.0,g,3.2,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,16.842105263157897,LIMÓN
Limón x kg,,1.0,kg,3.59,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,3.59,LIMÓN
Gelatina UMSHA Sabor a Limón Bolsa 120g,UMSHA,120.0,g,3.7,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,30.833333333333336,LIMÓN
Gelatina Sabor Limón Diet Universal 19g,,19.0,g,3.7,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,194.73684210526318,LIMÓN
Gelatina Sabor Limón Diet Universal 19g,,19.0,g,3.8,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,200.0,LIMÓN
Lavavajillas en Pasta Home Care Limón 800g,,800.0,g,3.9,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,4.875,LIMÓN
Limón Tahiti Metro x kg,,1.0,kg,3.99,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,3.99,LIMÓN
Limón Acido x kg,VIVANDA,1.0,kg,3.99,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,3.99,LIMÓN
Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,,130.0,g,3.99,plaza_vea,2024-12-04 13:45:54.170665,LIMÓN,1.0,kg,30.69230769230769,LIMÓN
Gelatina Universal de Limón Sobre 130g,,130.0,g,3.99,metro,2024-12-04 21:26:34.557750,LIMÓN,1.0,kg,30.69230769230769,LIMÓN
Gelatina Universal de Limón Sobre 130g,,130.0,g,4.1,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,31.538461538461533,LIMÓN
Limón Tahíti x kg,,1.0,kg,4.19,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,4.19,LIMÓN
Limón Tahití x kg,VIVANDA,1.0,kg,4.2,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,4.2,LIMÓN
Limón Tahití x kg,,1.0,kg,4.2,plaza_vea,2024-12-04 13:45:54.170665,LIMÓN,1.0,kg,4.2,LIMÓN
Lejía BOREAL Limón Botella 2000g,BOREAL,2000.0,g,4.2,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,2.1,LIMÓN
Caramelos de Limón BELL'S Bolsa 250g,BELL'S,250.0,g,4.5,vivanda,2024-12-04 17:41:58.501116,LIMÓN,1.0,kg,18.0,LIMÓN
Lejía Home Care Limón 2kg,,2.0,kg,4.6,wong,2024-12-04 19:21:57.922532,LIMÓN,1.0,kg,2.3,LIMÓN
