description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",S/ 1.70,metro,MANDARINA,2024-12-04 21:26:09.313840,500.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",1.7,metro,,,MANDARINA
Bebida Rehidratante SPORADE Mandarina Botella 500ml,S/ 2.00,vega,MANDARINA,2024-12-04 13:51:01.716004,500.0,ml,Bebida Rehidratante SPORADE Mandarina Botella,2.0,vega,,Sporade,MANDARINA
Bebida Rehidratante Gatorade Mandarina Botella 500ml,S/ 2.40,metro,MANDARINA,2024-12-04 21:26:09.313840,500.0,ml,Bebida Rehidratante Gatorade Mandarina Botella,2.4,metro,,,MANDARINA
Bebida Rehidratante Sporade Mandarina Botella 500 ml,S/ 2.40,metro,MANDARINA,2024-12-04 21:26:09.313840,500.0,ml,Bebida Rehidratante Sporade Mandarina Botella,2.4,metro,,,MANDARINA
Bebida Rehidratante Sabor Mandarina 500 mL,S/ 2.40,tottus,MANDARINA,2024-12-04 13:26:12.725850,500.0,ml,Bebida Rehidratante Sabor Mandarina,2.4,tottus,,SPORADE,MANDARINA
Bebida Rehidratante SPORADE Mandarina Botella 500ml,S/ 2.40,vivanda,MANDARINA,2024-12-04 17:42:29.890676,500.0,ml,Bebida Rehidratante SPORADE Mandarina Botella,2.4,vivanda,,SPORADE,MANDARINA
Bebida Rehidratante GATORADE Mandarina Botella 500ml,S/ 2.90,vivanda,MANDARINA,2024-12-04 17:42:29.890676,500.0,ml,Bebida Rehidratante GATORADE Mandarina Botella,2.9,vivanda,,GATORADE,MANDARINA
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 600 ml",S/ 2.99,metro,MANDARINA,2024-12-04 21:26:09.313840,600.0,ml,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",2.99,metro,,,MANDARINA
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.5 lt",S/ 4.00,metro,MANDARINA,2024-12-04 21:26:09.313840,1.5,l,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",4.0,metro,,,MANDARINA
Bebida Rehidratante GATORADE Sabor a Mandarina Botella 750ml,S/ 4.90,vivanda,MANDARINA,2024-12-04 17:42:29.890676,750.0,ml,Bebida Rehidratante GATORADE Sabor a Mandarina Botella,4.9,vivanda,,GATORADE,MANDARINA
