description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre 15 g,S/ 1.20,wong,MANGO,2024-12-04 19:35:08.820601,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Mango Criollo Sobre,1.2,wong,,,MANGO
Yogurt Griego Mango Descremado 120g,S/ 1.80,tottus,MANGO,2024-12-04 13:31:58.297897,120.0,g,Yogurt Griego Mango Descremado,1.8,tottus,,GLORIA,MANGO
Yogurt Batido GLORIA Griego Sabor Mango Vaso 120g,S/ 2.20,vivanda,MANGO,2024-12-04 17:49:19.486801,120.0,g,Yogurt Batido GLORIA Griego Sabor Mango Vaso,2.2,vivanda,,GLORIA,MANGO
Bebida de Mango Frugos del Valle Botella 300ml,S/ 2.25,wong,MANGO,2024-12-04 19:35:08.820601,300.0,ml,Bebida de Mango Frugos del Valle Botella,2.25,wong,,,MANGO
Mango Kent x kg,S/ 2.40 x kg,plaza_vea,MANGO,2024-12-04 13:56:16.641590,0.6,kg,Mango Kent,2.4,plaza_vea,Presentación 0.6 kg aprox.,,MANGO
Té negro de mango maracuyá Huerto del Edén 25 unidades,S/ 2.70,tottus,MANGO,2024-12-04 13:31:58.297897,25.0,un,Té negro de mango maracuyá Huerto del Edén ades,2.7,tottus,,HUERTO DEL EDEN,MANGO
Mango Haden,S/ 2.80 x kg,plaza_vea,MANGO,2024-12-04 13:56:16.641590,0.4,kg,Mango Haden,2.8,plaza_vea,Presentación 0.4 kg aprox.,,MANGO
Mango Edward,S/ 2.90 x kg,plaza_vea,MANGO,2024-12-04 13:56:16.641590,0.6,kg,Mango Edward,2.9,plaza_vea,Presentación 0.6 kg aprox.,,MANGO
Bebida Sabor Mango 1 L,S/ 3.90,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,l,Bebida Sabor Mango,3.9,tottus,,WATTS,MANGO
Bebida FRUGOS Sabor a Mango Caja 970ml,S/ 3.90,vivanda,MANGO,2024-12-04 17:49:19.486801,970.0,ml,Bebida FRUGOS Sabor a Mango Caja,3.9,vivanda,,FRUGOS,MANGO
Bebida de Mango Gloria Caja 1L,S/ 3.90,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Gloria Caja,3.9,wong,,,MANGO
Bebida de Mango Frugos del Valle Caja 970ml,S/ 3.90,wong,MANGO,2024-12-04 19:35:08.820601,970.0,ml,Bebida de Mango Frugos del Valle Caja,3.9,wong,,,MANGO
BEBIDA MANGO X 970ML,S/ 3.90,tottus,MANGO,2024-12-04 13:31:58.297897,970.0,ml,BEBIDA MANGO X,3.9,tottus,,FRUGOS DEL VALLE,MANGO
Bebida GLORIA Mango Caja 1L,S/ 4.00,vega,MANGO,2024-12-04 14:00:44.377946,1.0,l,Bebida GLORIA Mango Caja,4.0,vega,,Gloria,MANGO
Bebida GLORIA Mango Caja 1L,S/ 4.40,vivanda,MANGO,2024-12-04 17:49:19.486801,1.0,l,Bebida GLORIA Mango Caja,4.4,vivanda,,GLORIA,MANGO
Néctar de Mango Selva Botella 300 ml,S/ 4.40,wong,MANGO,2024-12-04 19:35:08.820601,300.0,ml,Néctar de Mango Selva Botella,4.4,wong,,,MANGO
Bebida sabor mango maracuyá y camu camu de 475 mL,S/ 4.40,tottus,MANGO,2024-12-04 13:31:58.297897,475.0,ml,Bebida sabor mango maracuyá y camu camu de,4.4,tottus,,KERO,MANGO
Bebida de Mango Pulp Caja 1 L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Pulp Caja,4.5,wong,,,MANGO
Bebida de Mango y Fresa Frugos del Valle Caja 1L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango y Fresa Frugos del Valle Caja,4.5,wong,,,MANGO
BEBIDAS DE MANGO CAJA 946ML,S/ 4.50,tottus,MANGO,2024-12-04 13:31:58.297897,946.0,ml,BEBIDAS DE MANGO CAJA,4.5,tottus,,WATTS,MANGO
Bebida de Mango Watts Caja 1L,S/ 4.50,wong,MANGO,2024-12-04 19:35:08.820601,1.0,l,Bebida de Mango Watts Caja,4.5,wong,,,MANGO
Bebida FRUGOS Mango y Fresa Caja 1L,S/ 4.50,vivanda,MANGO,2024-12-04 17:49:19.486801,1.0,l,Bebida FRUGOS Mango y Fresa Caja,4.5,vivanda,,FRUGOS,MANGO
Agua Gasificada LACROIX Mango Lata 355ml,S/ 4.70,vivanda,MANGO,2024-12-04 17:49:19.486801,355.0,ml,Agua Gasificada LACROIX Mango Lata,4.7,vivanda,,LACROIX,MANGO
BEBIDA DE MANGO CAJA 1L,S/ 4.90,tottus,MANGO,2024-12-04 13:31:58.297897,1.0,l,BEBIDA DE MANGO CAJA,4.9,tottus,,GLORIA,MANGO
Compota Mango 6 meses pote x 113g,S/ 4.90,tottus,MANGO,2024-12-04 13:31:58.297897,113.0,g,Compota Mango 6 meses pote x,4.9,tottus,,GERBER,MANGO
Bebida sabor mango 320 mL,S/ 4.95,tottus,MANGO,2024-12-04 13:31:58.297897,320.0,ml,Bebida sabor mango,4.95,tottus,,MOGU MOGU,MANGO
Compota Mango con Quinua CASA VERDE Frasco 120...,S/ 4.99 un,plaza_vea,MANGO,2024-12-04 13:56:16.641590,120.0,g,Compota Mango con Quinua CASA VERDE Frasco 120,4.99,plaza_vea,Frasco 120g,,MANGO
REP BEBIDA MANGO SANDIA 400ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,REP BEBIDA MANGO SANDIA,5.5,tottus,,FRUMAS,MANGO
BEBIDA MANGO MARACUYA 400ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,BEBIDA MANGO MARACUYA,5.5,tottus,,FRUMAS,MANGO
Yogurt Griego VAKIMU Sabor a Mango Pasión Pote 160g,S/ 5.50,vivanda,MANGO,2024-12-04 17:49:19.486801,160.0,g,Yogurt Griego VAKIMU Sabor a Mango Pasión Pote,5.5,vivanda,,VAKIMU,MANGO
JUGO DE MANGO DURAZNO X 400 ML,S/ 5.50,tottus,MANGO,2024-12-04 13:31:58.297897,400.0,ml,JUGO DE MANGO DURAZNO X,5.5,tottus,,FRUMAS,MANGO
Bebida FRU+ Sabor a Mango y Durazno Botella 400ml,S/ 5.70,vivanda,MANGO,2024-12-04 17:49:19.486801,400.0,ml,Bebida FRU+ Sabor a Mango y Durazno Botella,5.7,vivanda,,FRU +,MANGO
Jugo de Fruta KERO Mango y Maracuyá Botella 475ml,S/ 5.70,vivanda,MANGO,2024-12-04 17:49:19.486801,475.0,ml,Jugo de Fruta KERO Mango y Maracuyá Botella,5.7,vivanda,,KERO,MANGO
Bebida de Mango y Maracuyá Frumas Botella 400 ml,S/ 5.90,wong,MANGO,2024-12-04 19:35:08.820601,400.0,ml,Bebida de Mango y Maracuyá Frumas Botella,5.9,wong,,,MANGO
