description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Agua Socosani Saborizada Manzana Botella 500 ml,S/ 2.00,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,500.0,ml,Agua Socosani Saborizada Manzana Botella,2.0,wong,,,MANZANA IMPORTADA
Bebida Con Gas San Luis Manzana Botella 625ml,S/ 2.20,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,625.0,ml,Bebida Con Gas San Luis Manzana Botella,2.2,wong,,,MANZANA IMPORTADA
Suavizante SUAVITEL Frescura de Manzana Doypack 180ml,S/ 2.20,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,180.0,ml,Suavizante SUAVITEL Frescura de Manzana Doypack,2.2,vega,,Suavitel,MANZANA IMPORTADA
Gaseosa Fanta Beetlejuice Manzana Verde Botella 500ml,S/ 2.70,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,500.0,ml,Gaseosa Fanta Beetlejuice Manzana Verde Botella,2.7,wong,,,MANZANA IMPORTADA
Maizena DURYEA Caja 100gr,S/ 2.90,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,100.0,g,Maizena DURYEA Caja r,2.9,vega,,Duryea,MANZANA IMPORTADA
Maizena UNIVERSAL Bolsa 180gr,S/ 3.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,180.0,g,Maizena UNIVERSAL Bolsa r,3.0,vega,,Universal,MANZANA IMPORTADA
Limpiador VCLEAN Manzana y Canela Botella 900ml,S/ 3.20,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,900.0,ml,Limpiador VCLEAN Manzana y Canela Botella,3.2,vega,,Vclean,MANZANA IMPORTADA
"Bebida de Manzana, Aguaje y Cocona Bio Botella 300ml",S/ 3.80,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,300.0,ml,"Bebida de Manzana, Aguaje y Cocona Bio Botella",3.8,wong,,,MANZANA IMPORTADA
Jugo de Manzana y Camu Camu Bio Botella 300ml,S/ 3.80,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,300.0,ml,Jugo de Manzana y Camu Camu Bio Botella,3.8,wong,,,MANZANA IMPORTADA
"Jugo de Arándano, Uva y Manzana Bio Botella 300ml",S/ 3.80,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,300.0,ml,"Jugo de Arándano, Uva y Manzana Bio Botella",3.8,wong,,,MANZANA IMPORTADA
Manzana Israel x kg,S/ 3.82 x kg,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,1.0,kg,Manzana Israel,3.82,wong,,,MANZANA IMPORTADA
Manzana Rayada Wong x kg,S/ 3.82 x kg,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,1.0,kg,Manzana Rayada Wong,3.82,wong,,,MANZANA IMPORTADA
Bebida de Manzana Frugos del Valle Caja 970ml,S/ 3.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,970.0,ml,Bebida de Manzana Frugos del Valle Caja,3.9,wong,,,MANZANA IMPORTADA
Lavavajillas en Pasta Home Care Manzana 800g,S/ 3.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,800.0,g,Lavavajillas en Pasta Home Care Manzana,3.9,wong,,,MANZANA IMPORTADA
Avena con Manzana SANTA CATALINA Bolsa 150g,S/ 4.10,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,150.0,g,Avena con Manzana SANTA CATALINA Bolsa,4.1,vega,,Santa Catalina,MANZANA IMPORTADA
Ambientador Glade en Gel bolsa Manzana Canela 30g,S/ 4.30,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,30.0,g,Ambientador Glade en Gel bolsa Manzana Canela,4.3,wong,,,MANZANA IMPORTADA
Cerveza Mahou Clásica Lata 330ml,S/ 4.50,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,330.0,ml,Cerveza Mahou Clásica Lata,4.5,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana y Plátano AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,Puré de Frutas Orgánico Manzana y Plátano AMA Pouch,4.9,wong,,,MANZANA IMPORTADA
Compota Smiley Kids Manzana + Plátano + Arándano 90g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,Compota Smiley Kids Manzana + Plátano + Arándano,4.9,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,Puré de Frutas Orgánico Manzana AMA Pouch,4.9,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana y Arándano AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,Puré de Frutas Orgánico Manzana y Arándano AMA Pouch,4.9,wong,,,MANZANA IMPORTADA
Compota Smiley Kids Manzana y Ciruela 90g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,Compota Smiley Kids Manzana y Ciruela,4.9,wong,,,MANZANA IMPORTADA
Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,8.0,un,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete,5.0,vega,,Gn,MANZANA IMPORTADA
"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella 330ml",S/ 5.00,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,330.0,ml,"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella",5.0,wong,,,MANZANA IMPORTADA
Compota de Manzana Gerber 113g,S/ 5.10,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,113.0,g,Compota de Manzana Gerber,5.1,wong,,,MANZANA IMPORTADA
Bebida de Manzana Frugos del Valle Caja 1.5L,S/ 5.50,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,1.5,l,Bebida de Manzana Frugos del Valle Caja,5.5,wong,,,MANZANA IMPORTADA
Avena Instantánea con Manzana y Canela Sin Gluten Dyfferent Pote 65 g,S/ 5.80,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,65.0,g,Avena Instantánea con Manzana y Canela Sin Gluten Dyfferent Pote,5.8,wong,,,MANZANA IMPORTADA
Jugo de Manzana Florida's Nature Lata 340ml,S/ 5.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,340.0,ml,Jugo de Manzana Florida's Nature Lata,5.9,wong,,,MANZANA IMPORTADA
Avena Con Manzana Instantánea Santa Catalina Bolsa 150 g,S/ 5.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,150.0,g,Avena Con Manzana Instantánea Santa Catalina Bolsa,5.9,wong,,,MANZANA IMPORTADA
Lavavajilla en Pasta Sapolio Manzana 800g,S/ 6.00,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,800.0,g,Lavavajilla en Pasta Sapolio Manzana,6.0,wong,,,MANZANA IMPORTADA
Cerveza Mahou Cinco Estrellas Lata 330ml,S/ 6.00,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,330.0,ml,Cerveza Mahou Cinco Estrellas Lata,6.0,wong,,,MANZANA IMPORTADA
Lavavajilla en Pasta CLORANDINA Manzana Pote 1000gr,S/ 6.30,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,1000.0,g,Lavavajilla en Pasta CLORANDINA Manzana Pote r,6.3,vega,,Clorandina,MANZANA IMPORTADA
Bebida Rehidratante Suerox Manzana Botella 630ml,S/ 6.50,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,630.0,ml,Bebida Rehidratante Suerox Manzana Botella,6.5,wong,,,MANZANA IMPORTADA
Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml,S/ 6.50,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,630.0,ml,Bebida Rehidratante SUEROX Sabor a Manzana Botella,6.5,vega,,SUEROX,MANZANA IMPORTADA
Barras de Cereales Cereal Bar Manzana y Canela 12un,S/ 6.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,12.0,un,Barras de Cereales Cereal Bar Manzana y Canela,6.9,wong,,,MANZANA IMPORTADA
