description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Maíz Pop Corn BELL'S Dulce Bolsa 70g,S/ 2.10,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,70.0,g,Maíz Pop Corn BELL'S Dulce Bolsa,2.1,vivanda,,BELL'S,MAÍZ REVENTÓN (POP CORN)
Agua Mineral SAN MATEO Con Gas Botella 1.5L,S/ 2.20 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,1.5,l,Agua Mineral SAN MATEO Con Gas Botella,2.2,plaza_vea,Botella 1.5L,,MAÍZ REVENTÓN (POP CORN)
Agua con Gas SAN LUIS Sabor a Manzana Botella ...,S/ 2.20 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,625.0,ml,Agua con Gas SAN LUIS Sabor a Manzana Botella,2.2,plaza_vea,Botella 625ml,,MAÍZ REVENTÓN (POP CORN)
Tortillas de Maíz Clásica Cuisine & Co Bolsa 65 g,S/ 2.30,wong,MAÍZ REVENTÓN (POP CORN),2024-12-04 18:01:00.784513,65.0,g,Tortillas de Maíz Clásica Cuisine & Co Bolsa,2.3,wong,,,MAÍZ REVENTÓN (POP CORN)
Tortillas de Maíz Picante Cuisine & Co Bolsa 65 g,S/ 2.30,wong,MAÍZ REVENTÓN (POP CORN),2024-12-04 18:01:00.784513,65.0,g,Tortillas de Maíz Picante Cuisine & Co Bolsa,2.3,wong,,,MAÍZ REVENTÓN (POP CORN)
Palitos de Maíz Cheese Tris Cheetos 44g,S/ 2.50,wong,MAÍZ REVENTÓN (POP CORN),2024-12-04 18:01:00.784513,44.0,g,Palitos de Maíz Cheese Tris Cheetos,2.5,wong,,,MAÍZ REVENTÓN (POP CORN)
Palitos de Maíz Cheese Tris Cheetos 44g,S/ 2.50,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,44.0,g,Palitos de Maíz Cheese Tris Cheetos,2.5,metro,,,MAÍZ REVENTÓN (POP CORN)
Palitos de Maíz Cheese Tris 42g,S/ 2.70,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,42.0,g,Palitos de Maíz Cheese Tris,2.7,metro,,,MAÍZ REVENTÓN (POP CORN)
Galletas Integrales DEL PARAÍSO Ajonjolí con M...,S/ 2.70 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,100.0,g,Galletas Integrales DEL PARAÍSO Ajonjolí con M,2.7,plaza_vea,Paquete 100g,,MAÍZ REVENTÓN (POP CORN)
Camote Morado Meza x kg,S/ 2.79 x kg,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,1.0,kg,Camote Morado Meza,2.79,metro,,,MAÍZ REVENTÓN (POP CORN)
Camote Morado Metro x kg,S/ 2.79 x kg,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,1.0,kg,Camote Morado Metro,2.79,metro,,,MAÍZ REVENTÓN (POP CORN)
Pop Corn VEGA Bolsa 400g,S/ 2.90,vega,MAÍZ REVENTÓN (POP CORN),2024-12-04 13:00:24.576298,400.0,g,Pop Corn VEGA Bolsa,2.9,vega,,Vega,MAÍZ REVENTÓN (POP CORN)
Agua Mineral SAN LUIS Con Gas Botella 2.5L,S/ 3 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,2.5,l,Agua Mineral SAN LUIS Con Gas Botella,3.0,plaza_vea,Botella 2.5L,,MAÍZ REVENTÓN (POP CORN)
Pop Corn TIMONEL Bolsa 400g,S/ 3.10,vega,MAÍZ REVENTÓN (POP CORN),2024-12-04 13:00:24.576298,400.0,g,Pop Corn TIMONEL Bolsa,3.1,vega,,Timonel,MAÍZ REVENTÓN (POP CORN)
Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,S/ 3.10 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,146.0,g,Yogurt GLORIA Battimix Vainilla con Arroz Cruj,3.1,plaza_vea,Vaso 146g,,MAÍZ REVENTÓN (POP CORN)
Papa Canchán Procesada Especial x kg,S/ 3.29 x kg,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,1.0,kg,Papa Canchán Procesada Especial,3.29,metro,,,MAÍZ REVENTÓN (POP CORN)
Piqueo BELL'S Tortilla de maíz natural Bolsa 150Gr,S/ 3.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,150.0,g,Piqueo BELL'S Tortilla de maíz natural Bolsa r,3.3,vivanda,,BELL'S,MAÍZ REVENTÓN (POP CORN)
Piqueo BELL'S Tortilla de maíz natural Bolsa 1...,S/ 3.30 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,150.0,g,Piqueo BELL'S Tortilla de maíz natural Bolsa 1,3.3,plaza_vea,Bolsa 150g,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Cuisine & Co 500g,S/ 3.50,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,500.0,g,Maíz Pop Corn Cuisine & Co,3.5,metro,,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn x 350 g,S/ 3.65,tottus,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:55:48.428708,350.0,g,Maíz Pop Corn x,3.65,tottus,,TESORO DEL CAMPO,MAÍZ REVENTÓN (POP CORN)
Maiz Cuzco Frito y Salado Cuisine&Co Bolsa 100 g,S/ 3.68,wong,MAÍZ REVENTÓN (POP CORN),2024-12-04 18:01:00.784513,100.0,g,Maiz Cuzco Frito y Salado Cuisine&Co Bolsa,3.68,wong,,,MAÍZ REVENTÓN (POP CORN)
Pop Corn PLANET POP Mantequilla Bolsa 85g,S/ 3.70,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,85.0,g,Pop Corn PLANET POP Mantequilla Bolsa,3.7,vivanda,,PLANET POP,MAÍZ REVENTÓN (POP CORN)
Maíz con Miel Vita Pluss Bolsa 140 g,S/ 3.90,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,140.0,g,Maíz con Miel Vita Pluss Bolsa,3.9,metro,,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Costeño 500g,S/ 4.00,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,500.0,g,Maíz Pop Corn Costeño,4.0,metro,,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Costeño 500g,S/ 4.00,wong,MAÍZ REVENTÓN (POP CORN),2024-12-04 18:01:00.784513,500.0,g,Maíz Pop Corn Costeño,4.0,wong,,,MAÍZ REVENTÓN (POP CORN)
Galletas Choco Donuts COSTA Sabor a Chocolate ...,S/ 4.19 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,6.0,un,Galletas Choco Donuts COSTA Sabor a Chocolate,4.19,plaza_vea,Paquete 6un,,MAÍZ REVENTÓN (POP CORN)
Wafer Cuadrado NIK Relleno con Crema Sabor a V...,S/ 4.20 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a V,4.2,plaza_vea,Paquete 6un,,MAÍZ REVENTÓN (POP CORN)
Galletas COSTA con Chips de Chocolate Bolsa 34...,S/ 4.20 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,6.0,un,Galletas COSTA con Chips de Chocolate Bolsa 34,4.2,plaza_vea,Paquete 6un,,MAÍZ REVENTÓN (POP CORN)
Wafer Cuadrado NIK Relleno con Crema Sabor a C...,S/ 4.20 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a C,4.2,plaza_vea,Paquete 6un,,MAÍZ REVENTÓN (POP CORN)
Maíz Atómico Andino con Maca Forte Golpe 125g,S/ 4.20,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,125.0,g,Maíz Atómico Andino con Maca Forte Golpe,4.2,metro,,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Máxima 500g,S/ 4.30,metro,MAÍZ REVENTÓN (POP CORN),2024-12-04 20:35:24.947663,500.0,g,Maíz Pop Corn Máxima,4.3,metro,,,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn BELL'S Bolsa 500g,S/ 4.30,vivanda,MAÍZ REVENTÓN (POP CORN),2024-12-04 17:11:11.763534,500.0,g,Maíz Pop Corn BELL'S Bolsa,4.3,vivanda,,BELL'S,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn BELL'S Bolsa 500g,S/ 4.30 un,plaza_vea,MAÍZ REVENTÓN (POP CORN),2024-12-04 12:52:35.838036,500.0,g,Maíz Pop Corn BELL'S Bolsa,4.3,plaza_vea,Bolsa 500g,,MAÍZ REVENTÓN (POP CORN)
