description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Hongos Secos BELL'S Sobre 10g,S/ 2.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,10.0,g,2.0,vivanda,BELL'S,MAÍZ SECO CANCHA
Maíz Pop Corn BELL'S Dulce Bolsa 70g,S/ 2.10,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,70.0,g,2.1,vivanda,BELL'S,MAÍZ SECO CANCHA
Hongo Seco Cuisine & Co 10g,S/ 2.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,10.0,g,2.9,metro,,MAÍZ SECO CANCHA
Hongo Seco Cuisine & Co 10g,S/ 2.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,10.0,g,2.9,wong,,MAÍZ SECO CANCHA
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,S/ 3.12,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,100.0,g,3.12,wong,,MAÍZ SECO CANCHA
Piqueo BELL'S Tortilla de maíz natural Bolsa 150Gr,S/ 3.30,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,150.0,g,3.3,vivanda,BELL'S,MAÍZ SECO CANCHA
Hongos Secos con Laurel Toña 13g,S/ 3.40,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,13.0,g,3.4,metro,,MAÍZ SECO CANCHA
Maíz Pop Corn Cuisine & Co 500g,S/ 3.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,500.0,g,3.5,metro,,MAÍZ SECO CANCHA
Maiz Cuzco Frito y Salado Cuisine&Co Bolsa 100 g,S/ 3.68,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,100.0,g,3.68,wong,,MAÍZ SECO CANCHA
Mix de Frutos Secos con Arándanos Granuts 50g,S/ 3.70,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,50.0,g,3.7,metro,,MAÍZ SECO CANCHA
Maíz Pop Corn Bolsa 350 g,S/ 3.80,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,350.0,g,3.8,metro,,MAÍZ SECO CANCHA
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,S/ 3.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,100.0,g,3.9,metro,,MAÍZ SECO CANCHA
Maíz con Miel Vita Pluss Bolsa 140 g,S/ 3.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,140.0,g,3.9,metro,,MAÍZ SECO CANCHA
Maíz con Miel Vita Pluss Bolsa 140 g,S/ 3.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,140.0,g,3.9,wong,,MAÍZ SECO CANCHA
Maíz Pop Corn Costeño 500g,S/ 4.00,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,500.0,g,4.0,wong,,MAÍZ SECO CANCHA
Maíz Pop Corn Costeño 500g,S/ 4.00,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,500.0,g,4.0,metro,,MAÍZ SECO CANCHA
Maíz Atómico Andino con Maca Forte Golpe 125g,S/ 4.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,125.0,g,4.2,metro,,MAÍZ SECO CANCHA
Cancha Chullpi + Chifle Salado VEGA Pote 150g,S/ 4.30,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238,150.0,g,4.3,vega,Vega,MAÍZ SECO CANCHA
Maíz Pop Corn BELL'S Bolsa 500g,S/ 4.30,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,500.0,g,4.3,vivanda,BELL'S,MAÍZ SECO CANCHA
Maiz Pop Corn Paisana Bolsa 500 g,S/ 4.40,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,500.0,g,4.4,metro,,MAÍZ SECO CANCHA
Piqueo BELL'S Frutos Secos Maíz del Cusco Bolsa 100g,S/ 4.50,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,100.0,g,4.5,vivanda,BELL'S,MAÍZ SECO CANCHA
Pasas Morenas Cuisine&Co 150g,S/ 4.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,4.5,metro,,MAÍZ SECO CANCHA
Maíz Pop Corn Cuisine & Co 500g,S/ 4.70,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,500.0,g,4.7,wong,,MAÍZ SECO CANCHA
Maiz Cuzco Frito y Salado Cuisine&Co Bolsa 100 g,S/ 4.70,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,100.0,g,4.7,metro,,MAÍZ SECO CANCHA
Tortillas de Maíz Clásica Cuisine & Co Bolsa 150 g,S/ 4.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,4.9,metro,,MAÍZ SECO CANCHA
Maíz Gigante Inka Corn Original 100g,S/ 4.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,100.0,g,4.9,wong,,MAÍZ SECO CANCHA
Maíz Pop Corn COSTEÑO Bolsa 500g,S/ 4.90,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238,500.0,g,4.9,vega,Costeño,MAÍZ SECO CANCHA
Fideo al Vapor CHOUNG LEE Seco Bolsa 250g,S/ 4.90,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,250.0,g,4.9,vivanda,CHOUNG LEE,MAÍZ SECO CANCHA
Pasas Morenas Cuisine&Co 150g,S/ 4.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,4.9,wong,,MAÍZ SECO CANCHA
Maíz Pop Corn Tesoro Del Campo Bolsa 500 g,S/ 4.95,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,500.0,g,4.95,metro,,MAÍZ SECO CANCHA
Maíz Pop Corn Tesoro Del Campo Bolsa 500 g,S/ 5.00,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,500.0,g,5.0,wong,,MAÍZ SECO CANCHA
Pasas Morenas Vallealto 150g,S/ 5.10,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,5.1,wong,,MAÍZ SECO CANCHA
Pasas Morenas Vallealto 150g,S/ 5.10,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,5.1,metro,,MAÍZ SECO CANCHA
Tortillas de Maíz Morado Mexi Nachos Bolsa 90 g,S/ 5.10,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,90.0,g,5.1,wong,,MAÍZ SECO CANCHA
Palitos de Maíz Cheese Tris Cheetos 120g,S/ 5.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,120.0,g,5.2,metro,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmitas Caja 80 g,S/ 5.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,80.0,g,5.2,metro,,MAÍZ SECO CANCHA
Maní Salado Cuisine & Co 200g,S/ 5.28,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,5.28,wong,,MAÍZ SECO CANCHA
Maní Karinto Crocante Picante 200g,S/ 5.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,5.5,wong,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmitas Caja 80 g,S/ 5.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,80.0,g,5.5,wong,,MAÍZ SECO CANCHA
Habas Fritas Cuisine&Co Bolsa 100 g,S/ 5.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,100.0,g,5.5,metro,,MAÍZ SECO CANCHA
Semillas de Girasol Cuisine&Co Pote 200 g,S/ 5.68,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,5.68,wong,,MAÍZ SECO CANCHA
Cancha con Chifle VEGA Pote 150g,S/ 5.80,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238,150.0,g,5.8,vega,Vega,MAÍZ SECO CANCHA
Tamal de Maíz CASA VERDE Gourmet Empaque 180g,S/ 5.80,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,180.0,g,5.8,vivanda,CASAVERDE,MAÍZ SECO CANCHA
Maíz Morado Metro x kg,S/ 5.89 x kg,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,1.0,kg,5.89,metro,,MAÍZ SECO CANCHA
Chips de Maíz Morado Orgánicos Wasi Bolsa 75 g,S/ 5.99,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,75.0,g,5.99,wong,,MAÍZ SECO CANCHA
Maíz Gigante Inka Corn Original 100g,S/ 5.99,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,100.0,g,5.99,metro,,MAÍZ SECO CANCHA
Cancha Chulpi Salada 150g,S/ 6,tottus,MAÍZ SECO CANCHA,2024-12-04 12:57:00.919842,150.0,g,6.0,tottus,TOTTUS,MAÍZ SECO CANCHA
Maíz Gigante Inka Corn Chile Picante 100g,S/ 6.20,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,100.0,g,6.2,wong,,MAÍZ SECO CANCHA
Piqueo VALLE ALTO Frutos secos con almendras Bolsa 150Gr,S/ 6.40,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,150.0,g,6.4,vivanda,VALLEALTO,MAÍZ SECO CANCHA
Maíz Pop Corn Valle Norte Bolsa 500 g,S/ 6.40,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,500.0,g,6.4,wong,,MAÍZ SECO CANCHA
Maíz Cancha Cusco BELL'S Bolsa 400g,S/ 6.40,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,400.0,g,6.4,vivanda,BELL'S,MAÍZ SECO CANCHA
Maíz Pop Corn VALLENORTE Bolsa 500g,S/ 6.40,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,500.0,g,6.4,vivanda,VALLENORTE,MAÍZ SECO CANCHA
Maiz Cancha x 400 gr,S/ 6.43,tottus,MAÍZ SECO CANCHA,2024-12-04 12:57:00.919842,400.0,g,6.43,tottus,TOTTUS,MAÍZ SECO CANCHA
Maní Recubierto Granuts Kraks Oriental 180g,S/ 6.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,180.0,g,6.5,wong,,MAÍZ SECO CANCHA
Maní Recubierto Granuts Kraks Oriental 180g,S/ 6.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,180.0,g,6.5,metro,,MAÍZ SECO CANCHA
Maní Salado Cuisine & Co 200g,S/ 6.60,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,200.0,g,6.6,metro,,MAÍZ SECO CANCHA
Maíz Dulce en Granos Fruto de Oro 425g,S/ 6.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,425.0,g,6.9,metro,,MAÍZ SECO CANCHA
Piñas en Rodajas Cuisine & Co 565g,S/ 6.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,565.0,g,6.9,metro,,MAÍZ SECO CANCHA
Maíz Dulce FRUTO DE ORO Lata 425g,S/ 6.90,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,425.0,g,6.9,vivanda,FRUTO DE ORO,MAÍZ SECO CANCHA
Maíz Dulce en Granos Fruto de Oro 425g,S/ 6.99,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,425.0,g,6.99,wong,,MAÍZ SECO CANCHA
Mix Up Vallealto 150g,S/ 7.40,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,7.4,metro,,MAÍZ SECO CANCHA
Maní Tostado Villa Natura 200g,S/ 7.70,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,7.7,wong,,MAÍZ SECO CANCHA
Cocktail de Nueces Original Vallealto 150g,S/ 7.80,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,7.8,metro,,MAÍZ SECO CANCHA
Cocktail de Nueces Original Vallealto 150g,S/ 7.80,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,7.8,wong,,MAÍZ SECO CANCHA
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,250.0,g,7.9,metro,,MAÍZ SECO CANCHA
Duraznos en Almíbar Cuisine & Co 820g,S/ 7.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,820.0,g,7.9,metro,,MAÍZ SECO CANCHA
Conserva de Maíz Tierno Entero GOYA Lata 248g,S/ 7.90,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,248.0,g,7.9,vivanda,GOYA,MAÍZ SECO CANCHA
Pecana Pelada Villa Natura 60g,S/ 7.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,60.0,g,7.9,metro,,MAÍZ SECO CANCHA
Duraznos en Almíbar Cuisine & Co 820g,S/ 7.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,820.0,g,7.9,wong,,MAÍZ SECO CANCHA
Aceite de Girasol Mucho Gussto 900ml,S/ 7.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,900.0,ml,7.9,metro,,MAÍZ SECO CANCHA
Cancha Chulpi Villa Natura 150g,S/ 7.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,7.9,metro,,MAÍZ SECO CANCHA
Aceite de Girasol Cuisine & Co 900ml,S/ 7.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,900.0,ml,7.9,wong,,MAÍZ SECO CANCHA
Maní Karinto Crocante Salado 200g,S/ 7.99,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,200.0,g,7.99,metro,,MAÍZ SECO CANCHA
Ají Marisol Seco BELL'S FRESCOS Bandeja 100g,S/ 7.99,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,100.0,g,7.99,vivanda,BELL'S FRESCOS,MAÍZ SECO CANCHA
Galletas de Maíz SALMAS Horneadas Caja 144g,S/ 8.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,144.0,g,8.0,vivanda,SALMAS,MAÍZ SECO CANCHA
Pasas Morenas Vallealto 250g,S/ 8.20,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,250.0,g,8.2,wong,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas 144g,S/ 8.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,144.0,g,8.5,metro,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas Maíz Morado 126g,S/ 8.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,126.0,g,8.5,metro,,MAÍZ SECO CANCHA
Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,MAÍZ SECO CANCHA,2024-12-04 13:00:36.165238,1.0,kg,8.5,vega,P.A.N.,MAÍZ SECO CANCHA
Duraznos En Almíbar Wong Lata 820 g,S/ 8.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,820.0,g,8.5,wong,,MAÍZ SECO CANCHA
Ají Panca Seco BELL'S FRESCOS Bandeja 100g,S/ 8.50,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,100.0,g,8.5,vivanda,BELL'S FRESCOS,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas Granos y Semillas 126g,S/ 8.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,126.0,g,8.5,metro,,MAÍZ SECO CANCHA
Mix de Nueces y Frutas Cuisine&Co Pote 200 g,S/ 8.56,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,8.56,wong,,MAÍZ SECO CANCHA
Cocktail de Frutas en Almíbar Cuisine & Co Lata 820 gr,S/ 8.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,820.0,g,8.9,metro,,MAÍZ SECO CANCHA
Frutos Secos Berries Berry Mix Villa Natura 150g,S/ 8.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,8.9,wong,,MAÍZ SECO CANCHA
Almendra Natural Vallealto 90g,S/ 8.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,90.0,g,8.9,wong,,MAÍZ SECO CANCHA
Frutos de Secos Cocktail Premium Villa Natura 150g,S/ 8.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,8.9,metro,,MAÍZ SECO CANCHA
Maíz Mote Precocido GUVA Bolsa 500g,S/ 8.99,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,500.0,g,8.99,vivanda,GUVA,MAÍZ SECO CANCHA
Tortillas de Maíz TOSTITOS con Sal Bolsa 200g,S/ 9.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,200.0,g,9.0,vivanda,TOSTITOS,MAÍZ SECO CANCHA
Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa 200g,S/ 9.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,200.0,g,9.0,vivanda,FRITO LAY,MAÍZ SECO CANCHA
Nueces Peladas Cuisine & Co 90g,S/ 9.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,90.0,g,9.2,metro,,MAÍZ SECO CANCHA
Guindón Sin Pepa Cuisine & Co 150g,S/ 9.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,9.5,metro,,MAÍZ SECO CANCHA
Mix de Frutos Secos con Arándanos Granuts 180g,S/ 9.50,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,180.0,g,9.5,metro,,MAÍZ SECO CANCHA
Mix de Frutos Secos con Arándanos Granuts 180g,S/ 9.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,180.0,g,9.5,wong,,MAÍZ SECO CANCHA
Guindón Sin Pepa Cuisine & Co 150g,S/ 9.70,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,9.7,wong,,MAÍZ SECO CANCHA
Tortillas de Maíz TOSTITOS Redondos Bolsa 200g,S/ 9.90,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,200.0,g,9.9,vivanda,TOSTITOS,MAÍZ SECO CANCHA
Guindón sin Pepa Vallealto 150g,S/ 9.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,9.9,wong,,MAÍZ SECO CANCHA
Puré de Manzana Cuisine&Co Frasco 850 g,S/ 9.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,850.0,g,9.9,wong,,MAÍZ SECO CANCHA
Berry Mix Original Vallealto 150g,S/ 10.10,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,10.1,metro,,MAÍZ SECO CANCHA
Berry Crunch Original Vallealto 250g,S/ 10.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,250.0,g,10.2,metro,,MAÍZ SECO CANCHA
Berry Crunch Original Vallealto 250g,S/ 10.30,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,250.0,g,10.3,wong,,MAÍZ SECO CANCHA
Nueces Peladas Vallealto 90g,S/ 10.30,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,90.0,g,10.3,wong,,MAÍZ SECO CANCHA
Snack de Maíz Tostado con Arándanos Almendras y Maní Salado y Confitado de 180 g,S/ 10.49,tottus,MAÍZ SECO CANCHA,2024-12-04 12:57:00.919842,180.0,g,10.49,tottus,GRANUTS,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas 144g,S/ 10.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,144.0,g,10.5,wong,,MAÍZ SECO CANCHA
Maíz Pop Corn PLANET POP Mantequilla Paquete 3un,S/ 10.50,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,3.0,un,10.5,vivanda,PLANET POP,MAÍZ SECO CANCHA
Tortillas de Maíz Saniito 12un,S/ 10.60,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,12.0,un,10.6,wong,,MAÍZ SECO CANCHA
Premium Cocktail Sin Maní Original Vallealto 150g,S/ 10.80,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,150.0,g,10.8,metro,,MAÍZ SECO CANCHA
Frutos de Secos Cocktail Premium Villa Natura 150g,S/ 10.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,10.9,wong,,MAÍZ SECO CANCHA
Cocktail de Nueces Villa Natura 250g,S/ 10.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,250.0,g,10.9,metro,,MAÍZ SECO CANCHA
Snacks de Papa Maíz y Trigo PIQUEO SNAX Bolsa 260g,S/ 11.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,260.0,g,11.0,vivanda,FRITO LAY,MAÍZ SECO CANCHA
Frutos Secos VILLA NATURA Cocktail Premium Bolsa 150g,S/ 11.00,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,150.0,g,11.0,vivanda,VILLA NATURA,MAÍZ SECO CANCHA
Premium Cocktail Sin Maní Original Vallealto 150g,S/ 11.10,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,150.0,g,11.1,wong,,MAÍZ SECO CANCHA
Semillas de Calabaza Cuisine&Co Pote 200 g,S/ 11.20,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,200.0,g,11.2,wong,,MAÍZ SECO CANCHA
Mix de Nueces y Frutas Cuisine&Co Pote 200 g,S/ 11.20,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,200.0,g,11.2,metro,,MAÍZ SECO CANCHA
Harina de Maíz Blanco P.A.N. Precocida Bolsa 1Kg,S/ 11.30,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,1.0,kg,11.3,vivanda,PAN,MAÍZ SECO CANCHA
Maíz Cancha Sierra Exportadora Desgranado Bolsa 425 g,S/ 11.30,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,425.0,g,11.3,wong,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas Granos y Semillas 126g,S/ 11.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,126.0,g,11.5,wong,,MAÍZ SECO CANCHA
Galletas de Maíz Horneadas Salmas Maíz Morado 126g,S/ 11.50,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,126.0,g,11.5,wong,,MAÍZ SECO CANCHA
Tortillas de Maíz EL TACO Bolsa 10un,S/ 11.70,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,10.0,un,11.7,vivanda,EL TACO,MAÍZ SECO CANCHA
Cashews Vallealto 90g,S/ 11.90,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,90.0,g,11.9,wong,,MAÍZ SECO CANCHA
Aceite de Canola Cuisine & Co Botella 1 lt,S/ 11.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,1.0,l,11.9,metro,,MAÍZ SECO CANCHA
Maiz Gigante con Chocolate Inka Corn 100g,S/ 11.90,metro,MAÍZ SECO CANCHA,2024-12-04 20:36:38.353448,100.0,g,11.9,metro,,MAÍZ SECO CANCHA
Habas Saladas Villa Natura 250g,S/ 12.20,wong,MAÍZ SECO CANCHA,2024-12-04 18:03:09.390769,250.0,g,12.2,wong,,MAÍZ SECO CANCHA
Tortillas de Maíz NACHOS Mixtas Bolsa 260g,S/ 12.30,vivanda,MAÍZ SECO CANCHA,2024-12-04 17:12:29.058255,260.0,g,12.3,vivanda,NACHOS,MAÍZ SECO CANCHA
