description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sandía,,2.5,kg,1.29,plaza_vea,2024-12-04 13:56:12.118324,MELÓN,2.5,kg,1.29,MELÓN
Sandía Metro x kg,,1.0,kg,1.69,metro,2024-12-04 21:36:24.847304,MELÓN,1.0,kg,1.69,MELÓN
Melón Coquito Metro x kg,,1.0,kg,3.29,metro,2024-12-04 21:36:24.847304,MELÓN,1.0,kg,3.29,MELÓN
Melón Coquito,,1.2,kg,3.29,plaza_vea,2024-12-04 13:56:12.118324,MELÓN,1.2,kg,3.29,MELÓN
Melón Coquito Wong x kg,,1.0,kg,3.49,wong,2024-12-04 19:36:01.769690,MELÓN,1.0,kg,3.49,MELÓN
Pepino Melón x kg,,1.0,kg,4.99,metro,2024-12-04 21:36:24.847304,MELÓN,1.0,kg,4.99,MELÓN
Melón en Trozos BELL'S Bandeja 300g,,300.0,g,5.6,plaza_vea,2024-12-04 13:56:12.118324,MELÓN,300.0,g,5.6,MELÓN
Melón Honey Metro x kg,,1.0,kg,5.99,metro,2024-12-04 21:36:24.847304,MELÓN,1.0,kg,5.99,MELÓN
Pepino Melón x kg,,1.0,kg,5.99,wong,2024-12-04 19:36:01.769690,MELÓN,1.0,kg,5.99,MELÓN
Pepino Melón,,0.6,kg,6.49,plaza_vea,2024-12-04 13:56:12.118324,MELÓN,0.6,kg,6.49,MELÓN
Ambientador en Aerosol Sapolio Melón 360ml,,360.0,ml,7.1,metro,2024-12-04 21:36:24.847304,MELÓN,360.0,ml,7.1,MELÓN
Melón en Trozos Natifrut 280g,,280.0,g,7.49,wong,2024-12-04 19:36:01.769690,MELÓN,280.0,g,7.49,MELÓN
Melón en Trozos Natifrut 280g,,280.0,g,7.49,metro,2024-12-04 21:36:24.847304,MELÓN,280.0,g,7.49,MELÓN
Origens Comida para Gatos Filete de Atún con Melón Lata 85 g,,85.0,g,7.8,wong,2024-12-04 19:36:01.769690,MELÓN,85.0,g,7.8,MELÓN
"Ensalada de Melón, Mango y Uva SOLEI Bandeja 3...",,300.0,g,8.79,plaza_vea,2024-12-04 13:56:12.118324,MELÓN,300.0,g,8.79,MELÓN
Melón Deshidratado Natifrut x kg,,1.0,kg,188.0,wong,2024-12-04 19:36:01.769690,MELÓN,1.0,kg,188.0,MELÓN
"Fruta Deshidratada Manzana, Fresa y Melón Natifrut x kg",,1.0,kg,279.0,wong,2024-12-04 19:36:01.769690,MELÓN,1.0,kg,279.0,MELÓN
