description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Leche Reconstituida con Vitaminas Gloria Lata 170g,S/ 2.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,170.0,g,2.2,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,S/ 2.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,170.0,g,2.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea en Polvo Bonlé 96g,S/ 2.69,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,2.69,metro,,,MEZCLA LÁCTEA EVAPORADA
Gloria Leche Light 170g,S/ 2.80,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,170.0,g,2.8,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Bonlé Familiar Lata 390g,S/ 3.00,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,3.0,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar AJINOMIX Crocante Bolsa 96g,S/ 3 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,96.0,g,3.0,plaza_vea,Bolsa 96g,,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar AJINOMIX Crocante Bolsa 96g,S/ 3.00,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,96.0,g,3.0,vivanda,,AJINOMIX,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Bonlé Familiar Lata 390g,S/ 3.00,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.0,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar AJINOMIX Picante Bolsa 80g,S/ 3.30,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,80.0,g,3.3,vivanda,,AJINOMIX,MEZCLA LÁCTEA EVAPORADA
Mezcla para Apanar MAGGI Pollo a la Brasa Sobre 45g,S/ 3.50,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,45.0,g,3.5,vivanda,,MAGGI,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Cremosa Bonlé Lata 390g,S/ 3.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.5,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Laive Nutrilac Botella 390g,S/ 3.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,3.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Lista para Apanar MAGGI Sobre 80g,S/ 3.60,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,80.0,g,3.6,vivanda,,MAGGI,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Bolsa 390g,S/ 3.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,3.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea IDEAL Cremosita Lata 390gr,S/ 3.80,vega,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:42:27.301687,390.0,g,3.8,vega,,Nestle,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Bolsa 390g,S/ 3.80,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,3.8,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea IDEAL Cremosita Lata 390g,S/ 3.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,3.9,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea IDEAL Amanecer Lata 390g,S/ 3.90,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,390.0,g,3.9,vivanda,,IDEAL AMANECER,MEZCLA LÁCTEA EVAPORADA
Leche Evaporada BELL'S Light Lata 410g,S/ 3.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,410.0,g,3.9,plaza_vea,Lata 410g,,MEZCLA LÁCTEA EVAPORADA
Leche Evaporada BELL'S Entera Lata 410g,S/ 3.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,410.0,g,3.9,plaza_vea,Lata 410g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Amanecer 390g,S/ 4.10,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.1,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Evaporada BELL'S Light Lata 410g,S/ 4.20,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,410.0,g,4.2,vivanda,,BELL'S,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Entera GLORIA Lata 390g,S/ 4.20 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.2,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Evaporada Entera Gloria Lata 390g,S/ 4.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.2,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Lata 390g,S/ 4.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.2,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Lata 390g,S/ 4.30,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.3,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Botella 390g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.3,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Evaporada Light Cuisine & Co Lata 410g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,410.0,g,4.3,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Botella 390g,S/ 4.40,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.4,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Light GLORIA Lata 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.4,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
