description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Jabón de Tocador GLICI Miel de Abeja Barra 90g,S/ 2.70,vega,MIEL DE ABEJA,2024-12-04 14:26:04.286707,90.0,g,2.7,vega,,Glici,MIEL DE ABEJA
Yogurt Estílo Griego Tigo con Miel de Abeja Vaso 160 g,S/ 6.40,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,160.0,g,6.4,metro,,,MIEL DE ABEJA
Yogurt TIGO Premium Natural con Miel de Abeja Vaso 160g,S/ 6.40,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,160.0,g,6.4,vivanda,,TIGO,MIEL DE ABEJA
Miel de Abeja LA FLORENCIA 200g,S/ 8.90 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,200.0,g,8.9,plaza_vea,Pote 200g,,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa 175 g,S/ 12.70,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,175.0,g,12.7,tottus,,,MIEL DE ABEJA
Miel de Abeja 250 g,S/ 12.90,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,250.0,g,12.9,tottus,,OLIVOS DEL SUR,MIEL DE ABEJA
Sirope sabor a Miel de Abeja SPITZE Botella 48...,S/ 12.90 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,480.0,g,12.9,plaza_vea,Botella 480g,,MIEL DE ABEJA
Miel de Abeja VEGA Frasco 250g,S/ 12.90 6%,vega,MIEL DE ABEJA,2024-12-04 14:26:04.286707,250.0,g,12.9,vega,,Vega,MIEL DE ABEJA
Sirope Sabor a Miel de Abeja SPITZE Botella 480g,S/ 12.90,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,480.0,g,12.9,vivanda,,SPITZE,MIEL DE ABEJA
Sirope Sabor Miel de Abeja Spitze Frasco 480 g,S/ 13.12,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,480.0,g,13.12,metro,,,MIEL DE ABEJA
Cereal UNIÓN Granola con miel de abeja Doypack...,S/ 15.50 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,400.0,g,15.5,plaza_vea,Doypack 400g,,MIEL DE ABEJA
Cereal UNIÓN Granola con miel de abeja Doypack 400g,S/ 15.50,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,400.0,g,15.5,vivanda,,UNIÓN,MIEL DE ABEJA
Miel Eucalipto 300 g,S/ 15.90,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,300.0,g,15.9,tottus,,LA ABEJA REAL,MIEL DE ABEJA
Miel de Abeja Reyna de Oxapampa Frasco 175 g,S/ 16.17,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,175.0,g,16.17,wong,,,MIEL DE ABEJA
Miel de Abeja LA REYNA DE OXAPAMPA Frasco 175g,S/ 16.20,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,175.0,g,16.2,vivanda,,LA REYNA DE OXAPAMPA,MIEL DE ABEJA
MIEL DE ABEJA 300G,S/ 16.50,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,300.0,g,16.5,tottus,,,MIEL DE ABEJA
Miel de abeja LA REYNA OXAPAMPA Frasco 300Gr,S/ 21.20,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,300.0,g,21.2,vivanda,,LA REYNA DE OXAPAMPA,MIEL DE ABEJA
Miel de Abeja Dulce Natura Floración Eucalipto Frasco 300 g,S/ 21.30,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,300.0,g,21.3,metro,,,MIEL DE ABEJA
Miel de Abeja Dolce Natura Floración Silvestre Frasco 300 g,S/ 21.30,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,300.0,g,21.3,metro,,,MIEL DE ABEJA
Miel de Abeja Callejón de Huaylas Natural Frasco 300 g,S/ 21.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,300.0,g,21.5,metro,,,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa Frasco 300 g,S/ 21.88,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,300.0,g,21.88,metro,,,MIEL DE ABEJA
Miel de abeja LA REYNA OXAPAMPA Frasco 300Gr,S/ 21.89 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,300.0,g,21.89,plaza_vea,Frasco 300g,,MIEL DE ABEJA
Mantequilla de Maní SPREAD con Miel de Abeja Frasco 410g,S/ 21.90,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,410.0,g,21.9,vivanda,,SPREAD,MIEL DE ABEJA
Miel de Abeja Dulce Natura Floración Eucalipto Frasco 300 g,S/ 21.90,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,300.0,g,21.9,wong,,,MIEL DE ABEJA
Miel de Abeja CALLEJÓN DE HUAYLAS Floración Silvestre Frasco 300g,S/ 22.10,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,300.0,g,22.1,vivanda,,CALLEJON DE HUAYLAS,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa Frasco 300 g,S/ 22.28,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,300.0,g,22.28,wong,,,MIEL DE ABEJA
Miel De Abeja Cruda x 350 g,S/ 26.11,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,350.0,g,26.11,tottus,,HACIENDA DE NAJAR,MIEL DE ABEJA
Miel de Abeja OLIVOS DEL SUR Botella 500ml,S/ 26.50,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,500.0,ml,26.5,vivanda,,OLIVOS DEL SUR,MIEL DE ABEJA
Polen de Abeja La Reyna de Oxapampa Frasco 140 g,S/ 26.95,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,140.0,g,26.95,metro,,,MIEL DE ABEJA
Miel de Abeja Artidoro Rodríguez Amazonas 300g,S/ 27.60,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,300.0,g,27.6,wong,,,MIEL DE ABEJA
Miel de Abeja Hacienda de Najar 350g,S/ 27.90,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,350.0,g,27.9,metro,,,MIEL DE ABEJA
Miel De Abejas Cosecha Del Paraíso Frasco 300 g,S/ 28.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,300.0,g,28.5,metro,,,MIEL DE ABEJA
Miel de Abeja Hacienda de Najar 350g,S/ 28.80,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,350.0,g,28.8,wong,,,MIEL DE ABEJA
Miel de Abeja 600 g,S/ 28.90,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,600.0,g,28.9,tottus,,OLIVOS DEL SUR,MIEL DE ABEJA
Miel De Abeja Cuisine&Co Frasco 600 g,S/ 29.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,600.0,g,29.5,metro,,,MIEL DE ABEJA
Miel De Abeja Cuisine&Co Frasco 600 g,S/ 29.50,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,600.0,g,29.5,wong,,,MIEL DE ABEJA
Miel de abeja BELL'S Miel de abeja natural Frasco 600Gr,S/ 29.50,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,600.0,g,29.5,vivanda,,BELL'S,MIEL DE ABEJA
Miel de abeja BELL'S Miel de abeja natural Fra...,S/ 29.50 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,600.0,g,29.5,plaza_vea,Frasco 600g,,MIEL DE ABEJA
Miel de Abeja 600 g,S/ 29.90,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,600.0,g,29.9,tottus,,TOTTUS,MIEL DE ABEJA
Miel de Abeja la Reyna de Oxapampa 600 g,S/ 30.70,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,600.0,g,30.7,tottus,,,MIEL DE ABEJA
Miel de abeja LA REYNA OXAPAMPA Frasco 600Gr,S/ 30.70 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,600.0,g,30.7,plaza_vea,Frasco 600g,,MIEL DE ABEJA
Miel De Abeja Orgánica Wasi Frasco 300 g,S/ 32.40,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,300.0,g,32.4,wong,,,MIEL DE ABEJA
Miel de Abeja Dolce Natura Floración Eucalipto Frasco 600 g,S/ 32.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,600.0,g,32.5,metro,,,MIEL DE ABEJA
Miel de Abeja Dolce Natura Floración Silvestre Frasco 600 g,S/ 32.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,600.0,g,32.5,metro,,,MIEL DE ABEJA
Miel de Abeja Dolce Natura Floración Silvestre Frasco 600 g,S/ 33.70,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,600.0,g,33.7,wong,,,MIEL DE ABEJA
Miel de Abeja la Reyna de Oxapampa 750 g,S/ 34.90,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,750.0,g,34.9,tottus,,,MIEL DE ABEJA
Miel de abeja LA REYNA OXAPAMPA Frasco 600Gr,S/ 35.40,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,600.0,g,35.4,vivanda,,LA REYNA DE OXAPAMPA,MIEL DE ABEJA
Miel de Abeja CALLEJÓN DE HUAYLAS Floración Si...,S/ 36.50 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,500.0,g,36.5,plaza_vea,Frasco 500g,,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa Frasco 600 g,S/ 37.16,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,600.0,g,37.16,metro,,,MIEL DE ABEJA
Miel de Abejas Silvestre Callejón de Huaylas Frasco 500 g,S/ 37.40,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,500.0,g,37.4,wong,,,MIEL DE ABEJA
Miel de Abeja Hacienda de Najar 600g,S/ 37.50,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,600.0,g,37.5,wong,,,MIEL DE ABEJA
Miel CALLEJÓN DE HUAYLAS Miel de Abejas y Euca...,S/ 40.50 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,500.0,g,40.5,plaza_vea,Frasco 500g,,MIEL DE ABEJA
Miel de Abejas CALLEJÓN DE HUAYLAS Floración Eucalipto Frasco 500g,S/ 40.50,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,500.0,g,40.5,vivanda,,CALLEJON DE HUAYLAS,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa Frasco 750 g,S/ 43.45,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,750.0,g,43.45,wong,,,MIEL DE ABEJA
Miel de Abeja Pura HUAGAL Oxapampa Frasco 500g,S/ 45 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,500.0,g,45.0,plaza_vea,Frasco 500g,,MIEL DE ABEJA
Miel de Abeja Natural Queen Bee's Frasco 1 kg,S/ 46.20,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,1.0,kg,46.2,wong,,,MIEL DE ABEJA
Miel de Abeja Callejón de Huaylas Frasco 600 g,S/ 46.90,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,600.0,g,46.9,wong,,,MIEL DE ABEJA
Miel de Abeja LA REYNA OXAPAMPA Frasco 1100g,S/ 51.80 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,1100.0,g,51.8,plaza_vea,Frasco 1100g,,MIEL DE ABEJA
Miel de Abeja Cuisine&Co Frasco 1100 g,S/ 52.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1100.0,g,52.5,metro,,,MIEL DE ABEJA
Miel De Abeja Dulce Natura Floración Eucalipto Frasco 1100 g,S/ 56.90,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1100.0,g,56.9,metro,,,MIEL DE ABEJA
Miel de Abeja Dulce Natura Floración Silvestre Frasco 1100 g,S/ 56.90,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1100.0,g,56.9,metro,,,MIEL DE ABEJA
Miel De Abeja Cruda x 1 Kg,S/ 58.03,tottus,MIEL DE ABEJA,2024-12-04 13:47:13.606401,1.0,kg,58.03,tottus,,HACIENDA DE NAJAR,MIEL DE ABEJA
Miel de Abeja Hacienda de Najar 1kg,S/ 60.60,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1.0,kg,60.6,metro,,,MIEL DE ABEJA
Miel de Abeja LA REYNA OXAPAMPA Frasco 1100g,S/ 61.30,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,1100.0,g,61.3,vivanda,,LA REYNA DE OXAPAMPA,MIEL DE ABEJA
Miel de Abeja CALLEJÓN DE HUAYLAS Silvestre Fr...,S/ 62.50 un,plaza_vea,MIEL DE ABEJA,2024-12-04 14:20:11.383045,1100.0,g,62.5,plaza_vea,Frasco 1100g,,MIEL DE ABEJA
Miel de Abeja CALLEJÓN DE HUAYLAS Silvestre Frasco 1.1Kg,S/ 62.50,vivanda,MIEL DE ABEJA,2024-12-04 18:05:01.549973,1.1,kg,62.5,vivanda,,CALLEJON DE HUAYLAS,MIEL DE ABEJA
Miel De Abeja Callejón De Huaylas Frasco 1100 g,S/ 62.50,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1100.0,g,62.5,metro,,,MIEL DE ABEJA
Miel de Abeja La Reyna de Oxapampa Frasco 1.1 Kg,S/ 64.05,metro,MIEL DE ABEJA,2024-12-04 21:57:23.665884,1.1,kg,64.05,metro,,,MIEL DE ABEJA
Miel De Abeja Callejón De Huaylas Frasco 1100 g,S/ 64.80,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,1100.0,g,64.8,wong,,,MIEL DE ABEJA
Miel De Abejas Cosecha Del Paraíso Frasco 1.5 kg,S/ 84.70,wong,MIEL DE ABEJA,2024-12-04 20:07:49.545220,1.5,kg,84.7,wong,,,MIEL DE ABEJA
