description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Refresco Instantáneo Sabor Naranja Sobre 15 g,,15.0,g,1.2,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,15.0,g,1.2,NARANJA DE JUGO
Jugo en polvo sabor a naranja de 15 g,ZUKO,15.0,g,1.2,tottus,2024-12-04 13:26:28.788545,NARANJA DE JUGO,15.0,g,1.2,NARANJA DE JUGO
Refresco Instantáneo Sabor Naranja Sobre 15 g,,15.0,g,1.2,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,15.0,g,1.2,NARANJA DE JUGO
Refresco Instantáneo Umsha Frutísimos Sabor Naranja 20g,,20.0,g,1.6,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,20.0,g,1.6,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",,500.0,ml,1.7,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,500.0,ml,1.7,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",,500.0,ml,1.7,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,500.0,ml,1.7,NARANJA DE JUGO
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",,500.0,ml,2.1,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,500.0,ml,2.1,NARANJA DE JUGO
Bebida Sabor Naranja 350 mL,WATTS,350.0,ml,2.1,tottus,2024-12-04 13:26:28.788545,NARANJA DE JUGO,350.0,ml,2.1,NARANJA DE JUGO
Naranja para Jugo Chanchamayo x kg,,1.0,kg,2.29,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,1.0,kg,2.29,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,,14.0,g,2.3,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,14.0,g,2.3,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,,14.0,g,2.3,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,14.0,g,2.3,NARANJA DE JUGO
Bebida de Naranja Watts Botella 350ml,,350.0,ml,2.4,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,350.0,ml,2.4,NARANJA DE JUGO
Gaseosa sabor Naranja 500 mL,FANTA,500.0,ml,2.7,tottus,2024-12-04 13:26:28.788545,NARANJA DE JUGO,500.0,ml,2.7,NARANJA DE JUGO
Puré De Camote Jugo Naranja Granada Y Miel x 40 g,CAMOFIT,40.0,g,2.9,tottus,2024-12-04 13:26:28.788545,NARANJA DE JUGO,40.0,g,2.9,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 600 ml",,600.0,ml,2.99,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,600.0,ml,2.99,NARANJA DE JUGO
Naranja para Jugo Chanchamayo x kg,,1.0,kg,2.99,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,1.0,kg,2.99,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 970ml,,970.0,ml,3.9,wong,2024-12-04 19:21:27.217450,NARANJA DE JUGO,970.0,ml,3.9,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 970ml,,970.0,ml,3.9,metro,2024-12-04 21:26:51.225788,NARANJA DE JUGO,970.0,ml,3.9,NARANJA DE JUGO
