description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
SAL DE MESA X 1 KG,S/ 2.10,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,1.0,kg,2.1,tottus,TOTTUS,NARANJA DE MESA
Sal de mar de mesa Emsal de 1 kg,S/ 2.50,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,1.0,kg,2.5,tottus,MARINA,NARANJA DE MESA
Gaseosa FANTA Naranja 500ml,S/ 2.70,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,500.0,ml,2.7,vega,Fanta,NARANJA DE MESA
Gelatina UMSHA Sabor Naranja Bolsa 120g,S/ 3.20,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,120.0,g,3.2,vega,UMSHA,NARANJA DE MESA
Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,130.0,g,3.5,vega,Universal,NARANJA DE MESA
Bebida GLORIA Naranja Caja 1L,S/ 4.00,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,1.0,l,4.0,vega,Gloria,NARANJA DE MESA
"Bebida GLORIA Naranja Caja 1,5L",S/ 5.00,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,5.0,l,5.0,vega,Gloria,NARANJA DE MESA
Gelatina ROYAL Sabor a Naranja Bolsa 160gr,S/ 5.00,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,160.0,g,5.0,vega,Royal,NARANJA DE MESA
Galleta VICTORIA Tentación Sabor a Naranja Paquete 6u 43gr,S/ 5.30,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,43.0,g,5.3,vega,Victoria,NARANJA DE MESA
Galleta CHOMP Sabor a Naranja Paquete 6 un,S/ 5.40,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,6.0,un,5.4,vega,Victoria,NARANJA DE MESA
Galleta UNIÓN Mega Naranja Bolsa 195g,S/ 5.50,vivanda,NARANJA DE MESA,2024-12-04 17:43:43.154921,195.0,g,5.5,vivanda,UNIÓN,NARANJA DE MESA
Servilletas de Mesa 1 hoja 60 unds,S/ 5.80,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,60.0,un,5.8,tottus,ELITE,NARANJA DE MESA
Chilcano TABERNERO Bar Naranja Botella 275ml,S/ 5.90 16%,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,275.0,ml,5.9,vega,Tabernero,NARANJA DE MESA
Agua de mesa sin gas bidón 7 L,S/ 5.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,7.0,l,5.9,tottus,TOTTUS,NARANJA DE MESA
Galleta MARQUESITA Sabor a Naranja Paquete 6 un,S/ 6.20,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,6.0,un,6.2,vega,Victoria,NARANJA DE MESA
Gaseosa FANTA Botella 3L,S/ 6.90,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,3.0,l,6.9,vega,Fanta,NARANJA DE MESA
Naranja de Mesa Importada x kg,S/ 6.99 x kg,metro,NARANJA DE MESA,2024-12-04 21:27:22.974514,1.0,kg,6.99,metro,,NARANJA DE MESA
Naranja de Mesa Importada x kg,S/ 7.99 x kg,wong,NARANJA DE MESA,2024-12-04 19:20:31.752238,1.0,kg,7.99,wong,,NARANJA DE MESA
Cremera 300mL Mediterráneo Blue Rim,S/ 9.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,300.0,ml,9.9,tottus,CASA JOVEN,NARANJA DE MESA
Sacagrasa SAPOLIO Naranja Gatillo 650ml,S/ 11.50,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,650.0,ml,11.5,vega,Sapolio,NARANJA DE MESA
Salsa de Uchucuta ALACENA Doypack 400g,S/ 12.90 4%,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,400.0,g,12.9,vega,Alacena,NARANJA DE MESA
Crema Multiuso CIF Flores Naranja Frasco 750ml,S/ 12.90,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,750.0,ml,12.9,vega,Cif,NARANJA DE MESA
Naranja de Mesa La Pecosita Wong x 2Kg,S/ 13.99,wong,NARANJA DE MESA,2024-12-04 19:20:31.752238,2.0,kg,13.99,wong,,NARANJA DE MESA
Refresco instantáneo ZUKO de Naranja Display 12u Sobre 15gr,S/ 14.40,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,15.0,g,14.4,vega,Zuko,NARANJA DE MESA
Mayonesa ALACENA Doypack 850g,S/ 16.90 12%,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,850.0,g,16.9,vega,Alacena,NARANJA DE MESA
Bebida GLORIA Sabor a Naranja Caja 1.5L x 3u,S/ 17.40,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,1.5,l,17.4,vega,Gloria,NARANJA DE MESA
Sacagrasa MR. MÚSCULO Naranja Gatillo 500ml,S/ 17.90,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,500.0,ml,17.9,vega,Mr Musculo,NARANJA DE MESA
Agua De Mesa Sin Gas Caja 20 L,S/ 19.50,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,20.0,l,19.5,tottus,TOTTUS,NARANJA DE MESA
Gaseosa FANTA Naranja 500ml Paquete 12u,S/ 26.40,vega,NARANJA DE MESA,2024-12-04 13:52:10.747716,500.0,ml,26.4,vega,Fanta,NARANJA DE MESA
Tetera Acero Inoxidable 2.5L,S/ 29.90,tottus,NARANJA DE MESA,2024-12-04 13:26:51.501638,2.5,l,29.9,tottus,PRECIO UNO,NARANJA DE MESA
