description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Trigo Mote Tesoro del Campo 350g,,350.0,g,2.9,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,8.285714285714286,PALLAR
Trigo Mote Cuisine & Co 500g,,500.0,g,3.5,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,7.0,PALLAR
Trigo Mote Maxima Bolsa 500 g,,500.0,g,3.7,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,7.4,PALLAR
Trigo Mote Tesoro Del Campo Bolsa 500 g,,500.0,g,3.7,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,7.4,PALLAR
Trigo Mote Tesoro Del Campo Bolsa 500 g,,500.0,g,3.9,wong,2024-12-04 20:00:57.615655,PALLAR,1,kg,7.8,PALLAR
Trigo Mote Cuisine & Co 500g,,500.0,g,3.9,wong,2024-12-04 20:00:57.615655,PALLAR,1,kg,7.8,PALLAR
Morón Costeño 500g,,500.0,g,4.8,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,9.6,PALLAR
Lenteja Máxima 500g,,500.0,g,4.9,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,9.8,PALLAR
Lenteja Cuisine & Co 500g,,500.0,g,4.9,wong,2024-12-04 20:00:57.615655,PALLAR,1,kg,9.8,PALLAR
Garbanzo Maixma Bolsa 500 g,,500.0,g,4.99,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,9.98,PALLAR
Lenteja Bebé Cuisine & Co 500g,,500.0,g,5.1,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,10.2,PALLAR
Lenteja Cuisine & Co 500g,,500.0,g,5.1,metro,2024-12-04 21:52:20.295677,PALLAR,1,kg,10.2,PALLAR
Morón Costeño 500g,,500.0,g,5.3,wong,2024-12-04 20:00:57.615655,PALLAR,1,kg,10.6,PALLAR
