description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Kekitos Bipack 55 g,S/ 2.50,tottus,PANETÓN,2024-12-04 13:02:00.711337,55.0,g,Kekitos Bipack,2.5,tottus,,TODINNO,PANETÓN
Kekitos Todinno 2un,S/ 2.50,wong,PANETÓN,2024-12-04 18:21:01.895856,2.0,un,Kekitos Todinno,2.5,wong,,,PANETÓN
Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack 90g,S/ 2.50,wong,PANETÓN,2024-12-04 18:21:01.895856,90.0,g,Panetón con Chispas Sabor Chocolate Cuisine & Co Doypack,2.5,wong,,,PANETÓN
Kekitos Todinno 2un,S/ 2.50,metro,PANETÓN,2024-12-04 20:47:24.788410,2.0,un,Kekitos Todinno,2.5,metro,,,PANETÓN
Panetón BELL'S Chispas de Chocolate Bolsa 90g,S/ 3.10,vivanda,PANETÓN,2024-12-04 17:18:18.343126,90.0,g,Panetón BELL'S Chispas de Chocolate Bolsa,3.1,vivanda,,BELL'S,PANETÓN
Panetón Todinnito con Frutas Confitadas y Pasas 85g,S/ 3.30,tottus,PANETÓN,2024-12-04 13:02:00.711337,85.0,g,Panetón Todinnito con Frutas Confitadas y Pasas,3.3,tottus,,TODINNO,PANETÓN
Mini Panetón Minions Caja 80g Surtido,S/ 3.50,wong,PANETÓN,2024-12-04 18:21:01.895856,80.0,g,Mini Panetón Minions Caja  Surtido,3.5,wong,,,PANETÓN
Panetoncito Chispas Chocolate 90 gr,S/ 3.50,tottus,PANETÓN,2024-12-04 13:02:00.711337,90.0,g,Panetoncito Chispas Chocolate r,3.5,tottus,,BIMBO,PANETÓN
Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete 2 unid,S/ 3.50,metro,PANETÓN,2024-12-04 20:47:24.788410,2.0,un,Keke Sabor Chocolate Relleno con Crema Pingüinos Marinela Paquete,3.5,metro,,,PANETÓN
Mini Panetón Minions Caja 80g Surtido,S/ 3.50,metro,PANETÓN,2024-12-04 20:47:24.788410,80.0,g,Mini Panetón Minions Caja  Surtido,3.5,metro,,,PANETÓN
Keke Sabor Naranja PYC Kekitos 3un,S/ 3.70,wong,PANETÓN,2024-12-04 18:21:01.895856,3.0,un,Keke Sabor Naranja PYC Kekitos,3.7,wong,,,PANETÓN
Panetón GLORIA Mini Bolsa 80g,S/ 3.70,vega,PANETÓN,2024-12-04 13:10:57.158070,80.0,g,Panetón GLORIA Mini Bolsa,3.7,vega,,Gloria,PANETÓN
Keke Sabor Vainilla PYC Kekitos 3un,S/ 3.70,wong,PANETÓN,2024-12-04 18:21:01.895856,3.0,un,Keke Sabor Vainilla PYC Kekitos,3.7,wong,,,PANETÓN
