description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,120.0,g,1.7,vega,,San Jorge,PAN CIABATTA
Mini Ciabatta 5un,S/ 1.95,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,5.0,un,1.95,wong,,,PAN CIABATTA
Pan Ciabatta 5un,S/ 2.80,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,5.0,un,2.8,wong,,,PAN CIABATTA
Pan Ciabatta con Ajonjolí 5un,S/ 2.90,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,5.0,un,2.9,wong,,,PAN CIABATTA
Fideo SAN JORGE Spaghetti Bolsa 500gr,S/ 3.00,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,500.0,g,3.0,vega,,San Jorge,PAN CIABATTA
Galleta SAN JORGE Soda Gourmet 250gr,S/ 3.70,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,250.0,g,3.7,vega,,San Jorge,PAN CIABATTA
Galletas SAN JORGE Vainilla Gourmet Paquete 250g,S/ 3.80,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,250.0,g,3.8,vega,,San Jorge,PAN CIABATTA
Pan Ciabatta Precocido Congelado 6 Unidades,S/ 3.80,tottus,PAN CIABATTA,2024-12-04 12:59:49.884064,6.0,un,3.8,tottus,,TOTTUS,PAN CIABATTA
Galletas Navideñas COLOMBINA Navidad Bolsa 150g,S/ 4.20 7%,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,150.0,g,4.2,vega,,San Jorge,PAN CIABATTA
Pan Ciabatta Precocido 250 g,S/ 4.50,tottus,PAN CIABATTA,2024-12-04 12:59:49.884064,250.0,g,4.5,tottus,,DON MAMINO,PAN CIABATTA
Galleta SAN JORGE Soda Paquete 7un,S/ 4.80,vega,PAN CIABATTA,2024-12-04 13:08:11.824919,7.0,un,4.8,vega,,San Jorge,PAN CIABATTA
Pan Ciabatta DON MAMINO Precocido Bolsa 250g,S/ 4.99 un,plaza_vea,PAN CIABATTA,2024-12-04 12:58:45.809957,250.0,g,4.99,plaza_vea,Bolsa 250g,,PAN CIABATTA
Pan Ciabatta Pre Cocido Don Mamino Bolsa 250 g,S/ 4.99,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,250.0,g,4.99,wong,,,PAN CIABATTA
Pan Ciabatta Pre Cocido Don Mamino Bolsa 250 g,S/ 4.99,metro,PAN CIABATTA,2024-12-04 20:42:17.062706,250.0,g,4.99,metro,,,PAN CIABATTA
Pan Ciabatta Refrigerado Bolsa 6un,S/ 5.00,vivanda,PAN CIABATTA,2024-12-04 17:15:17.026046,6.0,un,5.0,vivanda,,VIVANDA,PAN CIABATTA
Pan Ciabatta DON MAMINO Precocido Bolsa 250g,S/ 5.00,vivanda,PAN CIABATTA,2024-12-04 17:15:17.026046,250.0,g,5.0,vivanda,,DON MAMINO,PAN CIABATTA
Pan Precocido Ciabatta Multigranos Don Mamino 250g,S/ 5.30,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,250.0,g,5.3,wong,,,PAN CIABATTA
Pan Ciabatta Precocido Cuisine & Co 6un,S/ 5.52,wong,PAN CIABATTA,2024-12-04 18:11:23.252154,6.0,un,5.52,wong,,,PAN CIABATTA
Pan Ciabatta Precocido Cuisine & Co 6un,S/ 5.52,metro,PAN CIABATTA,2024-12-04 20:42:17.062706,6.0,un,5.52,metro,,,PAN CIABATTA
Pan Ciabatta Precocido 10un,S/ 5.90,metro,PAN CIABATTA,2024-12-04 20:42:17.062706,10.0,un,5.9,metro,,,PAN CIABATTA
Pan Mini Ciabatta LA FLORENCIA Bolsa 550g,S/ 5.90 un,plaza_vea,PAN CIABATTA,2024-12-04 12:58:45.809957,550.0,g,5.9,plaza_vea,Bolsa 550g,,PAN CIABATTA
Pan Ciabatta Precocido Metro Bolsa 10 Unid,S/ 6.50,metro,PAN CIABATTA,2024-12-04 20:42:17.062706,10.0,un,6.5,metro,,,PAN CIABATTA
