description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Papas RIKY TOK Ondas Picantes Bolsa 30g,S/ 1.00,vega,PAPA AMARILLA,2024-12-04 14:20:25.338927,30.0,g,Papas RIKY TOK Ondas Picantes Bolsa,1.0,vega,,RIKY TOK,PAPA AMARILLA
Papas RIKY TOK Ondas Naturales Bolsa 30g,S/ 1.00,vega,PAPA AMARILLA,2024-12-04 14:20:25.338927,30.0,g,Papas RIKY TOK Ondas Naturales Bolsa,1.0,vega,,RIKY TOK,PAPA AMARILLA
Mostaza 100 g,S/ 1.90,tottus,PAPA AMARILLA,2024-12-04 13:43:47.656900,100.0,g,Mostaza,1.9,tottus,,TOTTUS,PAPA AMARILLA
Papas LAYS Clásicas Bolsa 38g,S/ 2.40,vega,PAPA AMARILLA,2024-12-04 14:20:25.338927,38.0,g,Papas LAYS Clásicas Bolsa,2.4,vega,,Lays,PAPA AMARILLA
PAPEL CREPE AMARILLO RLLX1 LYC,S/ 2.70,tottus,PAPA AMARILLA,2024-12-04 13:43:47.656900,1.0,l,PAPEL CREPE AMARILLO RLLXYC,2.7,tottus,,LAYCONSA,PAPA AMARILLA
Papas PAPI RICAS Sabor Natural 70gr,S/ 2.80,vega,PAPA AMARILLA,2024-12-04 14:20:25.338927,70.0,g,Papas PAPI RICAS Sabor Natural r,2.8,vega,,PAPI RICAS,PAPA AMARILLA
Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa 70gr,S/ 2.80,vega,PAPA AMARILLA,2024-12-04 14:20:25.338927,70.0,g,Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa r,2.8,vega,,PAPI RICAS,PAPA AMARILLA
TANK RESALTADOR AMARILLO TJX1 UN,S/ 2.94,tottus,PAPA AMARILLA,2024-12-04 13:43:47.656900,1.0,un,TANK RESALTADOR AMARILLO TJX,2.94,tottus,,SHARPIE,PAPA AMARILLA
CERAMICA ULTRALIGERA 50GR AMARILLO,S/ 3.30,tottus,PAPA AMARILLA,2024-12-04 13:43:47.656900,50.0,g,CERAMICA ULTRALIGERA R AMARILLO,3.3,tottus,,ARTESCO,PAPA AMARILLA
Salsa de Ají Amarillo 100 g,S/ 3.60,tottus,PAPA AMARILLA,2024-12-04 13:43:47.656900,100.0,g,Salsa de Ají Amarillo,3.6,tottus,,SIBARITA,PAPA AMARILLA
