description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Lavadora WT13WPBK 13 Kg Smart Motion Carga Superior Blanco,"S/ 1,099",tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,13.0,kg,Lavadora WT13WPBK  Smart Motion Carga Superior Blanco,1.0,tottus,,LG,PAPA BLANCA
Lavadora WT16WVTB 16 Kg TurboDrum Carga Superior Blanco,"S/ 1,399",tottus,PAPA BLANCA,2024-12-04 13:44:30.633398,16.0,kg,Lavadora WT16WVTB  TurboDrum Carga Superior Blanco,1.0,tottus,,LG,PAPA BLANCA
Papa Blanca x kg,S/ 1.59 x kg,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,1.0,kg,Papa Blanca,1.59,metro,,,PAPA BLANCA
Papa Blanca Cocktail x kg,S/ 1.99 x kg,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,1.0,kg,Papa Blanca Cocktail,1.99,metro,,,PAPA BLANCA
Papa Blanca Metro x kg,S/ 2.60 x kg,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,1.0,kg,Papa Blanca Metro,2.6,metro,,,PAPA BLANCA
Papa Blanca Yungay Metro x kg,S/ 2.99 x kg,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,1.0,kg,Papa Blanca Yungay Metro,2.99,metro,,,PAPA BLANCA
Papa Blanca Yungay x kg,S/ 2.99 x kg,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,1.0,kg,Papa Blanca Yungay,2.99,wong,,,PAPA BLANCA
Papa Blanca Yungay,S/ 3.19 x kg,plaza_vea,PAPA BLANCA,2024-12-04 14:15:34.522805,1.0,kg,Papa Blanca Yungay,3.19,plaza_vea,Presentación 1 kg aprox.,,PAPA BLANCA
Papa Blanca Cocktail x kg,S/ 3.29 x kg,wong,PAPA BLANCA,2024-12-04 20:02:34.039402,1.0,kg,Papa Blanca Cocktail,3.29,wong,,,PAPA BLANCA
Papa Blanca Canchán Procesada x kgs,S/ 3.39 x kg,metro,PAPA BLANCA,2024-12-04 21:53:29.611084,1.0,kg,Papa Blanca Canchán Procesada s,3.39,metro,,,PAPA BLANCA
