description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Papas RIKY TOK Ondas Picantes Bolsa 30g,S/ 1.00,vega,PAPA FRITA (BOCADITOS),2024-12-04 14:42:07.213419,30.0,g,1.0,vega,,RIKY TOK,PAPA FRITA (BOCADITOS)
Papa Blanca Cocktail x kg,S/ 1.99 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 22:18:25.199832,1.0,kg,1.99,metro,,,PAPA FRITA (BOCADITOS)
Agua sin Gas CIELO Tapa Sport Botella 1L,S/ 2.40 un,plaza_vea,PAPA FRITA (BOCADITOS),2024-12-04 14:38:24.748182,1.0,l,2.4,plaza_vea,Botella 1L,,PAPA FRITA (BOCADITOS)
Papas Artesanales LAYS Sal Marina Bolsa 34g,S/ 2.49,vivanda,PAPA FRITA (BOCADITOS),2024-12-04 18:15:44.073734,34.0,g,2.49,vivanda,,LAY'S,PAPA FRITA (BOCADITOS)
Papas Artesanales LAYS BBQ Bolsa 34g,S/ 2.49,vivanda,PAPA FRITA (BOCADITOS),2024-12-04 18:15:44.073734,34.0,g,2.49,vivanda,,LAY'S,PAPA FRITA (BOCADITOS)
Tortees Picante 71g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,71.0,g,2.5,tottus,,,PAPA FRITA (BOCADITOS)
Tortees Salado 71g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,71.0,g,2.5,tottus,,,PAPA FRITA (BOCADITOS)
Papas Lay's Clásicas 36g,S/ 2.50,tottus,PAPA FRITA (BOCADITOS),2024-12-04 13:57:04.964125,36.0,g,2.5,tottus,,LAYS,PAPA FRITA (BOCADITOS)
Compota de Fruta BELL'S Pera Frasco 113g,S/ 2.50 un,plaza_vea,PAPA FRITA (BOCADITOS),2024-12-04 14:38:24.748182,113.0,g,2.5,plaza_vea,Frasco 113g,,PAPA FRITA (BOCADITOS)
Compota de Fruta BELL'S Durazno Frasco 113g,S/ 2.50 un,plaza_vea,PAPA FRITA (BOCADITOS),2024-12-04 14:38:24.748182,113.0,g,2.5,plaza_vea,Frasco 113g,,PAPA FRITA (BOCADITOS)
Papa Blanca Metro x kg,S/ 2.60 x kg,metro,PAPA FRITA (BOCADITOS),2024-12-04 22:18:25.199832,1.0,kg,2.6,metro,,,PAPA FRITA (BOCADITOS)
Papas LAY'S Clásicas Bolsa 36g,S/ 2.70,vivanda,PAPA FRITA (BOCADITOS),2024-12-04 18:15:44.073734,36.0,g,2.7,vivanda,,LAY'S,PAPA FRITA (BOCADITOS)
Papas Fritas Lay's Naturales 34g,S/ 2.70,metro,PAPA FRITA (BOCADITOS),2024-12-04 22:18:25.199832,34.0,g,2.7,metro,,,PAPA FRITA (BOCADITOS)
