description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt Actibio Higo Guindón Pasas 180 g,S/ 1.90,tottus,PASAS,2024-12-04 13:34:08.793727,180.0,g,1.9,tottus,,LAIVE,PASAS
Yogurt Gloria Actibio Sabor Higo Guindón y Pasas Botella 180ml,S/ 2.20,metro,PASAS,2024-12-04 21:38:28.064613,180.0,ml,2.2,metro,,,PASAS
Yogurt Gloria Actibio Sabor Higo Guindón y Pasas Botella 180ml,S/ 2.40,wong,PASAS,2024-12-04 19:40:14.773612,180.0,ml,2.4,wong,,,PASAS
Panetón Todinnito con Frutas Confitadas y Pasas 85g,S/ 3.30,tottus,PASAS,2024-12-04 13:34:08.793727,85.0,g,3.3,tottus,,TODINNO,PASAS
Mani Con Pasas 100gr,S/ 4,tottus,PASAS,2024-12-04 13:34:08.793727,100.0,g,4.0,tottus,,TOTTUS,PASAS
Colado HEINZ Ciruela y Pasas Frasco 113g,S/ 4 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,113.0,g,4.0,plaza_vea,Frasco 113g,,PASAS
Colado de Ciruela De Pasas 113 g,S/ 4.50,tottus,PASAS,2024-12-04 13:34:08.793727,113.0,g,4.5,tottus,,HEINZ,PASAS
Chocoteja de Pasas Borrachas Helena 30g,S/ 4.50,wong,PASAS,2024-12-04 19:40:14.773612,30.0,g,4.5,wong,,,PASAS
Pasas Morenas BELL'S Bolsa 180g,S/ 4.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,180.0,g,4.5,plaza_vea,Bolsa 180g,,PASAS
Pasas Morenas BELL'S Bolsa 180g,S/ 4.50,vivanda,PASAS,2024-12-04 17:51:15.778851,180.0,g,4.5,vivanda,,BELL'S,PASAS
Mani Con Pasas 150gr,S/ 4.50,tottus,PASAS,2024-12-04 13:34:08.793727,150.0,g,4.5,tottus,,TOTTUS,PASAS
Pasas Morenas Cuisine&Co 150g,S/ 4.50,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,4.5,metro,,,PASAS
Panetón con Pasas y Frutas Confitadas TODINNIT...,S/ 4.60 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,85.0,g,4.6,plaza_vea,Caja 85g,,PASAS
Maiz Pop Corn 500 g,S/ 4.64,tottus,PASAS,2024-12-04 13:34:08.793727,500.0,g,4.64,tottus,,TOTTUS,PASAS
Pasas Morenas VALLEALTO Bolsa 150g,S/ 4.90,vivanda,PASAS,2024-12-04 17:51:15.778851,150.0,g,4.9,vivanda,,VALLEALTO,PASAS
Maní con Pasas VILLA NATURA Bolsa 150g,S/ 5 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,150.0,g,5.0,plaza_vea,Bolsa 150g,,PASAS
Pasas Morenas VILLA NATURA Bolsa 150g,S/ 5 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,150.0,g,5.0,plaza_vea,Bolsa 150g,,PASAS
Pasas Morenas VILLA NATURA Bolsa 150g,S/ 5.00,vivanda,PASAS,2024-12-04 17:51:15.778851,150.0,g,5.0,vivanda,,VILLA NATURA,PASAS
Pasas Morenas Vallealto 150g,S/ 5.10,wong,PASAS,2024-12-04 19:40:14.773612,150.0,g,5.1,wong,,,PASAS
Maní con Pasas Cuisine & Co Bolsa 200 gr,S/ 5.20,wong,PASAS,2024-12-04 19:40:14.773612,200.0,g,5.2,wong,,,PASAS
Maní Tostado Frito BELL'S Táper 200g,S/ 5.40 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,200.0,g,5.4,plaza_vea,Táper 200g,,PASAS
Maní con Pasas Vallealto Bolsa 150 gr,S/ 5.50,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,5.5,metro,,,PASAS
Pasas Bañadas con Chocolate Fochis 70g,S/ 5.50,metro,PASAS,2024-12-04 21:38:28.064613,70.0,g,5.5,metro,,,PASAS
Coco Rallado BELL'S Táper 100g,S/ 5.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,100.0,g,5.5,plaza_vea,Táper 100g,,PASAS
Maní con Pasas VEGA Bolsa 200gr,S/ 5.50,vega,PASAS,2024-12-04 14:04:15.087515,200.0,g,5.5,vega,,Vega,PASAS
Maní con Pasas Vallealto Bolsa 150 gr,S/ 5.60,wong,PASAS,2024-12-04 19:40:14.773612,150.0,g,5.6,wong,,,PASAS
Colado HEINZ Ciruela y Pasas Frasco 113g,S/ 5.60,vivanda,PASAS,2024-12-04 17:51:15.778851,113.0,g,5.6,vivanda,,HEINZ,PASAS
Piqueo BELL'S Maní con pasas Bolsa 180Gr,S/ 5.70,vivanda,PASAS,2024-12-04 17:51:15.778851,180.0,g,5.7,vivanda,,BELL'S,PASAS
Pasas Bañadas con Chocolate Fochis 70g,S/ 5.80,wong,PASAS,2024-12-04 19:40:14.773612,70.0,g,5.8,wong,,,PASAS
Pasas con Cobertura de Chocolate Choko Pasas Bolsa 100 g,S/ 5.90,metro,PASAS,2024-12-04 21:38:28.064613,100.0,g,5.9,metro,,,PASAS
MANI CON PASAS X 150GR,S/ 5.90,tottus,PASAS,2024-12-04 13:34:08.793727,150.0,g,5.9,tottus,,VILLA NATURA,PASAS
Pasas morenas 150 g,S/ 5.90,tottus,PASAS,2024-12-04 13:34:08.793727,150.0,g,5.9,tottus,,VILLA NATURA,PASAS
Chocoteja de Pasas Borrachas Helena 30g,S/ 5.99,metro,PASAS,2024-12-04 21:38:28.064613,30.0,g,5.99,metro,,,PASAS
Almendras VILLA NATURA Bolsa 80g,S/ 6 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,80.0,g,6.0,plaza_vea,Bolsa 80g,,PASAS
Yogurt Actibio Higo Guindon Pasas 950 g,S/ 6.70,tottus,PASAS,2024-12-04 13:34:08.793727,950.0,g,6.7,tottus,,GLORIA,PASAS
Yogurt con Linaza Gloria Actibio Sabor Higo Guindón y Pasas 950g,S/ 6.70,wong,PASAS,2024-12-04 19:40:14.773612,950.0,g,6.7,wong,,,PASAS
Maní con Pasas Cuisine & Co Bolsa 200 gr,S/ 6.80,metro,PASAS,2024-12-04 21:38:28.064613,200.0,g,6.8,metro,,,PASAS
Humita Dulce con Manjar y Pasas x un,S/ 7.00,wong,PASAS,2024-12-04 19:40:14.773612,1.0,un,7.0,wong,,,PASAS
Albaricoques BELL'S Táper 100g,S/ 7.39 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,100.0,g,7.39,plaza_vea,Táper 100g,,PASAS
Pasas Morenas VALLEALTO Doypack 250g,S/ 7.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,250.0,g,7.5,plaza_vea,Doypack 250g,,PASAS
Mixtura Natural VILLA NATURA Bolsa 150g,S/ 7.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,150.0,g,7.5,plaza_vea,Bolsa 150g,,PASAS
Piqueo VILLA NATURA Cocktail de Nueces Bolsa 1...,S/ 7.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,150.0,g,7.5,plaza_vea,Bolsa 150g,,PASAS
"Yogurt GLORIA ActiBio con Linaza Sabor a Higo, Guindón y Pasas Botella 950g",S/ 7.50,vivanda,PASAS,2024-12-04 17:51:15.778851,950.0,g,7.5,vivanda,,GLORIA,PASAS
Piqueos VILLA NATURA Cocktail de Nueces Sin Sa...,S/ 7.50 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,150.0,g,7.5,plaza_vea,Bolsa 150g,,PASAS
Pasas Morenas Villa Natura 200g,S/ 7.70,wong,PASAS,2024-12-04 19:40:14.773612,200.0,g,7.7,wong,,,PASAS
Pasas Morenas Villa Natura 200g,S/ 7.70,metro,PASAS,2024-12-04 21:38:28.064613,200.0,g,7.7,metro,,,PASAS
Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa 125gr,S/ 7.80,vega,PASAS,2024-12-04 14:04:15.087515,125.0,g,7.8,vega,,INKA CHIPS,PASAS
Piqueo BELL'S Almendras Bolsa 100g,S/ 7.90 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,100.0,g,7.9,plaza_vea,Bolsa 100g,,PASAS
Pasas Morenas BELL'S Táper 250g,S/ 7.90 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,250.0,g,7.9,plaza_vea,Táper 250g,,PASAS
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.90,metro,PASAS,2024-12-04 21:38:28.064613,250.0,g,7.9,metro,,,PASAS
Guindones Medianos BELL'S Bolsa 180g,S/ 7.90 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,180.0,g,7.9,plaza_vea,Bolsa 180g,,PASAS
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.99,wong,PASAS,2024-12-04 19:40:14.773612,250.0,g,7.99,wong,,,PASAS
Cashews Salados VILLA NATURA Bolsa 80g,S/ 8 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,80.0,g,8.0,plaza_vea,Bolsa 80g,,PASAS
Piqueo VILLA NATURA Nueces peladas Bolsa 80Gr,S/ 8 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,80.0,g,8.0,plaza_vea,Bolsa 80g,,PASAS
Pasas Morenas VALLEALTO Doypack 250g,S/ 8.00,vivanda,PASAS,2024-12-04 17:51:15.778851,250.0,g,8.0,vivanda,,VALLEALTO,PASAS
Pasas Morenas Vallealto 250g,S/ 8.20,metro,PASAS,2024-12-04 21:38:28.064613,250.0,g,8.2,metro,,,PASAS
Castañas BELL'S Táper 100g,S/ 8.29 un,plaza_vea,PASAS,2024-12-04 13:59:54.170845,100.0,g,8.29,plaza_vea,Táper 100g,,PASAS
Pasas Rubias BELL'S Táper 150g,S/ 8.49,vivanda,PASAS,2024-12-04 17:51:15.778851,150.0,g,8.49,vivanda,,BELL'S,PASAS
