description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja 42g,S/ 2.20,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,42.0,g,Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja,2.2,vivanda,DOÑA GUSTA,PASTELES SALADOS
Pasta Dental DENTO Herbal Tubo 75ml,S/ 2.80,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,75.0,ml,Pasta Dental DENTO Herbal Tubo,2.8,vega,Dento,PASTELES SALADOS
Pasta Dental COLGATE Herbal Tubo 90gr,S/ 3.20,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,90.0,g,Pasta Dental COLGATE Herbal Tubo r,3.2,vega,Colgate,PASTELES SALADOS
Pasta Dental KOLYNOS Súper Blanco Tubo 60ml,S/ 3.30 11%,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,60.0,ml,Pasta Dental KOLYNOS Súper Blanco Tubo,3.3,vega,Kolynos,PASTELES SALADOS
Pasta Dental COLGATE Menta Anticaries Tubo 90gr,S/ 3.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,90.0,g,Pasta Dental COLGATE Menta Anticaries Tubo r,3.5,vega,Colgate,PASTELES SALADOS
Pasta Dental ORAL B 123 Anticaries Tubo 50 g,S/ 3.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,50.0,g,Pasta Dental ORAL B 123 Anticaries Tubo,3.5,vega,Oral-B,PASTELES SALADOS
Pasta Dental COLGATE Triple Acción Tubo 50ml,S/ 3.60,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,50.0,ml,Pasta Dental COLGATE Triple Acción Tubo,3.6,vega,Colgate,PASTELES SALADOS
Piqueo BELL'S Chifles Salados Táper 100g,S/ 3.79,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,100.0,g,Piqueo BELL'S Chifles Salados Táper,3.79,vivanda,BELL'S,PASTELES SALADOS
Pasta Dental DENTITO Chicle Globo Tubo 85 gr,S/ 4.00,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,85.0,g,Pasta Dental DENTITO Chicle Globo Tubo r,4.0,vega,Dento,PASTELES SALADOS
Pasta Dental DENTITO Chicha Morada Tubo 85gr,S/ 4.00,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,85.0,g,Pasta Dental DENTITO Chicha Morada Tubo r,4.0,vega,Dento,PASTELES SALADOS
