description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Aderezo para Pavo PIKI Doypack 100g,S/ 2.40 un,plaza_vea,PAVO EVISCERADO,2024-12-04 13:21:09.319937,100.0,g,2.4,plaza_vea,Doypack 100g,,PAVO EVISCERADO
Supercat Adultos Delicias en Salsa Pavo 160 g,S/ 3.70,wong,PAVO EVISCERADO,2024-12-04 18:49:27.160422,160.0,g,3.7,wong,,,PAVO EVISCERADO
Filetitos en Salsa Ricocat Adultos Sabor Pavo 190g,S/ 4.50,metro,PAVO EVISCERADO,2024-12-04 21:04:06.778152,190.0,g,4.5,metro,,,PAVO EVISCERADO
Aderezo para Pavo Cuisine & Co 150g,S/ 4.60,wong,PAVO EVISCERADO,2024-12-04 18:49:27.160422,150.0,g,4.6,wong,,,PAVO EVISCERADO
Paño Ultra Limpiador Home Care Paquete de 3 Unidades,S/ 4.90,metro,PAVO EVISCERADO,2024-12-04 21:04:06.778152,3.0,un,4.9,metro,,,PAVO EVISCERADO
Paté Super Cat Adultos Sabor Hígado y Pavo 180g,S/ 5.00,wong,PAVO EVISCERADO,2024-12-04 18:49:27.160422,180.0,g,5.0,wong,,,PAVO EVISCERADO
Paté Super Cat Adultos Sabor Hígado y Pavo 180g,S/ 5.00,metro,PAVO EVISCERADO,2024-12-04 21:04:06.778152,180.0,g,5.0,metro,,,PAVO EVISCERADO
Delicias en Salsa Super Cat Adultos Sabor Pavo 190g,S/ 5.00,metro,PAVO EVISCERADO,2024-12-04 21:04:06.778152,190.0,g,5.0,metro,,,PAVO EVISCERADO
Delicias en Salsa Super Cat Adultos Sabor Pavo 190g,S/ 5.00,wong,PAVO EVISCERADO,2024-12-04 18:49:27.160422,190.0,g,5.0,wong,,,PAVO EVISCERADO
Alimento Húmero para Gatos FANCY FEAST Goulash...,S/ 5.90 un,plaza_vea,PAVO EVISCERADO,2024-12-04 13:21:09.319937,85.0,g,5.9,plaza_vea,Bolsa 85g,,PAVO EVISCERADO
Comida Húmeda para gatos Adultos Sabor Pavo 156 g,S/ 5.90,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,156.0,g,5.9,tottus,,FELIX,PAVO EVISCERADO
Fancy Feast Goulash Pavo Pouch 85g,S/ 5.90,metro,PAVO EVISCERADO,2024-12-04 21:04:06.778152,85.0,g,5.9,metro,,,PAVO EVISCERADO
Paté para gatos Adultos Sabor Hígado y Pavo 330 g,S/ 6.50,tottus,PAVO EVISCERADO,2024-12-04 13:11:09.117281,330.0,g,6.5,tottus,,RICOCAT,PAVO EVISCERADO
Comida para Gatos RICOCAT Adultos Paté Pavo e ...,S/ 6.50 un,plaza_vea,PAVO EVISCERADO,2024-12-04 13:21:09.319937,330.0,g,6.5,plaza_vea,Lata 330g,,PAVO EVISCERADO
Alimento Húmedo para Gatos FELIX Original Pavo...,S/ 6.50 un,plaza_vea,PAVO EVISCERADO,2024-12-04 13:21:09.319937,156.0,g,6.5,plaza_vea,Lata 156g,,PAVO EVISCERADO
