description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pierna con Encuentro Congelada Importada x kg,,1.0,kg,7.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,7.9,PIERNA DE POLLO
Pierna de Pollo Importada x kg,,1.0,kg,8.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,8.9,PIERNA DE POLLO
Pierna de Pollo Importada x kg,,1.0,kg,8.9,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,8.9,PIERNA DE POLLO
Pierna con Encuentro de Pollo Empacada al vací...,,1.3,kg,13.5,plaza_vea,2024-12-04 13:18:58.918636,PIERNA DE POLLO,1,kg,10.384615384615383,PIERNA DE POLLO
Pierna con Encuentro de Pollo Congelado San Fernando x kg,,1.0,kg,13.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,13.9,PIERNA DE POLLO
Pierna con Encuentro de Pollo Congelado San Fernando x kg,,1.0,kg,13.9,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,13.9,PIERNA DE POLLO
Pierna con Encuentro de Pollo x kg,,1.0,kg,14.5,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,14.5,PIERNA DE POLLO
Pierna de Pollo Redondos x kg,,1.0,kg,15.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,15.9,PIERNA DE POLLO
Pierna de Pollo x kg,,1.0,kg,15.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,15.9,PIERNA DE POLLO
Pierna Especial de Pollo x kg,,1.0,kg,15.95,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,15.95,PIERNA DE POLLO
Pierna de Pollo con Muslo Redondos x kg,,1.0,kg,15.95,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,15.95,PIERNA DE POLLO
Pierna o Encuentro de Pollo x kg,,1.0,kg,16.49,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,16.49,PIERNA DE POLLO
Pollada Criolla Redondos Pierna con Encuentro 600g,,600.0,g,16.5,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,27.5,PIERNA DE POLLO
Pierna de Pollo Congelada San Fernando x kg,,1.0,kg,16.5,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,16.5,PIERNA DE POLLO
Pollada Criolla Redondos Pierna con Encuentro 600g,,600.0,g,16.5,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,27.5,PIERNA DE POLLO
Pollada Criolla Redondos 1/2 Pechuga y Pierna con Encuentro 800g,,800.0,g,17.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,22.375,PIERNA DE POLLO
Pierna Especial Light de Pollo x kg,,1.0,kg,18.5,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,18.5,PIERNA DE POLLO
Pierna de Pollo Light x kg,,1.0,kg,18.5,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,18.5,PIERNA DE POLLO
Filete de Pierna de Pollo Redondos x kg,,1.0,kg,20.9,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,20.9,PIERNA DE POLLO
Filete Pierna Pollo con Piel Empacada al vacío...,,1.2,kg,20.9,plaza_vea,2024-12-04 13:18:58.918636,PIERNA DE POLLO,1,kg,17.416666666666668,PIERNA DE POLLO
Filete Parrillero de Pierna de Pollo con Piel x kg,,1.0,kg,20.9,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,20.9,PIERNA DE POLLO
Filetes de Pierna de Pollo en salsa BBQ Ahuma 500g,,500.0,g,22.02,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,44.04,PIERNA DE POLLO
Filetes de Pierna de Pollo en Salsa Oriental Ahuma 500g,,500.0,g,22.02,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,44.04,PIERNA DE POLLO
Filetes de Pierna de Pollo en Salsa Oriental Ahuma 500g,,500.0,g,22.02,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,44.04,PIERNA DE POLLO
Filetes de Pierna de Pollo en salsa BBQ Ahuma 500g,,500.0,g,22.02,metro,2024-12-04 21:00:52.791079,PIERNA DE POLLO,1,kg,44.04,PIERNA DE POLLO
Filete de Pierna de Pollo x kg,,1.0,kg,22.9,wong,2024-12-04 18:43:18.786740,PIERNA DE POLLO,1,kg,22.9,PIERNA DE POLLO
