description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt GLORIA Parcialmente Descremado Sabor a ...,S/ 1.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,180.0,g,1.9,plaza_vea,Botella 180g,,PLÁTANO BISCOCHO
Plátano de Seda,S/ 2.79 x kg,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,1.0,kg,2.79,plaza_vea,Presentación 1 kg aprox.,,PLÁTANO BISCOCHO
Snack para Bebé QFOODS Quinua y Plátano Bolsa ...,S/ 3.50 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,25.0,g,3.5,plaza_vea,Bolsa 25g,,PLÁTANO BISCOCHO
Bizcocho CANCÚN COSTA Sabor coco y cobertura d...,S/ 3.70 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,6.0,un,3.7,plaza_vea,Paquete 6un,,PLÁTANO BISCOCHO
Bizcocho COSTA Caritas Paquete 6un,S/ 3.79 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,6.0,un,3.79,plaza_vea,Paquete 6un,,PLÁTANO BISCOCHO
Colado AGÚ Sabor a Plátano Doypack 113g,S/ 3.99 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,113.0,g,3.99,plaza_vea,Doypack 113g,,PLÁTANO BISCOCHO
Bizcocho COSTA Chocman 33.5gr Paquete 6u,S/ 4.50,vega,PLÁTANO BISCOCHO,2024-12-04 13:56:41.079009,33.5,g,4.5,vega,,Costa,PLÁTANO BISCOCHO
Hojuelas de Plátano Frito BELL'S Dulces Bolsa ...,S/ 4.60 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,125.0,g,4.6,plaza_vea,Bolsa 125g,,PLÁTANO BISCOCHO
Piqueo BELL'S Papas Camotes y Plátanos Fritos ...,S/ 4.79 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,125.0,g,4.79,plaza_vea,Bolsa 125g,,PLÁTANO BISCOCHO
Plátano Bellaco,S/ 5.30 x kg,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,0.3,kg,5.3,plaza_vea,Presentación 0.3 kg aprox.,,PLÁTANO BISCOCHO
Cancha con Chifle VEGA Pote 150g,S/ 5.80,vega,PLÁTANO BISCOCHO,2024-12-04 13:56:41.079009,150.0,g,5.8,vega,,Vega,PLÁTANO BISCOCHO
Plátano de Isla BELL'S,S/ 5.80 x kg,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,1.0,kg,5.8,plaza_vea,Presentación 1 kg aprox.,,PLÁTANO BISCOCHO
YOG PARC DESC 1KG FRESA C PLATANO,S/ 5.90,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,1.0,kg,5.9,tottus,,GLORIA,PLÁTANO BISCOCHO
Puré de Manzana y Plátano Orgánico AMA TIME Do...,S/ 6.10 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,90.0,g,6.1,plaza_vea,Doypack 90g,,PLÁTANO BISCOCHO
Yogurt GLORIA Parcialmente Descremado Sabor a ...,S/ 6.20 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,1.0,kg,6.2,plaza_vea,Botella 1Kg,,PLÁTANO BISCOCHO
Bizcocho Relleno con Doble Manjar COSTA Chocma...,S/ 6.30 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,6.0,un,6.3,plaza_vea,Bolsa 6un,,PLÁTANO BISCOCHO
Plátano Bizcochito BELL'S,S/ 6.40 x kg,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,1.0,kg,6.4,plaza_vea,Presentación 1 kg aprox.,,PLÁTANO BISCOCHO
Bizcocho CHOCMAN Doble Black Paquete 6un,S/ 6.50 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,6.0,un,6.5,plaza_vea,Paquete 6un,,PLÁTANO BISCOCHO
Plátano Palillo,S/ 6.70 x kg,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,0.25,kg,6.7,plaza_vea,Presentación 0.25 kg aprox.,,PLÁTANO BISCOCHO
Crema Huancaína al Plato NICOLINI Doypack 190g,S/ 6.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,190.0,g,6.9,plaza_vea,Doypack 190g,,PLÁTANO BISCOCHO
Plátano Bizcocho Tipo Exportación x kg,S/ 6.99 x kg,wong,PLÁTANO BISCOCHO,2024-12-04 19:30:20.484904,1.0,kg,6.99,wong,,,PLÁTANO BISCOCHO
Plátano Bizcocho Tipo Exportación x kg,S/ 6.99 x kg,metro,PLÁTANO BISCOCHO,2024-12-04 21:31:20.880708,1.0,kg,6.99,metro,,,PLÁTANO BISCOCHO
Plátano Bizcocho Orgánico x kg,S/ 6.99 x kg,wong,PLÁTANO BISCOCHO,2024-12-04 19:30:20.484904,1.0,kg,6.99,wong,,,PLÁTANO BISCOCHO
Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa 125gr,S/ 7.80,vega,PLÁTANO BISCOCHO,2024-12-04 13:56:41.079009,125.0,g,7.8,vega,,INKA CHIPS,PLÁTANO BISCOCHO
Bizcocho Pokeke COSTA Paquete 12un,S/ 7.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,12.0,un,7.9,plaza_vea,Paquete 12un,,PLÁTANO BISCOCHO
YOG PARC DES 1.7KG FRESA C PLATANO,S/ 8.90,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,1.7,kg,8.9,tottus,,GLORIA,PLÁTANO BISCOCHO
Piqueo BANANA CHIPS Hojuelas de plátano Bolsa ...,S/ 8.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,250.0,g,8.9,plaza_vea,Bolsa 250g,,PLÁTANO BISCOCHO
Yogurt GLORIA Parcialmente Descremado Sabor a ...,S/ 9.20 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,1.7,kg,9.2,plaza_vea,Botella 1.7Kg,,PLÁTANO BISCOCHO
Harina de Plátano LA CASA MARIMIEL Doypack 200...,S/ 9.40 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,200.0,g,9.4,plaza_vea,Doypack 200g,,PLÁTANO BISCOCHO
Snacks para Perros Sabor Plátano y Pollo Pet Care 70 g,S/ 10.50,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,70.0,g,10.5,tottus,,,PLÁTANO BISCOCHO
Keke de Plátano LA FLORENCIA 1un,S/ 10.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,450.0,g,10.9,plaza_vea,Bandeja 450g,,PLÁTANO BISCOCHO
Harina de plátano 250 g,S/ 12.30,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,250.0,g,12.3,tottus,,GENERICO,PLÁTANO BISCOCHO
Crema Huancaína al Plato NICOLINI Doypack 390g,S/ 13.10 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,390.0,g,13.1,plaza_vea,Doypack 390g,,PLÁTANO BISCOCHO
Puff Snack Manzana y Plátano WANT WANT Baby Mu...,S/ 14.80 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,50.0,g,14.8,plaza_vea,Botella 50g,,PLÁTANO BISCOCHO
Granola Sabor a Coco y Plátano DYFFERENT Caja ...,S/ 16 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,250.0,g,16.0,plaza_vea,Caja 250g,,PLÁTANO BISCOCHO
Plátano Frito Sabor Cabanossi 210 g,S/ 16.50,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,210.0,g,16.5,tottus,,ARTICHAY,PLÁTANO BISCOCHO
Plátano Frito Sabor Salsa Acevichado 210 g,S/ 16.50,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,210.0,g,16.5,tottus,,ARTICHAY,PLÁTANO BISCOCHO
Granola Coco Plátano 250 g,S/ 18.90,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,250.0,g,18.9,tottus,,DYFFERENT,PLÁTANO BISCOCHO
Keke Plátano sin Gluten LA FLORENCIA Bandeja 5...,S/ 18.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,500.0,g,18.9,plaza_vea,Bandeja 500g,,PLÁTANO BISCOCHO
Galletas Nutrisnack GERBER Plátano y Naranja S...,S/ 19.50 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,42.0,g,19.5,plaza_vea,Sobre 42g,,PLÁTANO BISCOCHO
Galletas Nutrisnack GERBER Plátano y Fresa Sob...,S/ 19.50 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,42.0,g,19.5,plaza_vea,Sobre 42g,,PLÁTANO BISCOCHO
Chocolate Plátano 80% Cacao Quma 70 g,S/ 19.90,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,70.0,g,19.9,tottus,,,PLÁTANO BISCOCHO
Crema de Tratamiento FRUCTIS Hair Food Fortifi...,S/ 19.90 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,350.0,ml,19.9,plaza_vea,Frasco 350ml,,PLÁTANO BISCOCHO
Limpiador Metal MR. CLEANER Abrillantador Plat...,S/ 20 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,250.0,ml,20.0,plaza_vea,Frasco 250ml,,PLÁTANO BISCOCHO
Chocolate con Plátano QUMA 80% Cacao 0% Azúcar...,S/ 20.20 un,plaza_vea,PLÁTANO BISCOCHO,2024-12-04 13:52:42.165415,70.0,g,20.2,plaza_vea,Caja 70g,,PLÁTANO BISCOCHO
Yogy Fresas y Plátano 4 unds 100 g,S/ 24.90,tottus,PLÁTANO BISCOCHO,2024-12-04 13:29:09.461894,4.0,un,24.9,tottus,,NATURAL HOME,PLÁTANO BISCOCHO
