description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sopa Instantánea Ajinomen Sabor Pollo 80g,,80.0,g,1.6,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,20.0,POLLO EVISCERADO
Trocitos en Salsa Cat Chow Adulto Pollo Pouch 85g,,85.0,g,4.0,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,47.05882352941176,POLLO EVISCERADO
Paté de Hígado de Pollo San Fernando 100 g,,100.0,g,4.1,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,41.0,POLLO EVISCERADO
Hot Dog de Pollo Ahumado San Fernando 220g,,220.0,g,4.2,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,19.090909090909093,POLLO EVISCERADO
Hot Dog Ahumado de Pollo SAN FERNANDO Paquete 220g,SAN FERNANDO,220.0,g,4.6,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,20.90909090909091,POLLO EVISCERADO
Nuggets de Pollo San Fernando 180g,,180.0,g,5.0,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,27.77777777777778,POLLO EVISCERADO
Hot Dog con Pollo Suiza 200g,,200.0,g,5.6,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,28.0,POLLO EVISCERADO
Causa de Pollo LA FLORENCIA Bandeja 170g,LA FLORENCIA,170.0,g,6.0,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,35.29411764705882,POLLO EVISCERADO
Tamal Chinchano de Pollo RECUTECU Paquete 400g,RECUTECU,400.0,g,7.5,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,18.75,POLLO EVISCERADO
Patas de Pollo Redondos x kg,,1.0,kg,7.9,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,7.9,POLLO EVISCERADO
Ricocan Paté para Perros Adultos Pollo Lata 330 gr,,330.0,g,7.9,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,23.93939393939394,POLLO EVISCERADO
Ricocat Paté para Gatos Adultos Sardina y Pollo Lata 330 gr,,330.0,g,8.4,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,25.454545454545457,POLLO EVISCERADO
Ricocat Paté para Gatos Adultos Hígado y Pollo Lata 330 gr,,330.0,g,8.4,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,25.454545454545457,POLLO EVISCERADO
Hígado de Pollo Redondos x kg,,1.0,kg,8.9,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Hígado de Pollo x kg,,1.0,kg,8.9,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,8.9,POLLO EVISCERADO
Salchicha de Pollo SAN FERNANDO Paquete 500g,SAN FERNANDO,500.0,g,9.4,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,18.8,POLLO EVISCERADO
