description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Cereal BELL'S Corn Flakes Bolsa 20g,S/ 0.59,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,20.0,g,Cereal BELL'S Corn Flakes Bolsa,0.59,vivanda,,BELL'S,POP CORN (BOCADITOS)
Agua Mineral SAN MATEO Con Gas Botella 600ml,S/ 1.80 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,600.0,ml,Agua Mineral SAN MATEO Con Gas Botella,1.8,plaza_vea,Botella 600ml,,POP CORN (BOCADITOS)
Yogurt Griego LAIVE con Trozos de Blueberry Va...,S/ 2.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,120.0,g,Yogurt Griego LAIVE con Trozos de Blueberry Va,2.2,plaza_vea,Vaso 120g,,POP CORN (BOCADITOS)
Caramelos Ring Pop TOPPS Surtidos Unidad 14g,S/ 2.40,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,14.0,g,Caramelos Ring Pop TOPPS Surtidos Unidad,2.4,vivanda,,TOPPS,POP CORN (BOCADITOS)
Maíz Gigante Original Inka Corn 42g,S/ 2.80,wong,POP CORN (BOCADITOS),2024-12-04 20:46:19.323253,42.0,g,Maíz Gigante Original Inka Corn,2.8,wong,,,POP CORN (BOCADITOS)
Agua Mineral SAN LUIS Con Gas Botella 2.5L,S/ 3 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,2.5,l,Agua Mineral SAN LUIS Con Gas Botella,3.0,plaza_vea,Botella 2.5L,,POP CORN (BOCADITOS)
Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,S/ 3.10 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,146.0,g,Yogurt BattimiLORIA Fresa con Bolitas de Ch,3.1,plaza_vea,Vaso 146g,,POP CORN (BOCADITOS)
Yogur Battimix GLORIA Vainilla con Hojuelas Va...,S/ 3.10 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,144.0,g,Yogur BattimiLORIA Vainilla con Hojuelas Va,3.1,plaza_vea,Vaso 144g,,POP CORN (BOCADITOS)
Pop Corn TIMONEL Bolsa 400g,S/ 3.10,vega,POP CORN (BOCADITOS),2024-12-04 14:42:44.525172,400.0,g,Pop Corn TIMONEL Bolsa,3.1,vega,,Timonel,POP CORN (BOCADITOS)
Caramelo Spring Pop Minions 14g Surtido,S/ 3.30,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,14.0,g,Caramelo Spring Pop Minions  Surtido,3.3,metro,,,POP CORN (BOCADITOS)
Caramelo Spring Pop Minions 14g Surtido,S/ 3.30,wong,POP CORN (BOCADITOS),2024-12-04 20:46:19.323253,14.0,g,Caramelo Spring Pop Minions  Surtido,3.3,wong,,,POP CORN (BOCADITOS)
Maíz Pop Corn Cuisine & Co 500g,S/ 3.50,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,Maíz Pop Corn Cuisine & Co,3.5,metro,,,POP CORN (BOCADITOS)
Cereal de Trigo con Miel VITA PLUSS Bolsa 140g,S/ 3.60 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,140.0,g,Cereal de Trigo con Miel VITA PLUSS Bolsa,3.6,plaza_vea,Bolsa 140g,,POP CORN (BOCADITOS)
Pop Corn PLANET POP Mantequilla Bolsa 85g,S/ 3.70,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,85.0,g,Pop Corn PLANET POP Mantequilla Bolsa,3.7,vivanda,,PLANET POP,POP CORN (BOCADITOS)
Maíz Pop Corn Bolsa 350 g,S/ 3.80,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,350.0,g,Maíz Pop Corn Bolsa,3.8,metro,,,POP CORN (BOCADITOS)
Artesco Banderitas Adhesivas Rectangulares Pop Up Sticky Notes Blíster 150 und,S/ 4.00,wong,POP CORN (BOCADITOS),2024-12-04 20:46:19.323253,150.0,un,Artesco Banderitas Adhesivas Rectangulares Pop Up Sticky Notes Blíster d,4.0,wong,,,POP CORN (BOCADITOS)
Artesco Banderitas Adhesivas Rectangulares Pop Up Sticky Notes Blíster 150 und,S/ 4.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,150.0,un,Artesco Banderitas Adhesivas Rectangulares Pop Up Sticky Notes Blíster d,4.0,metro,,,POP CORN (BOCADITOS)
Maíz Pop Corn Costeño 500g,S/ 4.00,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,Maíz Pop Corn Costeño,4.0,metro,,,POP CORN (BOCADITOS)
Galletas Choco Donuts COSTA Sabor a Chocolate ...,S/ 4.19 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Galletas Choco Donuts COSTA Sabor a Chocolate,4.19,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Wafer Cuadrado NIK Relleno con Crema Sabor a V...,S/ 4.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a V,4.2,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Trigo Atómico Original FORTE GOLPE con Miel Bo...,S/ 4.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,125.0,g,Trigo Atómico Original FORTE GOLPE con Miel Bo,4.2,plaza_vea,Bolsa 125g,,POP CORN (BOCADITOS)
Wafer Cuadrado NIK Relleno con Crema Sabor a F...,S/ 4.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Wafer Cuadrado NIK Relleno con Crema Sabor a F,4.2,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Galletas COSTA con Chips de Chocolate Bolsa 34...,S/ 4.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Galletas COSTA con Chips de Chocolate Bolsa 34,4.2,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Maíz Pop Corn TESORO VERDE Bolsa 500g,S/ 4.20,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn TESORO VERDE Bolsa,4.2,vivanda,,TESORO VERDE,POP CORN (BOCADITOS)
Maíz Canchita Pop Corn TESORO VERDE Plaza Vea ...,S/ 4.20 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,500.0,g,Maíz Canchita Pop Corn TESORO VERDE Plaza Vea,4.2,plaza_vea,Bolsa 500g,,POP CORN (BOCADITOS)
Maíz Pop Corn BELL'S Bolsa 500g,S/ 4.30,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn BELL'S Bolsa,4.3,vivanda,,BELL'S,POP CORN (BOCADITOS)
Maiz Pop Corn Paisana Bolsa 500 g,S/ 4.40,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,500.0,g,Maiz Pop Corn Paisana Bolsa,4.4,metro,,,POP CORN (BOCADITOS)
Galletas CASINO Rellenas con Crema Sabor a Fre...,S/ 4.50 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Fre,4.5,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Galletas CASINO Rellenas con Crema Sabor a Men...,S/ 4.50 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Men,4.5,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Galletas CASINO Rellenas con Crema Sabor a Cho...,S/ 4.50 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Galletas CASINO Rellenas con Crema Sabor a Cho,4.5,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Bizcocho Relleno con Manjar CHOCMAN Paquete 6u...,S/ 4.50 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,6.0,un,Bizcocho Relleno con Manjar CHOCMAN Paquete 6u,4.5,plaza_vea,Paquete 6un,,POP CORN (BOCADITOS)
Maíz Pop Corn COSTEÑO Bolsa 500g,S/ 4.60,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,500.0,g,Maíz Pop Corn COSTEÑO Bolsa,4.6,vivanda,,COSTENO,POP CORN (BOCADITOS)
Pop Corn Natural Act II Bolsa 80 g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,80.0,g,Pop Corn Natural Act II Bolsa,4.6,metro,,,POP CORN (BOCADITOS)
Pop Corn ACT II con Extra Mantequilla Sobre 85g,S/ 4.60,vega,POP CORN (BOCADITOS),2024-12-04 14:42:44.525172,85.0,g,Pop Corn ACT II con Extra Mantequilla Sobre,4.6,vega,,Act II,POP CORN (BOCADITOS)
Pop Corn ACT II con Mantequilla Sobre 80g,S/ 4.60,vega,POP CORN (BOCADITOS),2024-12-04 14:42:44.525172,80.0,g,Pop Corn ACT II con Mantequilla Sobre,4.6,vega,,Act II,POP CORN (BOCADITOS)
Pop Corn para Microondas Act II Sabor Mantequilla 91g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,91.0,g,Pop Corn para Microondas Act II Sabor Mantequilla,4.6,metro,,,POP CORN (BOCADITOS)
Pop Corn Butter Extra Act II 91g,S/ 4.60,metro,POP CORN (BOCADITOS),2024-12-04 22:19:52.906004,91.0,g,Pop Corn Butter Extra Act II,4.6,metro,,,POP CORN (BOCADITOS)
Maiz Pop Corn 500 g,S/ 4.64,tottus,POP CORN (BOCADITOS),2024-12-04 13:57:45.205345,500.0,g,Maiz Pop Corn,4.64,tottus,,TOTTUS,POP CORN (BOCADITOS)
Galletas Sandwich de Chocolate RELLENITAS con ...,S/ 4.69 un,plaza_vea,POP CORN (BOCADITOS),2024-12-04 14:39:06.213842,8.0,un,Galletas Sandwich de Chocolate RELLENITAS con,4.69,plaza_vea,Paquete 8un,,POP CORN (BOCADITOS)
Caramelo PUSH POP Surtido Barra 15g,S/ 4.70,vivanda,POP CORN (BOCADITOS),2024-12-04 18:15:54.619597,15.0,g,Caramelo PUSH POP Surtido Barra,4.7,vivanda,,TOPS,POP CORN (BOCADITOS)
