description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Maca Avena Premium 3 OSITOS Bolsa 150gr,S/ 2.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,150.0,g,2.2,vega,,3 Ositos,QUESO FRESCO DE VACA
Maca Avena 3 Ositos Bolsa 270g,S/ 3.60,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,270.0,g,3.6,vega,,3 Ositos,QUESO FRESCO DE VACA
CHEETOS Sabot a Queso Horneados Bolsa 90 gr,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,90.0,g,4.2,vega,,Cheetos,QUESO FRESCO DE VACA
Tortillas de Maíz DORITOS Queso Atrevido Bolsa 90g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,90.0,g,4.2,vega,,Doritos,QUESO FRESCO DE VACA
Salsa Roja DON VITTORIO Doypack 200g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,200.0,g,4.2,vega,,Don Vittorio,QUESO FRESCO DE VACA
Piqueos CHEETOS Queso Picante Bolsa 180g,S/ 4.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,180.0,g,4.2,vega,,Cheetos,QUESO FRESCO DE VACA
Galleta RITZ Sabor a Queso 30g Paquete 6u,S/ 5.20,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,30.0,g,5.2,vega,,Ritz,QUESO FRESCO DE VACA
CHIZITOS Fiesta Queso Bolsa 190 gr,S/ 6.50,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,190.0,g,6.5,vega,,Chizito,QUESO FRESCO DE VACA
Salsa Roja DON VITTORIO Doypack 400g,S/ 6.80,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,400.0,g,6.8,vega,,Don Vittorio,QUESO FRESCO DE VACA
Jabón Líquido Antibacterial VCLEAN Fresco y Sensual con Glicerina Frasco 400ml,S/ 8.50,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,400.0,ml,8.5,vega,,Timonel,QUESO FRESCO DE VACA
Papas PRINGLES Queso Lata 109g,S/ 8.90,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,109.0,g,8.9,vega,,Pringles,QUESO FRESCO DE VACA
Shampoo SAVITAL Multioleos Frasco 510ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,510.0,ml,11.9,vega,,Savital,QUESO FRESCO DE VACA
Acondicionador SAVITAL Sábila y Colágeno Frasco 490ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,490.0,ml,11.9,vega,,Savital,QUESO FRESCO DE VACA
Shampoo SAVITAL Sábila y Colágeno Frasco 510ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,510.0,ml,11.9,vega,,Savital,QUESO FRESCO DE VACA
Acondicionador SAVITAL con Multióleos y Sábila Frasco 490ml,S/ 11.90 20%,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,490.0,ml,11.9,vega,,Savital,QUESO FRESCO DE VACA
Refresco Instantáneo ZUKO de Maracuya Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,15.0,g,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Refresco instantáneo ZUKO de Naranja Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,15.0,g,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Refresco instantáneo ZUKO de Piña Display 12u Sobre 15gr,S/ 14.40,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,15.0,g,14.4,vega,,Zuko,QUESO FRESCO DE VACA
Queso Fresco de Vaca Deslactosado DUMAN x Kg,S/ 16.17,plaza_vea,QUESO FRESCO DE VACA,2024-12-04 13:39:33.782527,0.3,kg,16.17,plaza_vea,Presentación 0.3 kg aprox.,,QUESO FRESCO DE VACA
Refresco TAMPICO Granadilla Punch Paquete 12u Botella 500ml,S/ 18.00,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,500.0,ml,18.0,vega,,Tampico,QUESO FRESCO DE VACA
Queso Fresco de Vaca DUMAN,S/ 19.96,plaza_vea,QUESO FRESCO DE VACA,2024-12-04 13:39:33.782527,0.4,kg,19.96,plaza_vea,Presentación 0.4 kg aprox.,,QUESO FRESCO DE VACA
Queso Fresco de Vaca Light DUMAN Paquete 400g,S/ 27.68,plaza_vea,QUESO FRESCO DE VACA,2024-12-04 13:39:33.782527,0.45,kg,27.68,plaza_vea,Presentación 0.45 kg aprox.,,QUESO FRESCO DE VACA
Acondicionador SAVITAL MultiVitaminas y Sábila Frasco 510ml x 2u,S/ 29.80,vega,QUESO FRESCO DE VACA,2024-12-04 13:46:02.088345,510.0,ml,29.8,vega,,Savital,QUESO FRESCO DE VACA
Queso Fresco De Vaca Light Duman x kg,S/ 50.32 x kg,metro,QUESO FRESCO DE VACA,2024-12-04 21:18:43.540996,1.0,kg,50.32,metro,,,QUESO FRESCO DE VACA
Queso Fresco De Vaca Light Duman x kg,S/ 53.04 x kg,wong,QUESO FRESCO DE VACA,2024-12-04 19:08:39.919343,1.0,kg,53.04,wong,,,QUESO FRESCO DE VACA
