description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Nuggets De Pollo (10 unidades),S/ 4.90,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,10.0,un,Nuggets De Pollo (ades),4.9,tottus,,SAN FERNANDO,SANCOCHADO DE VACUNO
CHIKI NUGGETS X 200 GR,S/ 4.90,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,200.0,g,CHIKI NUGGETS X R,4.9,tottus,,REDONDOS,SANCOCHADO DE VACUNO
Crispy Nuggets (10 unidades),S/ 4.95,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,10.0,un,Crispy Nuggets (ades),4.95,tottus,,SAN FERNANDO,SANCOCHADO DE VACUNO
NUGGETS PECHUGA X 180 GR,S/ 5.50,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,180.0,g,NUGGETS PECHUGA X R,5.5,tottus,,REDONDOS,SANCOCHADO DE VACUNO
HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.90,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,6.0,un,HAMB. LA REDONDITA X ADES,5.9,tottus,,REDONDOS,SANCOCHADO DE VACUNO
Hojuelas de ganado Vacuno deshidrat Pet's Fun 60g,S/ 6.50,metro,SANCOCHADO DE VACUNO,2024-12-04 20:58:33.955926,60.0,g,Hojuelas de ganado Vacuno deshidrat Pet's Fun,6.5,metro,,,SANCOCHADO DE VACUNO
Hojuelas de ganado Vacuno deshidrat Pet's Fun 60g,S/ 6.50,wong,SANCOCHADO DE VACUNO,2024-12-04 18:39:29.346114,60.0,g,Hojuelas de ganado Vacuno deshidrat Pet's Fun,6.5,wong,,,SANCOCHADO DE VACUNO
Snack Dentitoy Pescado Vacuno 6un,S/ 6.70,metro,SANCOCHADO DE VACUNO,2024-12-04 20:58:33.955926,6.0,un,Snack Dentitoy Pescado Vacuno,6.7,metro,,,SANCOCHADO DE VACUNO
Snack Dentitoy Pescado Vacuno 6un,S/ 6.70,wong,SANCOCHADO DE VACUNO,2024-12-04 18:39:29.346114,6.0,un,Snack Dentitoy Pescado Vacuno,6.7,wong,,,SANCOCHADO DE VACUNO
Nuggets Pechuga Pollo Chia Sin Freír 180 g,S/ 6.90,tottus,SANCOCHADO DE VACUNO,2024-12-04 13:08:31.780610,180.0,g,Nuggets Pechuga Pollo Chia Sin Freír,6.9,tottus,,SAN FERNANDO,SANCOCHADO DE VACUNO
Patas de Pollo Empacada al vacío SAN FERNANDO,S/ 8.50 x kg,plaza_vea,SANCOCHADO DE VACUNO,2024-12-04 13:17:15.154999,0.9,kg,Patas de Pollo Empacada al vacío SAN FERNANDO,8.5,plaza_vea,Presentación 0.9 kg aprox.,,SANCOCHADO DE VACUNO
