description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Comida para Perros RICOCAN Adultos Trocitos Carne 100g,S/ 3.00,vega,TOCINO AHUMADO,2024-12-04 13:30:51.584866,100.0,g,Comida para Perros RICOCAN Adultos Trocitos Carne,3.0,vega,,Ricocan,TOCINO AHUMADO
Tocino Ahumado Clásico Rico 100g,S/ 4.20,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939,100.0,g,Tocino Ahumado Clásico Rico,4.2,metro,,,TOCINO AHUMADO
Comida para Perros RICOCAN Adultos Sabor a Trocitos de Pollo y verduras Lata 290gr,S/ 6.00,vega,TOCINO AHUMADO,2024-12-04 13:30:51.584866,290.0,g,Comida para Perros RICOCAN Adultos Sabor a Trocitos de Pollo y verduras Lata r,6.0,vega,,Ricocan,TOCINO AHUMADO
Comida para Perros RICOCAN Cachorros Sabor a Trocitos de Cordero Lata 290gr,S/ 6.00,vega,TOCINO AHUMADO,2024-12-04 13:30:51.584866,290.0,g,Comida para Perros RICOCAN Cachorros Sabor a Trocitos de Cordero Lata r,6.0,vega,,Ricocan,TOCINO AHUMADO
Comida para Perros RICOCAN Adultos Sabor a Trocitos de Cordero y Arroz Lata 290gr,S/ 6.00,vega,TOCINO AHUMADO,2024-12-04 13:30:51.584866,290.0,g,Comida para Perros RICOCAN Adultos Sabor a Trocitos de Cordero y Arroz Lata r,6.0,vega,,Ricocan,TOCINO AHUMADO
Tocino Ahumado BELL'S SELECCIÓN Paquete 100g,S/ 7.90 un,plaza_vea,TOCINO AHUMADO,2024-12-04 13:25:32.389103,100.0,g,Tocino Ahumado BELL'S SELECCIÓN Paquete,7.9,plaza_vea,Paquete 100g,,TOCINO AHUMADO
Tocino Ahumado BELL'S SELECCIÓN Paquete 100g,S/ 7.90,vivanda,TOCINO AHUMADO,2024-12-04 17:29:42.444219,100.0,g,Tocino Ahumado BELL'S SELECCIÓN Paquete,7.9,vivanda,,BELL'S SELECCIÓN,TOCINO AHUMADO
Tocino Ahumado La Segoviana Paquete 100 g,S/ 8.20,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939,100.0,g,Tocino Ahumado La Segoviana Paquete,8.2,metro,,,TOCINO AHUMADO
Tocino Cocido Ahumado SANT DALMAI Paquete 150g,S/ 9.50 un,plaza_vea,TOCINO AHUMADO,2024-12-04 13:25:32.389103,150.0,g,Tocino Cocido Ahumado SANT DALMAI Paquete,9.5,plaza_vea,Bolsa 150g,,TOCINO AHUMADO
Tocino Cocido Ahumado SANT DALMAI Paquete 150g,S/ 10.50,vivanda,TOCINO AHUMADO,2024-12-04 17:29:42.444219,150.0,g,Tocino Cocido Ahumado SANT DALMAI Paquete,10.5,vivanda,,SANT DALMAI,TOCINO AHUMADO
Tocino Natural Ahumado Cuisine & Co 200g,S/ 10.90,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939,200.0,g,Tocino Natural Ahumado Cuisine & Co,10.9,metro,,,TOCINO AHUMADO
Tocino Ahumado Otto Kunz 150g,S/ 11.22,metro,TOCINO AHUMADO,2024-12-04 21:06:44.020939,150.0,g,Tocino Ahumado Otto Kunz,11.22,metro,,,TOCINO AHUMADO
TOCINO AHUMADO X 150 GR,S/ 11.90,tottus,TOCINO AHUMADO,2024-12-04 13:13:56.022565,150.0,g,TOCINO AHUMADO X R,11.9,tottus,,TOTTUS,TOCINO AHUMADO
Tocino Ahumado Zimmermann Paquete 200 g,S/ 14.32,wong,TOCINO AHUMADO,2024-12-04 18:51:52.155301,200.0,g,Tocino Ahumado Zimmermann Paquete,14.32,wong,,,TOCINO AHUMADO
