description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Salsa de Tomate BELL'S para Aderezo Doypack 160g,S/ 1.30,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,160.0,g,Salsa de Tomate BELL'S para Aderezo Doypack,1.3,vivanda,,BELL'S,TOMATE ITALIANO O MARSANO
Pasta de Tomate BELL'S Doypack 120g,S/ 1.50,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,120.0,g,Pasta de Tomate BELL'S Doypack,1.5,vivanda,,BELL'S,TOMATE ITALIANO O MARSANO
Salsa Clásica de Tomate POMAROLA Doypack 145g,S/ 1.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-04 14:05:29.111426,145.0,g,Salsa Clásica de Tomate POMAROLA Doypack,1.7,plaza_vea,Doypack 145g,,TOMATE ITALIANO O MARSANO
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,wong,,,TOMATE ITALIANO O MARSANO
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,TOMATE ITALIANO O MARSANO,2024-12-04 21:44:19.431446,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,metro,,,TOMATE ITALIANO O MARSANO
Concentrado de Tomate POMAROLA Doypack 110g,S/ 1.80 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-04 14:05:29.111426,110.0,g,Concentrado de Tomate POMAROLA Doypack,1.8,plaza_vea,Doypack 110g,,TOMATE ITALIANO O MARSANO
Concentrado de Tomate POMAROLA Doypack 110g,S/ 1.80,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,110.0,g,Concentrado de Tomate POMAROLA Doypack,1.8,vivanda,,POMAROLA,TOMATE ITALIANO O MARSANO
Salsa de Tomate Pomarola 145g,S/ 1.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,145.0,g,Salsa de Tomate Pomarola,1.9,wong,,,TOMATE ITALIANO O MARSANO
Zapallo Italiano x un,S/ 1.99,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,1.0,un,Zapallo Italiano,1.99,vivanda,,VIVANDA,TOMATE ITALIANO O MARSANO
Pasta de Tomate B&D Doypack 100g,S/ 2.20,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,100.0,g,Pasta de Tomate B&D Doypack,2.2,vivanda,,B&D,TOMATE ITALIANO O MARSANO
Té Verde HORNIMANS Listo para Tomar Botella 30...,S/ 2.50 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-04 14:05:29.111426,300.0,ml,Té Verde HORNIMANS Listo para Tomar Botella 30,2.5,plaza_vea,Botella 300ml,,TOMATE ITALIANO O MARSANO
Salsa tipo Tamarindo 2 BANDERAS con Pasta de Tomate Bolsa 100g,S/ 2.69,vivanda,TOMATE ITALIANO O MARSANO,2024-12-04 17:54:39.770422,100.0,g,Salsa tipo Tamarindo 2 BANDERAS con Pasta de Tomate Bolsa,2.69,vivanda,,2BANDERAS,TOMATE ITALIANO O MARSANO
Salsa tipo Tamarindo 2 BANDERAS con Pasta de T...,S/ 2.69 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-04 14:05:29.111426,100.0,g,Salsa tipo Tamarindo 2 BANDERAS con Pasta de T,2.69,plaza_vea,Bolsa 100g,,TOMATE ITALIANO O MARSANO
