description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Canela Entera KARIÑO Sobre 3g,S/ 0.90,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,3.0,g,Canela Entera KARIÑO Sobre,0.9,vega,,Kariño,TORTA (ENTERA)
Orégano BELL'S Entero Sobre 8Gr,S/ 1.10 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,8.0,g,Orégano BELL'S Entero Sobre r,1.1,plaza_vea,Sobre 8g,,TORTA (ENTERA)
Orégano Entero 10 g,S/ 1.40,tottus,TORTA (ENTERA),2024-12-04 13:04:41.710135,10.0,g,Orégano Entero,1.4,tottus,,TOTTUS,TORTA (ENTERA)
Fideos Tornillo VEGA Bolsa 250gr,S/ 1.50,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,250.0,g,Fideos Tornillo VEGA Bolsa r,1.5,vega,,Vega,TORTA (ENTERA)
Choclo Entero un,S/ 1.89 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,1.0,un,Choclo Entero un,1.89,plaza_vea,Paquete 1un,,TORTA (ENTERA)
Orégano SIBARITA Entero Sobre 10Gr,S/ 2.10 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,10.0,g,Orégano SIBARITA Entero Sobre r,2.1,plaza_vea,Sobre 10g,,TORTA (ENTERA)
Orégano Entero 9 g,S/ 2.10,tottus,TORTA (ENTERA),2024-12-04 13:04:41.710135,9.0,g,Orégano Entero,2.1,tottus,,SIBARITA,TORTA (ENTERA)
Pimienta BELL'S Negra entera Sobre 15Gr,S/ 2.50 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,15.0,g,Pimienta BELL'S Negra entera Sobre r,2.5,plaza_vea,Sobre 15g,,TORTA (ENTERA)
Laurel Entero 7 g,S/ 2.50,tottus,TORTA (ENTERA),2024-12-04 13:04:41.710135,7.0,g,Laurel Entero,2.5,tottus,,TOTTUS,TORTA (ENTERA)
Pimienta BELL'S Negra Entera Sobre 15g,S/ 2.50,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,15.0,g,Pimienta BELL'S Negra Entera Sobre,2.5,vivanda,,BELL'S,TORTA (ENTERA)
Fideos Spaguetti VEGA Bolsa 500gr,S/ 2.60,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,500.0,g,Fideos Spaguetti VEGA Bolsa r,2.6,vega,,Vega,TORTA (ENTERA)
Corta Huevo VIVA HOME Blíster 1un,S/ 2.90,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,1.0,un,Corta Huevo VIVA HOME Blíster,2.9,vivanda,,VIVA HOME,TORTA (ENTERA)
Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,150.0,g,Flan UNIVERSAL Sabor a Vainilla Bolsa r,3.3,vega,,Universal,TORTA (ENTERA)
Romero Entero Kariño 8 g,S/ 3.30,tottus,TORTA (ENTERA),2024-12-04 13:04:41.710135,8.0,g,Romero Entero Kariño,3.3,tottus,,,TORTA (ENTERA)
Orégano Entero Kariño 18 g,S/ 3.30,tottus,TORTA (ENTERA),2024-12-04 13:04:41.710135,18.0,g,Orégano Entero Kariño,3.3,tottus,,,TORTA (ENTERA)
Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,130.0,g,Gelatina UNIVERSAL Sabor a Limón Bolsa,3.5,vega,,Universal,TORTA (ENTERA)
Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,130.0,g,Gelatina UNIVERSAL Sabor a Naranja Bolsa,3.5,vega,,Universal,TORTA (ENTERA)
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,TORTA (ENTERA),2024-12-04 13:14:56.619538,130.0,g,Gelatina UNIVERSAL Sabor a Fresa Bolsa,3.5,vega,,Universal,TORTA (ENTERA)
Lechuga Crespa Entera VERDE PURO Bolsa 200g,S/ 3.69 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,300.0,g,Lechuga Crespa Entera VERDE PURO Bolsa,3.69,plaza_vea,Bolsa 300g,,TORTA (ENTERA)
Pimienta KARIÑO Negra entera Sobre 17Gr,S/ 3.70,vivanda,TORTA (ENTERA),2024-12-04 17:20:16.231913,17.0,g,Pimienta KARIÑO Negra entera Sobre r,3.7,vivanda,,KARINO,TORTA (ENTERA)
Leche UHT LAIVE Entera Bolsa 900ml,S/ 3.90 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,900.0,ml,Leche UHT LAIVE Entera Bolsa,3.9,plaza_vea,Bolsa 900ml,,TORTA (ENTERA)
Leche Evaporada BELL'S Entera Lata 410g,S/ 3.90 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,410.0,g,Leche Evaporada BELL'S Entera Lata,3.9,plaza_vea,Lata 410g,,TORTA (ENTERA)
Canela Entera BELL'S Sobre 12g,S/ 4.09 un,plaza_vea,TORTA (ENTERA),2024-12-04 13:07:36.681683,12.0,g,Canela Entera BELL'S Sobre,4.09,plaza_vea,Sobre 12g,,TORTA (ENTERA)
