description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Cereal VITA PLUSS Trigo con Miel Bolsa 25g,S/ 0.90 un,plaza_vea,TRIGO MORÓN,2024-12-04 12:54:18.592702,25.0,g,Cereal VITA PLUSS Trigo con Miel Bolsa,0.9,plaza_vea,Bolsa 25g,,TRIGO MORÓN
Sémola de Trigo Duro BELL'S Bolsa 180g,S/ 1.09,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,180.0,g,Sémola de Trigo Duro BELL'S Bolsa,1.09,vivanda,,BELL'S,TRIGO MORÓN
PASTA TRIGO CARACOL CHICO BOL X 235G,S/ 2,tottus,TRIGO MORÓN,2024-12-04 12:56:48.303741,235.0,g,PASTA TRIGO CARACOL CHICO BOL X,2.0,tottus,,DON VITTORIO,TRIGO MORÓN
PASTA TRIGO CODO CHICO BOLSA X 235G,S/ 2,tottus,TRIGO MORÓN,2024-12-04 12:56:48.303741,235.0,g,PASTA TRIGO CODO CHICO BOLSA X,2.0,tottus,,DON VITTORIO,TRIGO MORÓN
Piqueo BELL'S Chicharrón de Trigo Salado Bolsa...,S/ 2.20 un,plaza_vea,TRIGO MORÓN,2024-12-04 12:54:18.592702,50.0,g,Piqueo BELL'S Chicharrón de Trigo Salado Bolsa,2.2,plaza_vea,Bolsa 50g,,TRIGO MORÓN
Pasta Precocida Trigo Ramen Camaron 85g,S/ 2.30,tottus,TRIGO MORÓN,2024-12-04 12:56:48.303741,85.0,g,Pasta Precocida Trigo Ramen Camaron,2.3,tottus,,NISSIN,TRIGO MORÓN
Pasta Precocida Trigo Ramen Costilla 85g,S/ 2.30,tottus,TRIGO MORÓN,2024-12-04 12:56:48.303741,85.0,g,Pasta Precocida Trigo Ramen Costilla,2.3,tottus,,NISSIN,TRIGO MORÓN
Pasta Precocida Trigo Ramen Verdura 85g,S/ 2.30,tottus,TRIGO MORÓN,2024-12-04 12:56:48.303741,85.0,g,Pasta Precocida Trigo Ramen Verdura,2.3,tottus,,NISSIN,TRIGO MORÓN
"Snack de Papa, Maíz y Trigo PIQUEO SNAX Bolsa ...",S/ 2.50 un,plaza_vea,TRIGO MORÓN,2024-12-04 12:54:18.592702,55.0,g,"Snack de Papa, Maíz y Trigo PIQUEO SNAX Bolsa",2.5,plaza_vea,Bolsa 55g,,TRIGO MORÓN
"Snack de Papa, Maíz y Trigo PIQUEO SNAX Bolsa 55g",S/ 2.70,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,55.0,g,"Snack de Papa, Maíz y Trigo PIQUEO SNAX Bolsa",2.7,vivanda,,FRITO LAY,TRIGO MORÓN
Galletas Salvado de Trigo Fibra Light Bolsa 70 g,S/ 2.90,metro,TRIGO MORÓN,2024-12-04 20:36:58.511548,70.0,g,Galletas Salvado de Trigo Fibra Light Bolsa,2.9,metro,,,TRIGO MORÓN
Galletas Integrales FIBRA LIGHT de Salvado de ...,S/ 2.90 un,plaza_vea,TRIGO MORÓN,2024-12-04 12:54:18.592702,70.0,g,Galletas Integrales FIBRA LIGHT de Salvado de,2.9,plaza_vea,Paquete 70g,,TRIGO MORÓN
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,TRIGO MORÓN,2024-12-04 20:36:58.511548,350.0,g,Trigo Mote Tesoro del Campo,2.9,metro,,,TRIGO MORÓN
