description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt Griego LAIVE con Trozos de Durazno Vaso...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,120.0,g,Yogurt Griego LAIVE con Trozos de Durazno Vaso,2.2,plaza_vea,Vaso 120g,,TROZO DE PESCADO EN CONSERVA
Yogurt Griego LAIVE con Trozos de Fresa Vaso 1...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,120.0,g,Yogurt Griego LAIVE con Trozos de Fresa Vaso 1,2.2,plaza_vea,Vaso 120g,,TROZO DE PESCADO EN CONSERVA
Yogurt Griego LAIVE con Trozos de Blueberry Va...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,120.0,g,Yogurt Griego LAIVE con Trozos de Blueberry Va,2.2,plaza_vea,Vaso 120g,,TROZO DE PESCADO EN CONSERVA
Conserva de Maíz BELL'S Lata 150g,S/ 3.79 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,150.0,g,Conserva de Maíz BELL'S Lata,3.79,plaza_vea,Lata 150g,,TROZO DE PESCADO EN CONSERVA
Conserva de Maíz BELL'S Lata 150g,S/ 3.79,vivanda,TROZO DE PESCADO EN CONSERVA,2024-12-04 17:35:20.491374,150.0,g,Conserva de Maíz BELL'S Lata,3.79,vivanda,,BELL'S,TROZO DE PESCADO EN CONSERVA
Trozos de Atún en Aceite Vegetal Metro 140g,S/ 3.90,metro,TROZO DE PESCADO EN CONSERVA,2024-12-04 21:13:15.881132,140.0,g,Trozos de Atún en Aceite Vegetal Metro,3.9,metro,,,TROZO DE PESCADO EN CONSERVA
Comida para Perros SUPERCAT Cachorro Todas las...,S/ 3.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,190.0,g,Comida para Perros SUPERCAT Cachorro Todas las,3.9,plaza_vea,Lata 190g,,TROZO DE PESCADO EN CONSERVA
Aceitunas Enteras en Conserva OLIVALLE Botija ...,S/ 4 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,180.0,g,Aceitunas Enteras en Conserva OLIVALLE Botija,4.0,plaza_vea,Doypack 180g,,TROZO DE PESCADO EN CONSERVA
Trozos de Jurel en Aceite Vegetal Campomar 170g,S/ 4.10,wong,TROZO DE PESCADO EN CONSERVA,2024-12-04 19:01:47.778406,170.0,g,Trozos de Jurel en Aceite Vegetal Campomar,4.1,wong,,,TROZO DE PESCADO EN CONSERVA
Trozos de Jurel en Aceite Vegetal Campomar 170g,S/ 4.10,metro,TROZO DE PESCADO EN CONSERVA,2024-12-04 21:13:15.881132,170.0,g,Trozos de Jurel en Aceite Vegetal Campomar,4.1,metro,,,TROZO DE PESCADO EN CONSERVA
Aceitunas Verdes Deshuesadas OLIVALLE en Conse...,S/ 4.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,160.0,g,Aceitunas Verdes Deshuesadas OLIVALLE en Conse,4.2,plaza_vea,Doypack 160g,,TROZO DE PESCADO EN CONSERVA
Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack 160g,S/ 4.20,vivanda,TROZO DE PESCADO EN CONSERVA,2024-12-04 17:35:20.491374,160.0,g,Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack,4.2,vivanda,,OLIVALLE,TROZO DE PESCADO EN CONSERVA
Aguaymanto Pelado BELL'S Bandeja 200g,S/ 4.29 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,200.0,g,Aguaymanto Pelado BELL'S Bandeja,4.29,plaza_vea,Bandeja 200g,,TROZO DE PESCADO EN CONSERVA
Trozos De Atún x 140 g,S/ 4.30,tottus,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:19:12.123595,140.0,g,Trozos De Atún x,4.3,tottus,,TOTTUS,TROZO DE PESCADO EN CONSERVA
Tomate Entero Pelado CIDACOS Lata 400g,S/ 4.30 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-04 13:34:06.574201,400.0,g,Tomate Entero Pelado CIDACOS Lata,4.3,plaza_vea,Lata 400g,,TROZO DE PESCADO EN CONSERVA
