description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Trozos de Atún en Aceite Vegetal Metro 140g,S/ 3.90,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,140.0,g,3.9,metro,,,VEGETALES SANCOCHADOS
Trozos de Jurel en Aceite Vegetal Campomar 170g,S/ 4.10,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,170.0,g,4.1,metro,,,VEGETALES SANCOCHADOS
Trozos de Jurel en Aceite Vegetal Campomar 170g,S/ 4.10,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,170.0,g,4.1,wong,,,VEGETALES SANCOCHADOS
Aceite de Soya VEGA Botella 500ml,S/ 4.30,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,500.0,ml,4.3,vega,,Vega,VEGETALES SANCOCHADOS
Filete de Atún en Aceite Vegetal Metro 140g,S/ 4.40,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,140.0,g,4.4,metro,,,VEGETALES SANCOCHADOS
Filete de Bonito FRESCOMAR en Aceite Vegetal L...,S/ 4.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,170.0,g,4.5,plaza_vea,Lata 170g,,VEGETALES SANCOCHADOS
Grated de Atún en Aceite Vegetal Florida 140g,S/ 4.60,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,140.0,g,4.6,metro,,,VEGETALES SANCOCHADOS
Graned de Atún en Aceite Vegetal 140g,S/ 4.60,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,140.0,g,4.6,tottus,,FLORIDA,VEGETALES SANCOCHADOS
Trozos de Atún VEGA en Aceite Vegetal Lata 150g,S/ 4.70,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,4.7,vega,,Vega,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal 170 g,S/ 4.80,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,170.0,g,4.8,tottus,,TOTTUS,VEGETALES SANCOCHADOS
Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,S/ 4.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,170.0,g,4.8,plaza_vea,Lata 170g,,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal A1 Lata 140g,S/ 4.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,4.9,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
D Gussto Trozos Atún Aceite Vegetal 140 g,S/ 5,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,140.0,g,5.0,tottus,,D'GUSSTO,VEGETALES SANCOCHADOS
Filete De Bonito Aceite Vegetal 150 g,S/ 5.10,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,150.0,g,5.1,tottus,,CAMPOMAR,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 5.10,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,140.0,g,5.1,wong,,,VEGETALES SANCOCHADOS
Trozos De Atún Aceite Vegetal 140 g,S/ 5.10,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,140.0,g,5.1,tottus,,COMPASS,VEGETALES SANCOCHADOS
Sólido de Caballa CAMPOMAR en Aceite Vegetal Lata 150g,S/ 5.20,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,150.0,g,5.2,vivanda,,CAMPOMAR,VEGETALES SANCOCHADOS
Sólido de Caballa CAMPOMAR en Aceite Vegetal Lata 170g,S/ 5.20,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,170.0,g,5.2,vivanda,,CAMPOMAR,VEGETALES SANCOCHADOS
Sólido de Caballa CAMPOMAR en Aceite Vegetal L...,S/ 5.20 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,170.0,g,5.2,plaza_vea,Lata 170g,,VEGETALES SANCOCHADOS
Trozos de Atún CAMPOMAR en Aceite Vegetal Lata 150g,S/ 5.40,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,150.0,g,5.4,vega,,Campomar,VEGETALES SANCOCHADOS
Filete De Atún Aceite Vegetal x 140 g,S/ 5.50,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,140.0,g,5.5,tottus,,COMPASS,VEGETALES SANCOCHADOS
Trozos de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.5,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Filete de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 5.50,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,140.0,g,5.5,wong,,,VEGETALES SANCOCHADOS
Filete de Atún CAMPOMAR en Aceite Vegetal Lata...,S/ 5.60 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,150.0,g,5.6,plaza_vea,Lata 150g,,VEGETALES SANCOCHADOS
Filete de Atún FRESCOMAR Aceite Vegetal Lata 1...,S/ 5.60 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,170.0,g,5.6,plaza_vea,Lata 170g,,VEGETALES SANCOCHADOS
Trozos De Atún Aceite Vegetal 170Gr,S/ 5.60,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,170.0,g,5.6,tottus,,FRESCOMAR,VEGETALES SANCOCHADOS
Filete de Atún CAMPOMAR en Aceite Vegetal Lata 150g,S/ 5.60,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,150.0,g,5.6,vivanda,,CAMPOMAR,VEGETALES SANCOCHADOS
Pallar 500 g,S/ 5.70,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,500.0,g,5.7,tottus,,TOTTUS,VEGETALES SANCOCHADOS
Aceite Vegetal Máxima 900ml,S/ 5.80,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,900.0,ml,5.8,metro,,,VEGETALES SANCOCHADOS
Filete De Atún Aceite Vegetal 170 g,S/ 5.80,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,170.0,g,5.8,tottus,,FRESCOMAR,VEGETALES SANCOCHADOS
Aceite Vegetal BELL'S Botella 900ml,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,900.0,ml,5.8,plaza_vea,Botella 900ml,,VEGETALES SANCOCHADOS
Trozos de Atún FLORIDA en Aceite Vegetal Lata ...,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.8,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Aceite Vegetal Máxima 900ml,S/ 5.80,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,900.0,ml,5.8,metro,,,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal FANNY Lata 14...,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.8,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Filete De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,150.0,g,5.8,tottus,,CAMPOMAR,VEGETALES SANCOCHADOS
Aceite Vegetal Del Cielo Botella x 900 mL,S/ 5.80,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,900.0,ml,5.8,tottus,,,VEGETALES SANCOCHADOS
Trozos Atún en Aceite Vegetal y Sal 140g,S/ 5.80,tottus,VEGETALES SANCOCHADOS,2024-12-04 13:56:25.794009,140.0,g,5.8,tottus,,FLORIDA,VEGETALES SANCOCHADOS
Lomos de Atún en Aceite Vegetal CAMPOMAR Lata 150g,S/ 5.80,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,150.0,g,5.8,vivanda,,CAMPOMAR,VEGETALES SANCOCHADOS
Aceite Vegetal BELL'S Botella 900ml,S/ 5.80,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,900.0,ml,5.8,vivanda,,BELL'S,VEGETALES SANCOCHADOS
Sólido de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 5.80,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,140.0,g,5.8,wong,,,VEGETALES SANCOCHADOS
Aceite VEGA de Soya Botella 900ml,S/ 5.80 6%,vega,VEGETALES SANCOCHADOS,2024-12-04 14:40:39.545394,900.0,ml,5.8,vega,,Vega,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.9,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Filete de Atún en Aceite Vegetal FANNY Lata 14...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.9,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.9,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal Campomar 150g,S/ 5.90,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,150.0,g,5.9,wong,,,VEGETALES SANCOCHADOS
Filete de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-04 14:36:10.886999,140.0,g,5.9,plaza_vea,Lata 140g,,VEGETALES SANCOCHADOS
Trozos de Atún PRIMOR en Aceite Vegetal Lata 140g,S/ 5.90,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,140.0,g,5.9,vivanda,,PRIMOR,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal Florida 150g,S/ 5.90,wong,VEGETALES SANCOCHADOS,2024-12-04 20:40:02.922572,150.0,g,5.9,wong,,,VEGETALES SANCOCHADOS
Trozos de Atún en Aceite Vegetal Florida 150g,S/ 5.90,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,150.0,g,5.9,metro,,,VEGETALES SANCOCHADOS
Aceite Vegetal Metro 900ml,S/ 5.90,metro,VEGETALES SANCOCHADOS,2024-12-04 22:16:23.406015,900.0,ml,5.9,metro,,,VEGETALES SANCOCHADOS
Filete de Atún PRIMOR en Aceite Vegetal Lata 140g,S/ 6.00,vivanda,VEGETALES SANCOCHADOS,2024-12-04 18:14:43.920914,140.0,g,6.0,vivanda,,PRIMOR,VEGETALES SANCOCHADOS
