description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Sopa instantánea AJINOMEN Pollo y Verduras Bolsa 80g,S/ 1.60,vivanda,VERDURA PICADA,2024-12-04 17:58:31.646357,80.0,g,Sopa instantánea AJINOMEN Pollo y Verduras Bolsa,1.6,vivanda,AJINOMEN,VERDURA PICADA
Sopa Instantánea Ajinomen Sabor Pollo Verduras 80 g,S/ 1.90,tottus,VERDURA PICADA,2024-12-04 13:41:09.765627,80.0,g,Sopa Instantánea Ajinomen Sabor Pollo Verduras,1.9,tottus,AJINOMOTO,VERDURA PICADA
Mini PICARAS Clásicas Paquete 46g,S/ 2.00,vivanda,VERDURA PICADA,2024-12-04 17:58:31.646357,46.0,g,Mini PICARAS Clásicas Paquete,2.0,vivanda,PICARAS,VERDURA PICADA
Sopa Ramen NISSIN Sabor Verdura Bolsa 85g,S/ 2.20,vivanda,VERDURA PICADA,2024-12-04 17:58:31.646357,85.0,g,Sopa Ramen NISSIN Sabor Verdura Bolsa,2.2,vivanda,NISSIN,VERDURA PICADA
Espinaca Bebé Frescas 150g,S/ 3.20,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,150.0,g,Espinaca Bebé Frescas,3.2,metro,,VERDURA PICADA
Champiñón Picado Paccu 100g,S/ 3.40,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,100.0,g,Champiñón Picado Paccu,3.4,metro,,VERDURA PICADA
Pepinillo Hidropónico Ecologic x un,S/ 3.70,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,1.0,un,Pepinillo Hidropónico Ecologic,3.7,wong,,VERDURA PICADA
Pepino Holandés Hidropónico de Invernadero Ecologic x unid,S/ 3.80,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,1.0,un,Pepino Holandés Hidropónico de Invernadero Ecologic,3.8,metro,,VERDURA PICADA
Pepino Holandés Hidropónico de Invernadero Ecologic x unid,S/ 3.80,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,1.0,un,Pepino Holandés Hidropónico de Invernadero Ecologic,3.8,wong,,VERDURA PICADA
Chicha Morada Pasteurizada Wong Botella 500ml,S/ 3.89,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,500.0,ml,Chicha Morada Pasteurizada Wong Botella,3.89,metro,,VERDURA PICADA
Fideo Pastinas de Verduras Montanara 250 g,S/ 4,tottus,VERDURA PICADA,2024-12-04 13:41:09.765627,250.0,g,Fideo Pastinas de Verduras Montanara,4.0,tottus,LA MONTANARA,VERDURA PICADA
Pepino Holandés Cuisine & Co 300g,S/ 4.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,300.0,g,Pepino Holandés Cuisine & Co,4.0,metro,,VERDURA PICADA
Pepino Holandés Cuisine & Co 300g,S/ 4.00,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,300.0,g,Pepino Holandés Cuisine & Co,4.0,wong,,VERDURA PICADA
Tomate Cherry Bandeja 280 g,S/ 4.10,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,280.0,g,Tomate Cherry Bandeja,4.1,metro,,VERDURA PICADA
Apio en Bastones Ecologic 200g,S/ 4.20,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,200.0,g,Apio en Bastones Ecologic,4.2,wong,,VERDURA PICADA
Berenjena de Invernadero La Huerta Wong x unid,S/ 4.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,1.0,un,Berenjena de Invernadero La Huerta Wong,4.5,wong,,VERDURA PICADA
Pimienta Roja Picada 14.2 g,S/ 4.55,tottus,VERDURA PICADA,2024-12-04 13:41:09.765627,14.2,g,Pimienta Roja Picada,4.55,tottus,BADIA,VERDURA PICADA
Pepinillo Holandés Frescas x un,S/ 4.70,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,1.0,un,Pepinillo Holandés Frescas,4.7,wong,,VERDURA PICADA
Pepinillo Holandés Frescas x un,S/ 4.70,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,1.0,un,Pepinillo Holandés Frescas,4.7,metro,,VERDURA PICADA
Lechuga Romana Viva 300g,S/ 4.80,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,300.0,g,Lechuga Romana Viva,4.8,wong,,VERDURA PICADA
