description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Orégano BELL'S Entero Sobre 8Gr,S/ 1.10 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,8.0,g,1.1,plaza_vea,Sobre 8g,,YOGUR DE LECHE ENTERA
Poro Entero un,S/ 1.29 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,1.0,un,1.29,plaza_vea,Paquete 1un,,YOGUR DE LECHE ENTERA
Yogurt Batishake Gloria Vainilla Vaso 120 g,S/ 1.60,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,1.6,metro,,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Batti Shake Fresa Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,120.0,g,1.6,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Batti Shake Vainilla Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,120.0,g,1.6,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt Battishake Gloria Fresa Vaso 120 g,S/ 1.60,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,1.6,metro,,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Frutado Fresa Vaso 120g,S/ 1.70 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,120.0,g,1.7,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt Frutado Gloria Durazno Vaso 120 g,S/ 1.70,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,1.7,metro,,,YOGUR DE LECHE ENTERA
Yogurt Frutado Gloria Fresa Vaso 120 g,S/ 1.70,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,1.7,metro,,,YOGUR DE LECHE ENTERA
Choclo Entero un,S/ 1.89 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,1.0,un,1.89,plaza_vea,Paquete 1un,,YOGUR DE LECHE ENTERA
Yogurt Bebible Gloria Durazno Botella 180 g,S/ 2.00,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,180.0,g,2.0,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego con Miel 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Maracuyá 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Mango 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,S/ 2.20 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,120.0,g,2.2,plaza_vea,Vaso 120g,,YOGUR DE LECHE ENTERA
Yogurt Gloria Griego Sabor Frutos Rojos 120g,S/ 2.20,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,2.2,metro,,,YOGUR DE LECHE ENTERA
Yogurt Batido con Trozos de Arándano Laive Griego 120g,S/ 2.50,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,120.0,g,2.5,metro,,,YOGUR DE LECHE ENTERA
Bebida de Leche Chocolatada LA PREFERIDA Bolsa...,S/ 2.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,800.0,ml,2.9,plaza_vea,Bolsa 800ml,,YOGUR DE LECHE ENTERA
Yogurt Gloria Batti Mix Mini Cookies 138g,S/ 2.99,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,138.0,g,2.99,metro,,,YOGUR DE LECHE ENTERA
Yogurt Battimix Gloria Vainilla C/Hojuelas Azucaradas Vaso 125 g,S/ 2.99,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,1.0,g,2.99,metro,,,YOGUR DE LECHE ENTERA
Yogurt Gloria Battimix Vainilla 146g,S/ 2.99,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,146.0,g,2.99,metro,,,YOGUR DE LECHE ENTERA
Yogurt Batido Sabor Fresa con Bolitas de Chocolate Gloria Batti Mix 146g,S/ 2.99,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,146.0,g,2.99,metro,,,YOGUR DE LECHE ENTERA
Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,S/ 3.10 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,146.0,g,3.1,plaza_vea,Vaso 146g,,YOGUR DE LECHE ENTERA
Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,S/ 3.10 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,146.0,g,3.1,plaza_vea,Vaso 146g,,YOGUR DE LECHE ENTERA
Leche Parcialmente Descremada LAIVE Deli Avena Botella 250ml,S/ 3.10,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,250.0,ml,3.1,vivanda,,LAIVE,YOGUR DE LECHE ENTERA
Leche LAIVE Bolsitarro Bolsa 390g,S/ 3.40 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,390.0,g,3.4,plaza_vea,Bolsa 390g,,YOGUR DE LECHE ENTERA
Canela Entera SIBARITA Sobre 10g,S/ 3.59 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,10.0,g,3.59,plaza_vea,Sobre 10g,,YOGUR DE LECHE ENTERA
Leche DANLAC Pasteurizada Chocolate Botella 250ml,S/ 3.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,250.0,ml,3.6,vivanda,,DANLAC,YOGUR DE LECHE ENTERA
Yogur Battimix GLORIA Vainilla con Hojuelas Vaso 144g,S/ 3.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,1.0,g,3.6,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche Concentrada Laive Bolsa 390g,S/ 3.70,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,390.0,g,3.7,metro,,,YOGUR DE LECHE ENTERA
Leche Condensada NESTLÉ Lata 100g,S/ 3.80,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,100.0,g,3.8,vivanda,,NESTLE,YOGUR DE LECHE ENTERA
Leche sin Lactosa LAIVE Pacti Tarro Botella 390g,S/ 3.80,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,390.0,g,3.8,vivanda,,LAIVE,YOGUR DE LECHE ENTERA
Leche Entera UHT Laive 900ml,S/ 3.90,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,900.0,ml,3.9,metro,,,YOGUR DE LECHE ENTERA
Leche UHT VIGOR Bolsa 800ml,S/ 3.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,800.0,ml,3.9,plaza_vea,Bolsa 800ml,,YOGUR DE LECHE ENTERA
Leche Light VIGOR Bolsa 800ml,S/ 3.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,800.0,ml,3.9,plaza_vea,Bolsa 800ml,,YOGUR DE LECHE ENTERA
Leche UHT LAIVE Entera Bolsa 900ml,S/ 3.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,900.0,ml,3.9,plaza_vea,Bolsa 900ml,,YOGUR DE LECHE ENTERA
Leche Light VIGOR Bolsa 800ml,S/ 4.00,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,800.0,ml,4.0,vivanda,,VIGOR,YOGUR DE LECHE ENTERA
Leche Descremada VIGOR UHT Bolsa 800ml,S/ 4.00,vega,YOGUR DE LECHE ENTERA,2024-12-04 13:43:53.462868,800.0,ml,4.0,vega,,Vigor,YOGUR DE LECHE ENTERA
Canela Entera BELL'S Sobre 12g,S/ 4.09 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,12.0,g,4.09,plaza_vea,Sobre 12g,,YOGUR DE LECHE ENTERA
Leche Evaporada Entera Cuisine & Co Lata 410g,S/ 4.10,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,410.0,g,4.1,metro,,,YOGUR DE LECHE ENTERA
Leche UHT VIGOR Bolsa 800ml,S/ 4.20,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,800.0,ml,4.2,vivanda,,VIGOR,YOGUR DE LECHE ENTERA
Leche Reconstituida Entera GLORIA Lata 390g,S/ 4.20 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,390.0,g,4.2,plaza_vea,Lata 390g,,YOGUR DE LECHE ENTERA
Leche Reconstituida Entera GLORIA Lata 390g,S/ 4.20,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,390.0,g,4.2,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche Evaporada BELL'S Entera Lata 410g,S/ 4.20,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,410.0,g,4.2,vivanda,,BELL'S,YOGUR DE LECHE ENTERA
Leche Reconstituida Gloria Lata 390g,S/ 4.20,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,390.0,g,4.2,metro,,,YOGUR DE LECHE ENTERA
Leche Concentrada Laive Botella 390g,S/ 4.30,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,390.0,g,4.3,metro,,,YOGUR DE LECHE ENTERA
Leche sin Lactosa LAIVE Botella 390g,S/ 4.40 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,390.0,g,4.4,plaza_vea,Botella 390g,,YOGUR DE LECHE ENTERA
Leche GLORIA Niños Lata 390g,S/ 4.40,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,390.0,g,4.4,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.40,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,390.0,g,4.4,metro,,,YOGUR DE LECHE ENTERA
Leche Uht Vigor Bolsa 800ml,S/ 4.40,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,800.0,ml,4.4,metro,,,YOGUR DE LECHE ENTERA
Leche Reconstituida Gloria Light Lata 390g,S/ 4.40,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,390.0,g,4.4,metro,,,YOGUR DE LECHE ENTERA
Leche GLORIA Zero Lacto Lata 390g,S/ 4.40,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,390.0,g,4.4,vivanda,,ZERO LACTO,YOGUR DE LECHE ENTERA
Leche UHT Vigor Light Bolsa 800ml,S/ 4.60,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,800.0,ml,4.6,metro,,,YOGUR DE LECHE ENTERA
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,900.0,ml,4.6,vivanda,,LAIVE,YOGUR DE LECHE ENTERA
Leche GLORIA UHT Light Bolsa 900ml,S/ 4.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,900.0,ml,4.6,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,900.0,ml,4.6,plaza_vea,Bolsa 900ml,,YOGUR DE LECHE ENTERA
Leche Condensada BELL'S Lata 390g,S/ 4.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,390.0,g,4.6,vivanda,,BELL'S,YOGUR DE LECHE ENTERA
Leche Condensada BELL'S Lata 390g,S/ 4.60 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,390.0,g,4.6,plaza_vea,Lata 390g,,YOGUR DE LECHE ENTERA
Leche Asada Personal LA FLORENCIA Envase 1un,S/ 4.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,1.0,un,4.6,vivanda,,LA FLORENCIA,YOGUR DE LECHE ENTERA
Leche sin Lactosa LAIVE Light Botella 390g,S/ 4.70 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,390.0,g,4.7,plaza_vea,Botella 390g,,YOGUR DE LECHE ENTERA
Lentejas BELL'S Bolsa 500g,S/ 4.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,500.0,g,4.9,plaza_vea,Bolsa 500g,,YOGUR DE LECHE ENTERA
Leche UHT sin Lactosa GLORIA Zero Bolsa 900ml,S/ 4.90,vivanda,YOGUR DE LECHE ENTERA,2024-12-04 17:37:56.020389,900.0,ml,4.9,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche Entera UHT Gloria Bolsa 900ml,S/ 4.90,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,900.0,ml,4.9,metro,,,YOGUR DE LECHE ENTERA
Leche Semidescremada UHT Laive Light 900ml,S/ 4.99,metro,YOGUR DE LECHE ENTERA,2024-12-04 21:19:21.675902,900.0,ml,4.99,metro,,,YOGUR DE LECHE ENTERA
Champiñon Entero BELL'S Bandeja 200g,S/ 4.99 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-04 13:40:43.797551,200.0,g,4.99,plaza_vea,Bandeja 200g,,YOGUR DE LECHE ENTERA
