description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Caigua x unidad,S/ 0.99 un,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,1.0,un,0.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Tratamiento Para el Cabello NUTRIBELA Células Madre Sachet 27ml,S/ 1.50,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,27.0,ml,1.5,vega,,NUTRIBELA,ZAPALLO MACRE
Zapallo Macre x kg,S/ 1.99 x kg,metro,ZAPALLO MACRE,2024-12-04 21:42:11.440262,1.0,kg,1.99,metro,,,ZAPALLO MACRE
Zapallo Macre,S/ 1.99 x kg,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,1.5,kg,1.99,plaza_vea,Presentación 1.5 kg aprox.,,ZAPALLO MACRE
Zapallo Italiano x unidad,S/ 1.99 un,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,1.0,un,1.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Berenjena un,S/ 2.99 un,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,1.0,un,2.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Caigua Chilena x un,S/ 2.99 un,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,1.0,un,2.99,plaza_vea,Paquete 1un,,ZAPALLO MACRE
Zapallo Macre x kg,S/ 3.20 x kg,wong,ZAPALLO MACRE,2024-12-04 19:45:38.623407,1.0,kg,3.2,wong,,,ZAPALLO MACRE
Crema para Peinar SEDAL Células Madre Frasco 300ml,S/ 13.20,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,300.0,ml,13.2,vega,,Sedal,ZAPALLO MACRE
Shampoo SEDAL Células Madre Frasco 340ml,S/ 13.50,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,340.0,ml,13.5,vega,,Sedal,ZAPALLO MACRE
Desodorante en Aerosol AXE Body Apollo Frasco 150 ml,S/ 13.50,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,150.0,ml,13.5,vega,,Axe,ZAPALLO MACRE
Acondicionador SEDAL Células Madre Frasco 340ml,S/ 13.50,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,340.0,ml,13.5,vega,,Sedal,ZAPALLO MACRE
Zapallo Loche,S/ 18.99 x kg,plaza_vea,ZAPALLO MACRE,2024-12-04 14:04:20.479668,0.4,kg,18.99,plaza_vea,Presentación 0.4 kg aprox.,,ZAPALLO MACRE
Shampoo SEDAL Células Madre Frasco 650ml,S/ 22.50,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,650.0,ml,22.5,vega,,Sedal,ZAPALLO MACRE
Shampoo SEDAL Células Madre Frasco 340ml x 2u,S/ 27.00,vega,ZAPALLO MACRE,2024-12-04 14:10:22.998742,340.0,ml,27.0,vega,,Sedal,ZAPALLO MACRE
