description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Aceite de Soya VEGA Botella 500ml,Vega,500.0,ml,4.3,vega,2024-12-05 12:28:47.117979,ACEITE VEGETAL ENVASADO,1.0,l,8.6
Aceite Vegetal Del Cielo Botella x 900 mL,,900.0,ml,5.8,tottus,2024-12-05 11:52:34.523088,ACEITE VEGETAL ENVASADO,1.0,l,6.444444444444445
Aceite VEGA de Soya Botella 900ml,Vega,900.0,ml,5.8,vega,2024-12-05 12:28:47.117979,ACEITE VEGETAL ENVASADO,1.0,l,6.444444444444445
Aceite Vegetal Máxima 900ml,,900.0,ml,5.8,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,6.444444444444445
Aceite Vegetal Máxima 900ml,,900.0,ml,5.8,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,6.444444444444445
Aceite Vegetal Metro 900ml,,900.0,ml,5.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,6.555555555555556
Aceite Vegetal Metro 900ml,,900.0,ml,5.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,6.555555555555556
Aceite de Soya SOYA Botella 900ml,SOYA,900.0,ml,6.1,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,6.777777777777778
Aceite de Soya Sao Botella 900ml,,900.0,ml,6.6,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,7.333333333333333
Aceite Vegetal Premium 900mL,DELEITE,900.0,ml,6.8,tottus,2024-12-05 11:52:34.523088,ACEITE VEGETAL ENVASADO,1.0,l,7.555555555555555
Aceite 100% Vegetal Premium 900mL,ALPA,900.0,ml,7.6,tottus,2024-12-05 11:52:34.523088,ACEITE VEGETAL ENVASADO,1.0,l,8.444444444444445
Aceite de Girasol Cuisine & Co 900ml,,900.0,ml,7.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,8.777777777777779
Aceite de Girasol Cuisine & Co 900ml,,900.0,ml,7.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,8.777777777777779
Aceite de Girasol Mucho Gussto 900ml,,900.0,ml,7.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,8.777777777777779
Aceite Vegetal Cuisine & Co 900ml,,900.0,ml,8.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,9.88888888888889
Aceite de Soya Costeño 900ml,,900.0,ml,9.0,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,10.0
Aceite Vegetal PRIMOR Clásico Botella 900ml,PRIMOR,900.0,ml,9.5,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,10.555555555555555
Aceite vegetal de 900 mL,PRIMOR,900.0,ml,9.5,tottus,2024-12-05 11:52:34.523088,ACEITE VEGETAL ENVASADO,1.0,l,10.555555555555555
Aceite Vegetal PRIMOR Premium Botella 900L,Primor,900.0,l,9.5,vega,2024-12-05 12:28:47.117979,ACEITE VEGETAL ENVASADO,1.0,l,0.010555555555555556
Aceite Vegetal Primor Clásico Botella 900ml,,900.0,ml,9.6,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,10.666666666666666
Aceite Vegetal Primor Clásico Botella 900ml,,900.0,ml,9.8,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,10.88888888888889
Aceite vegetal Premium de 900 mL,PRIMOR,900.0,ml,10.5,tottus,2024-12-05 11:52:34.523088,ACEITE VEGETAL ENVASADO,1.0,l,11.666666666666668
Aceite Vegetal PRIMOR Premium Botella 900ml,PRIMOR,900.0,ml,10.5,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,11.666666666666668
Aceite Vegetal Primor Premium Botella 900ml,,900.0,ml,10.6,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,11.777777777777779
Aceite de Ajonjolí Tostado Q'inti Botella 100 ml,,100.0,ml,11.1,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,111.0
Aceite de Canola Cuisine & Co Botella 1 lt,,1.0,l,11.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,11.9
Aceite Ajonjoli Olivos Del Sur 100 ml,,100.0,ml,12.4,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,124.0
Aceite de Girasol BASSO Botella 1L,BASSO,1.0,l,12.9,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,12.9
Aceite de Ajonjolí Bárcidda 270ml,,270.0,ml,12.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,47.77777777777777
Aceite de Girasol Cuisine & Co 900ml,,900.0,ml,12.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,14.333333333333334
Aceite de Ajonjolí Bárcidda 270ml,,270.0,ml,13.1,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,48.51851851851851
Aceite de Maíz BASSO Botella 1L,BASSO,1.0,l,14.5,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,14.5
Aceite De Girasol Borges Botella 1 L,,1.0,l,14.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,14.5
Aceite de Ajonjolí Olivos del Sur 200ml,,200.0,ml,14.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,72.5
Aceite de Oliva BELL'S Puro Botella 200ml,BELL'S,200.0,ml,15.9,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,79.5
Agua Micelar en Aceite Garnier Skin Active 100ml,,100.0,ml,16.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,165.0
Aceite De Canola Borges Botella 1 Litro,,1.0,l,16.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,16.5
Aceite Vegetal Primor Clásico Botella 1.8L,,1.8,l,16.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,9.166666666666668
Twopack Aceite Vegetal Primor Clásico 900ml,,900.0,ml,16.7,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,18.555555555555557
Aceite de ManÍ BASSO Botella 1L,BASSO,1.0,l,16.9,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,16.9
Aceite De Canola Borges Botella 1 Litro,,1.0,l,16.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,16.9
Aceite de Oliva El Olivar Extra Virgen Botella 200 ml,,200.0,ml,17.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,89.5
Aceite Vegetal PRIMOR Clásico Botella 900L x2u,Primor,900.0,l,18.2,vega,2024-12-05 12:28:47.117979,ACEITE VEGETAL ENVASADO,1.0,l,0.02022222222222222
Twopack Aceite Vegetal Primor Premium 900ml,,900.0,ml,18.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,20.555555555555557
Aceite de Oliva Cuisine & Co 250ml,,250.0,ml,18.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,75.6
Aceite Oliva Cuisine & Co 250ml,,250.0,ml,18.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,75.6
Aceite para Bebés Dr Zaidman 200ml,,200.0,ml,19.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,97.5
Aceite de Oliva HUERTO ALAMEIN Extra Virgen Botella 200ml,HUERTO ALAMEIN,200.0,ml,19.5,vivanda,2024-12-05 21:57:06.369987,ACEITE VEGETAL ENVASADO,1.0,l,97.5
Aceite Oliva Cuisine & Co 250ml,,250.0,ml,19.8,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,79.2
Aceite de Oliva Cuisine & Co 250ml,,250.0,ml,19.8,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,79.2
Aceite de Oliva Borges Extra Virgen Botella 250 ml,,250.0,ml,19.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,79.6
Aceite de Oliva Sabor Suave Botella 200 ml,,200.0,ml,20.5,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,102.5
Aceite De Oliva Puro El Olivar Botella 200 ml,,200.0,ml,20.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,104.5
Aceite de Oliva Oli21 Extra Virgen 200ml,,200.0,ml,20.9,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,104.5
Aceite de Coco Olivos del Sur 200ml,,200.0,ml,20.99,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,104.94999999999999
Aceite de Oliva TIMONEL Extra Virgen Botella 200ml,Timonel,200.0,ml,21.2,vega,2024-12-05 12:28:47.117979,ACEITE VEGETAL ENVASADO,1.0,l,106.0
Aceite para Bebés Dr Zaidman 200ml,,200.0,ml,21.2,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,106.0
Aceite De Arroz Costeño Botella 900 ml,,900.0,ml,21.7,metro,2024-12-05 15:51:25.925663,ACEITE VEGETAL ENVASADO,1.0,l,24.11111111111111
Aceite de Oliva Extra Virgen Carbonell Botella 250 ml,,250.0,ml,21.9,wong,2024-12-05 18:25:04.371161,ACEITE VEGETAL ENVASADO,1.0,l,87.6
