description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Laurel KARIÑO Sobre 1g,S/ 0.60,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,1.0,g,Laurel KARIÑO Sobre,0.6,vega,,Kariño,ADEREZOS HIDRATADOS
Paprika Molido KARIÑO Sobre 5g,S/ 0.70,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Paprika Molido KARIÑO Sobre,0.7,vega,,Kariño,ADEREZOS HIDRATADOS
Anís KARIÑO Sobre 5g,S/ 0.70,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Anís KARIÑO Sobre,0.7,vega,,Kariño,ADEREZOS HIDRATADOS
Orégano Entero KARIÑO Sobre 4g,S/ 0.70,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,4.0,g,Orégano Entero KARIÑO Sobre,0.7,vega,,Kariño,ADEREZOS HIDRATADOS
Comino Molido KARIÑO Sobre 5g,S/ 0.70,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Comino Molido KARIÑO Sobre,0.7,vega,,Kariño,ADEREZOS HIDRATADOS
Pimienta Negra Molida KARIÑO Sobre 5g,S/ 0.70,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Pimienta Negra Molida KARIÑO Sobre,0.7,vega,,Kariño,ADEREZOS HIDRATADOS
Canela Molida KARIÑO Sobre 4g,S/ 0.80,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,4.0,g,Canela Molida KARIÑO Sobre,0.8,vega,,Kariño,ADEREZOS HIDRATADOS
Palillo VEGA Molido Sobre 30g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,30.0,g,Palillo VEGA Molido Sobre,0.9,vega,,Vega,ADEREZOS HIDRATADOS
Tuco VEGA Sobre 18g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,18.0,g,Tuco VEGA Sobre,0.9,vega,,Vega,ADEREZOS HIDRATADOS
Orégano VEGA Entero Sobre 7g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,7.0,g,Orégano VEGA Entero Sobre,0.9,vega,,Vega,ADEREZOS HIDRATADOS
Orégano Vega Molido Sobre 11g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,11.0,g,Orégano Vega Molido Sobre,0.9,vega,,Vega,ADEREZOS HIDRATADOS
Hongos con Laurel KARIÑO Sobre 5g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Hongos con Laurel KARIÑO Sobre,0.9,vega,,Kariño,ADEREZOS HIDRATADOS
Hongos Secos KARIÑO Sobre 5g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,5.0,g,Hongos Secos KARIÑO Sobre,0.9,vega,,Kariño,ADEREZOS HIDRATADOS
Canela Entera KARIÑO Sobre 3g,S/ 0.90,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,3.0,g,Canela Entera KARIÑO Sobre,0.9,vega,,Kariño,ADEREZOS HIDRATADOS
Salsa de Tomate BELL'S para Aderezo Doypack 16...,S/ 1.30 un,plaza_vea,ADEREZOS HIDRATADOS,2024-12-05 15:56:00.298516,160.0,g,Salsa de Tomate BELL'S para Aderezo Doypack 16,1.3,plaza_vea,Doypack 160g,,ADEREZOS HIDRATADOS
Hongos y Laurel 10 g,S/ 2,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,10.0,g,Hongos y Laurel,2.0,tottus,,TOTTUS,ADEREZOS HIDRATADOS
Canela Entera 5 g,S/ 2.10,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,5.0,g,Canela Entera,2.1,tottus,,TOTTUS,ADEREZOS HIDRATADOS
Orégano Pack 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,6.0,un,Orégano Pack ades,2.2,tottus,,SIBARITA,ADEREZOS HIDRATADOS
Caldo de Gallina Doña Gusta 6 Unidades,S/ 2.20,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,6.0,un,Caldo de Gallina Doña Gusta ades,2.2,tottus,,AJINOMOTO,ADEREZOS HIDRATADOS
Aderezo para Pavo PIKI Doypack 100g,S/ 2.40 un,plaza_vea,ADEREZOS HIDRATADOS,2024-12-05 15:56:00.298516,100.0,g,Aderezo para Pavo PIKI Doypack,2.4,plaza_vea,Doypack 100g,,ADEREZOS HIDRATADOS
Aderezo para Carne de Cerdo PIKI Bolsa 100g,S/ 2.40 un,plaza_vea,ADEREZOS HIDRATADOS,2024-12-05 15:56:00.298516,100.0,g,Aderezo para Carne de Cerdo PIKI Bolsa,2.4,plaza_vea,Bolsa 100g,,ADEREZOS HIDRATADOS
Aderezo para Pollo PIKI Doypack 100g,S/ 2.40 un,plaza_vea,ADEREZOS HIDRATADOS,2024-12-05 15:56:00.298516,100.0,g,Aderezo para Pollo PIKI Doypack,2.4,plaza_vea,Doypack 100g,,ADEREZOS HIDRATADOS
Sal de mar de mesa Emsal de 1 kg,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,1.0,kg,Sal de mar de mesa Emsal de,2.5,tottus,,MARINA,ADEREZOS HIDRATADOS
Pimienta Negra Molida 20 g,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,20.0,g,Pimienta Negra Molida,2.5,tottus,,TOTTUS,ADEREZOS HIDRATADOS
Sal de mar para cocina de 1 kg,S/ 2.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,1.0,kg,Sal de mar para cocina de,2.5,tottus,,MARINA,ADEREZOS HIDRATADOS
Sazonador 6 unidades,S/ 2.60,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,6.0,un,Sazonador ades,2.6,tottus,,SIBARITA,ADEREZOS HIDRATADOS
Maicena 100g,S/ 2.60,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,100.0,g,Maicena,2.6,tottus,,UNIVERSAL,ADEREZOS HIDRATADOS
Gallo Sobre Aéreo Carta Pack 25 unid,S/ 2.89,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,25.0,un,Gallo Sobre Aéreo Carta Pack,2.89,metro,,,ADEREZOS HIDRATADOS
Sazonador Bolsa 100 g,S/ 2.90,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,100.0,g,Sazonador Bolsa,2.9,tottus,,AJINOMOTO,ADEREZOS HIDRATADOS
Gallo Sobre Aéreo Esquela Pack 25 unid,S/ 2.99,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,25.0,un,Gallo Sobre Aéreo Esquela Pack,2.99,metro,,,ADEREZOS HIDRATADOS
Gallo Sobre Aéreo Oficio Pack 25 unid,S/ 2.99,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,25.0,un,Gallo Sobre Aéreo Oficio Pack,2.99,metro,,,ADEREZOS HIDRATADOS
Mezcla lista para empanizar picante Ajinomoto 80 g,S/ 3,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,80.0,g,Mezcla lista para empanizar picante Ajinomoto,3.0,tottus,,AJINOMIX,ADEREZOS HIDRATADOS
Aderezo para Pollo 350 g,S/ 3.10,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,350.0,g,Aderezo para Pollo,3.1,tottus,,PIKI,ADEREZOS HIDRATADOS
Ají Molido PIKI Doypack 120g,S/ 3.20,vega,ADEREZOS HIDRATADOS,2024-12-05 13:18:24.535418,120.0,g,Ají Molido PIKI Doypack,3.2,vega,,Piki,ADEREZOS HIDRATADOS
Orégano Entero Kariño 18 g,S/ 3.30,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,18.0,g,Orégano Entero Kariño,3.3,tottus,,,ADEREZOS HIDRATADOS
SOPA INSTANTANEA VASO SABOR GALLINA PICANTE X 51G,S/ 3.40,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,51.0,g,SOPA INSTANTANEA VASO SABOR GALLINA PICANTE X,3.4,tottus,,AJINOMOTO,ADEREZOS HIDRATADOS
Aderezo para Adobo 100 g,S/ 3.40,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,100.0,g,Aderezo para Adobo,3.4,tottus,,2 BANDERAS,ADEREZOS HIDRATADOS
Aderezo Criollo Bbq 90 g,S/ 3.45,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,90.0,g,Aderezo Criollo Bbq,3.45,tottus,,2 BANDERAS,ADEREZOS HIDRATADOS
Aderezo Criollo 2 BANDERAS Bolsa 90g,S/ 3.49,vivanda,ADEREZOS HIDRATADOS,2024-12-05 22:28:32.291902,90.0,g,Aderezo Criollo 2 BANDERAS Bolsa,3.49,vivanda,,2BANDERAS,ADEREZOS HIDRATADOS
Aderezo Criollo 2 BANDERAS Bolsa 90g,S/ 3.49 un,plaza_vea,ADEREZOS HIDRATADOS,2024-12-05 15:56:00.298516,90.0,g,Aderezo Criollo 2 BANDERAS Bolsa,3.49,plaza_vea,Bolsa 90g,,ADEREZOS HIDRATADOS
Mezcla de Aderezo Maggie Pollo a la Brasa 45g,S/ 3.50,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,45.0,g,Mezcla de Aderezo Maggie Pollo a la Brasa,3.5,metro,,,ADEREZOS HIDRATADOS
Mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/ 3.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,45.0,g,Mezcla de aderezo en polvo para pollo a la brasa de,3.5,tottus,,MAGGI,ADEREZOS HIDRATADOS
Aderezo para Res Piki 100g,S/ 3.59,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,100.0,g,Aderezo para Res Piki,3.59,metro,,,ADEREZOS HIDRATADOS
Sazonador Panquita Pack 3 Unidades,S/ 3.60,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,3.0,un,Sazonador Panquita Pack ades,3.6,tottus,,SIBARITA,ADEREZOS HIDRATADOS
Canela Entera 10 g,S/ 3.70,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,10.0,g,Canela Entera,3.7,tottus,,SIBARITA,ADEREZOS HIDRATADOS
Aderezo tipo Oriental 2 BANDERAS con Soya y Especias Bolsa 85g,S/ 3.80,vivanda,ADEREZOS HIDRATADOS,2024-12-05 22:28:32.291902,85.0,g,Aderezo tipo Oriental 2 BANDERAS con Soya y Especias Bolsa,3.8,vivanda,,ANTONIO BANDERAS,ADEREZOS HIDRATADOS
Aderezo Oriental 85 g,S/ 3.80,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,85.0,g,Aderezo Oriental,3.8,tottus,,2 BANDERAS,ADEREZOS HIDRATADOS
VINAGRE BLANCO X 1 L,S/ 3.90,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,1.0,l,VINAGRE BLANCO X,3.9,tottus,,TOTTUS,ADEREZOS HIDRATADOS
Aderezo Especial Sabor Criollo Sobre 90 g,S/ 4.10,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,90.0,g,Aderezo Especial Sabor Criollo Sobre,4.1,metro,,,ADEREZOS HIDRATADOS
Pimienta 100% Pura 21.6 g,S/ 4.10,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,21.6,g,Pimienta 100% Pura,4.1,tottus,,SIBARITA,ADEREZOS HIDRATADOS
Canela Entera Kariño 9 g,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,9.0,g,Canela Entera Kariño,4.2,tottus,,,ADEREZOS HIDRATADOS
Salsa De Soya Siyau Frasco x 500 mL,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,500.0,ml,Salsa De Soya Siyau Frasco x,4.2,tottus,,KIKKO,ADEREZOS HIDRATADOS
Clavo de Olor Entero Kariño 8 g,S/ 4.20,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,8.0,g,Clavo de Olor Entero Kariño,4.2,tottus,,,ADEREZOS HIDRATADOS
Aderezo Cantones Sabor Oriental Perú Pride Sobre 85 g,S/ 4.30,metro,ADEREZOS HIDRATADOS,2024-12-05 16:38:59.191077,85.0,g,Aderezo Cantones Sabor Oriental Perú Pride Sobre,4.3,metro,,,ADEREZOS HIDRATADOS
Aderezo Cantones Sabor Oriental Perú Pride Sobre 85 g,S/ 4.30,wong,ADEREZOS HIDRATADOS,2024-12-05 19:16:14.007644,85.0,g,Aderezo Cantones Sabor Oriental Perú Pride Sobre,4.3,wong,,,ADEREZOS HIDRATADOS
Arveja Partida Costeño 500 g,S/ 4.40,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,500.0,g,Arveja Partida Costeño,4.4,tottus,,COSTENO,ADEREZOS HIDRATADOS
Cubo de Sabor Gallina 8 unidades,S/ 4.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,8.0,un,Cubo de Sabor Gallina ades,4.5,tottus,,MAGGI,ADEREZOS HIDRATADOS
Cubo de Sabor a Carne 8 unidades,S/ 4.50,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,8.0,un,Cubo de Sabor a Carne ades,4.5,tottus,,MAGGI,ADEREZOS HIDRATADOS
Aderezo Especial 90 g,S/ 4.56,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,90.0,g,Aderezo Especial,4.56,tottus,,SAM WONG,ADEREZOS HIDRATADOS
Salsa De Soya Ajoikion Frasco x 350 mL,S/ 4.60,tottus,ADEREZOS HIDRATADOS,2024-12-05 12:38:14.109776,350.0,ml,Salsa De Soya Ajoikion Frasco x,4.6,tottus,,KIKKO,ADEREZOS HIDRATADOS
