description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Orégano Vega Molido Sobre 11g,S/ 0.90,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,11.0,g,Orégano Vega Molido Sobre,0.9,vega,Vega,AJÍ PANCA MOLIDO (ESPECIAL)
Palillo VEGA Molido Sobre 30g,S/ 0.90,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,30.0,g,Palillo VEGA Molido Sobre,0.9,vega,Vega,AJÍ PANCA MOLIDO (ESPECIAL)
Cebolla Blanca Metro x kg,S/ 1.19 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Cebolla Blanca Metro,1.19,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo Molido Sobre 50 g,S/ 1.30,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,50.0,g,Ajo Molido Sobre,1.3,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo Sobre 50 g,S/ 1.30,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,50.0,g,Ají Amarillo Sobre,1.3,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca BELL'S Molido Sobre 15g,S/ 1.59,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,15.0,g,Ají Panca BELL'S Molido Sobre,1.59,vivanda,BELL'S,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Cuisine & Co 10g,S/ 1.99,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,10.0,g,Ají Panca Cuisine & Co,1.99,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Cebolla Roja Metro x kg,S/ 1.99 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Cebolla Roja Metro,1.99,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Cuisine & Co 10g,S/ 1.99,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,10.0,g,Ají Panca Cuisine & Co,1.99,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Sazonador Ají Panca BELL'S Paquete 6un,S/ 2.09,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,6.0,un,Sazonador Ají Panca BELL'S Paquete,2.09,vivanda,BELL'S,AJÍ PANCA MOLIDO (ESPECIAL)
