description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Orégano Molido 21 g,S/ 0.60,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,21.0,g,Orégano Molido,0.6,metro,,,AJÍ ROCOTO MOLIDO
Cebolla Blanca Metro x kg,S/ 1.19 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,1.0,kg,Cebolla Blanca Metro,1.19,metro,,,AJÍ ROCOTO MOLIDO
Ají Amarillo Sobre 50 g,S/ 1.30,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,50.0,g,Ají Amarillo Sobre,1.3,metro,,,AJÍ ROCOTO MOLIDO
Ajo Molido Sobre 50 g,S/ 1.30,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,50.0,g,Ajo Molido Sobre,1.3,metro,,,AJÍ ROCOTO MOLIDO
Rocoto x un,S/ 1.39,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,1.0,un,Rocoto,1.39,vivanda,,VIVANDA,AJÍ ROCOTO MOLIDO
Ají Panca BELL'S Molido Sobre 15g,S/ 1.59,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,15.0,g,Ají Panca BELL'S Molido Sobre,1.59,vivanda,,BELL'S,AJÍ ROCOTO MOLIDO
Ají Amarillo BELL'S Molido Sobre 10g,S/ 1.59,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,10.0,g,Ají Amarillo BELL'S Molido Sobre,1.59,vivanda,,BELL'S,AJÍ ROCOTO MOLIDO
Ají Panca Cuisine & Co 10g,S/ 1.99,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,10.0,g,Ají Panca Cuisine & Co,1.99,wong,,,AJÍ ROCOTO MOLIDO
Cebolla Roja Metro x kg,S/ 1.99 x kg,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,1.0,kg,Cebolla Roja Metro,1.99,metro,,,AJÍ ROCOTO MOLIDO
Ají Panca Molido 20 g,S/ 2.10,tottus,AJÍ ROCOTO MOLIDO,2024-12-05 12:37:31.164338,20.0,g,Ají Panca Molido,2.1,tottus,,TOTTUS,AJÍ ROCOTO MOLIDO
Cebolla Blanca Agro Selecto 1kg,S/ 2.19,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,1.0,kg,Cebolla Blanca Agro Selecto,2.19,wong,,,AJÍ ROCOTO MOLIDO
"MOLIDO DOY PACK X 120 GRS PIKI, ROCOTO",S/ 2.20,tottus,AJÍ ROCOTO MOLIDO,2024-12-05 12:37:31.164338,120.0,g,"MOLIDO DOY PACK X RS PIKI, ROCOTO",2.2,tottus,,PIKI,AJÍ ROCOTO MOLIDO
Orégano SIBARITA Molido Paquete 6un,S/ 2.20 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,6.0,un,Orégano SIBARITA Molido Paquete,2.2,plaza_vea,Paquete 6un,,AJÍ ROCOTO MOLIDO
Ají Amarillo Molido RICASA Doypack 100g,S/ 2.20 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,100.0,g,Ají Amarillo Molido RICASA Doypack,2.2,plaza_vea,Doypack 100g,,AJÍ ROCOTO MOLIDO
Cebolla Roja Agro Selecto 1Kg,S/ 2.38,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,1.0,kg,Cebolla Roja Agro Selecto,2.38,wong,,,AJÍ ROCOTO MOLIDO
Cebolla Roja Agro Selecto 1Kg,S/ 2.38,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,1.0,kg,Cebolla Roja Agro Selecto,2.38,metro,,,AJÍ ROCOTO MOLIDO
Ají especial SIBARITA Sin picante Bolsa 100Gr,S/ 2.40 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,100.0,g,Ají especial SIBARITA Sin picante Bolsa r,2.4,plaza_vea,Bolsa 100g,,AJÍ ROCOTO MOLIDO
Cebolla Blanca Agro Selecto 1kg,S/ 2.50,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,1.0,kg,Cebolla Blanca Agro Selecto,2.5,metro,,,AJÍ ROCOTO MOLIDO
Pimienta BELL'S Negra molida Sobre 18Gr,S/ 2.50 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,18.0,g,Pimienta BELL'S Negra molida Sobre r,2.5,plaza_vea,Sobre 18g,,AJÍ ROCOTO MOLIDO
Sillao Aji-No-Sillao Botella 150 ml,S/ 2.50,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,150.0,ml,Sillao Aji-No-Sillao Botella,2.5,metro,,,AJÍ ROCOTO MOLIDO
Camote Morado,S/ 2.69 x kg,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,1.0,kg,Camote Morado,2.69,plaza_vea,Presentación 1 kg aprox.,,AJÍ ROCOTO MOLIDO
MOLIDO DOY PACK X 120 GR AJI PAN,S/ 2.80,tottus,AJÍ ROCOTO MOLIDO,2024-12-05 12:37:31.164338,120.0,g,MOLIDO DOY PACK X R AJI PAN,2.8,tottus,,PIKI,AJÍ ROCOTO MOLIDO
MOLIDO DOY PACK X 120 GR AJI AMAR,S/ 2.80,tottus,AJÍ ROCOTO MOLIDO,2024-12-05 12:37:31.164338,120.0,g,MOLIDO DOY PACK X R AJI AMAR,2.8,tottus,,PIKI,AJÍ ROCOTO MOLIDO
Ají Pollero Adelmi 100g,S/ 2.80,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,100.0,g,Ají Pollero Adelmi,2.8,wong,,,AJÍ ROCOTO MOLIDO
Sazonador AJI-NO-MOTO Umami Glutamato de Sodio...,S/ 2.90 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,100.0,g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio,2.9,plaza_vea,Bolsa 100g,,AJÍ ROCOTO MOLIDO
Ají panca PIKI Molido Doypack 120Gr,S/ 2.90,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,120.0,g,Ají panca PIKI Molido Doypack r,2.9,vivanda,,PIKI,AJÍ ROCOTO MOLIDO
Ají panca PIKI Molido Doypack 120Gr,S/ 2.90 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,120.0,g,Ají panca PIKI Molido Doypack r,2.9,plaza_vea,Doypack 120g,,AJÍ ROCOTO MOLIDO
Rocoto Molido PIKI Doypack 120g,S/ 2.90,vega,AJÍ ROCOTO MOLIDO,2024-12-05 13:18:09.838227,120.0,g,Rocoto Molido PIKI Doypack,2.9,vega,,Piki,AJÍ ROCOTO MOLIDO
Ajo Molido PIKI Doypack 120g,S/ 2.90 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,120.0,g,Ajo Molido PIKI Doypack,2.9,plaza_vea,Doypack 120g,,AJÍ ROCOTO MOLIDO
Ajo Molido PIKI Doypack 120g,S/ 2.90,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,120.0,g,Ajo Molido PIKI Doypack,2.9,vivanda,,PIKI,AJÍ ROCOTO MOLIDO
Ají Pizza Cuisine & Co 15g,S/ 2.90,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,15.0,g,Ají Pizza Cuisine & Co,2.9,metro,,,AJÍ ROCOTO MOLIDO
Ají Pollero Adelmi 100g,S/ 2.90,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,100.0,g,Ají Pollero Adelmi,2.9,metro,,,AJÍ ROCOTO MOLIDO
Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96...,S/ 3 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,96.0,g,Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96,3.0,plaza_vea,Bolsa 96g,,AJÍ ROCOTO MOLIDO
Ají Mirasol Cuisine & Co 10g,S/ 3.10,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,10.0,g,Ají Mirasol Cuisine & Co,3.1,metro,,,AJÍ ROCOTO MOLIDO
Comino BELL'S Molido Sobre 18Gr,S/ 3.19 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,18.0,g,Comino BELL'S Molido Sobre r,3.19,plaza_vea,Sobre 18g,,AJÍ ROCOTO MOLIDO
Comino BELL'S Molido Sobre 18g,S/ 3.19,vivanda,AJÍ ROCOTO MOLIDO,2024-12-05 22:27:45.467294,18.0,g,Comino BELL'S Molido Sobre,3.19,vivanda,,BELL'S,AJÍ ROCOTO MOLIDO
Comino Molido Cuisine & Co 18g,S/ 3.20,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,18.0,g,Comino Molido Cuisine & Co,3.2,wong,,,AJÍ ROCOTO MOLIDO
Pimentón Molido TOÑA Paprika Sobre 18g,S/ 3.20 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,18.0,g,Pimentón Molido TOÑA Paprika Sobre,3.2,plaza_vea,Sobre 18g,,AJÍ ROCOTO MOLIDO
Ají Panquita Sibarita Natural Sobre 100 g,S/ 3.40,wong,AJÍ ROCOTO MOLIDO,2024-12-05 19:17:10.962362,100.0,g,Ají Panquita Sibarita Natural Sobre,3.4,wong,,,AJÍ ROCOTO MOLIDO
Ají Panca Molido Toña 18g,S/ 3.40,metro,AJÍ ROCOTO MOLIDO,2024-12-05 16:39:48.050269,18.0,g,Ají Panca Molido Toña,3.4,metro,,,AJÍ ROCOTO MOLIDO
Salsa de Ají SIBARITA Amarillin Paquete 100g,S/ 3.60 un,plaza_vea,AJÍ ROCOTO MOLIDO,2024-12-05 15:55:47.898436,100.0,g,Salsa de Ají SIBARITA Amarillin Paquete,3.6,plaza_vea,Paquete 100g,,AJÍ ROCOTO MOLIDO
