description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Polvo de Hornear BELL'S Bolsa 25g,S/ 1 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,25.0,g,Polvo de Hornear BELL'S Bolsa,1.0,plaza_vea,Bolsa 25g,,ALIMENTO LACTEO EN POLVO
Polvo de Hornear BELL'S Bolsa 25g,S/ 1.00,vivanda,ALIMENTO LACTEO EN POLVO,2024-12-05 21:53:25.745214,25.0,g,Polvo de Hornear BELL'S Bolsa,1.0,vivanda,,BELL'S,ALIMENTO LACTEO EN POLVO
Sopa Instántanea AJINOMEN Sabor a Pollo Bolsa ...,S/ 1.60 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,80.0,g,Sopa Instántanea AJINOMEN Sabor a Pollo Bolsa,1.6,plaza_vea,Bolsa 80g,,ALIMENTO LACTEO EN POLVO
Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja 42g,S/ 2.20,vivanda,ALIMENTO LACTEO EN POLVO,2024-12-05 21:53:25.745214,42.0,g,Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja,2.2,vivanda,,DOÑA GUSTA,ALIMENTO LACTEO EN POLVO
Caldo de Carne DOÑA GUSTA Concentrado en Polvo...,S/ 2.20 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo,2.2,plaza_vea,Caja 42g,,ALIMENTO LACTEO EN POLVO
Agua Mineral SAN MATEO Con Gas Botella 1.5L,S/ 2.20 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,1.5,l,Agua Mineral SAN MATEO Con Gas Botella,2.2,plaza_vea,Botella 1.5L,,ALIMENTO LACTEO EN POLVO
Caldo de Gallina DOÑA GUSTA Concentrado en Pol...,S/ 2.20 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,42.0,g,Caldo de Gallina DOÑA GUSTA Concentrado en Pol,2.2,plaza_vea,Caja 42g,,ALIMENTO LACTEO EN POLVO
Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso 100g,S/ 2.80,vivanda,ALIMENTO LACTEO EN POLVO,2024-12-05 21:53:25.745214,100.0,g,Alimento Lácteo LAIVE Yopi Mix Bolitas de Color Vaso,2.8,vivanda,,LAIVE,ALIMENTO LACTEO EN POLVO
Alimento para Gatos RICOCAT Adulto Trocitos Salmón Pouch 85gr,S/ 3.00,vega,ALIMENTO LACTEO EN POLVO,2024-12-05 12:21:57.585590,85.0,g,Alimento para Gatos RICOCAT Adulto Trocitos Salmón Pouch r,3.0,vega,,Ricocat,ALIMENTO LACTEO EN POLVO
Agua Mineral SAN MATEO sin Gas Botella 2.5L,S/ 3 un,plaza_vea,ALIMENTO LACTEO EN POLVO,2024-12-05 15:03:48.129681,2.5,l,Agua Mineral SAN MATEO sin Gas Botella,3.0,plaza_vea,Botella 2.5L,,ALIMENTO LACTEO EN POLVO
