description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Avena TIMONEL Precocida Instantánea Bolsa 100g,S/ 1.00,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,100.0,g,Avena TIMONEL Precocida Instantánea Bolsa,1.0,vega,Timonel,AVENA ENVASADA
Avena QUAKER Tradicional Bolsa 100gr,S/ 1.30,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,100.0,g,Avena QUAKER Tradicional Bolsa r,1.3,vega,Quaker,AVENA ENVASADA
Avena Clásica 3 OSITOS Bolsa 100g,S/ 1.50,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,100.0,g,Avena Clásica 3 OSITOS Bolsa,1.5,vivanda,3 OSITOS,AVENA ENVASADA
Avena SANTA CATALINA Maca y Avena Bolsa 150g,S/ 2.50,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,150.0,g,Avena SANTA CATALINA Maca y Avena Bolsa,2.5,vivanda,SANTA CATALINA,AVENA ENVASADA
Avena Precocida BELL'S Bolsa 170g,S/ 2.79,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,170.0,g,Avena Precocida BELL'S Bolsa,2.79,vivanda,BELL'S,AVENA ENVASADA
Avena GRANO DE ORO con Quinua en Bolsa 170gr,S/ 2.90,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,170.0,g,Avena GRANO DE ORO con Quinua en Bolsa r,2.9,vega,Grano De Oro,AVENA ENVASADA
Leche Parcialmente Descremada LAIVE Deli Avena Botella 250ml,S/ 3.10,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,250.0,ml,Leche Parcialmente Descremada LAIVE Deli Avena Botella,3.1,vivanda,LAIVE,AVENA ENVASADA
Avena Instantánea Regular BELL'S Bolsa 270g,S/ 3.20,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,270.0,g,Avena Instantánea Regular BELL'S Bolsa,3.2,vivanda,BELL'S,AVENA ENVASADA
Bebida con Avena y Canela Laive Deli Avena 250ml,S/ 3.20,wong,AVENA ENVASADA,2024-12-05 17:36:09.719595,250.0,ml,Bebida con Avena y Canela Laive Deli Avena,3.2,wong,,AVENA ENVASADA
Avena Natural SANTA CATALINA Bolsa 250g,S/ 3.30,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,250.0,g,Avena Natural SANTA CATALINA Bolsa,3.3,vivanda,SANTA CATALINA,AVENA ENVASADA
Avena Instantánea de Manzana y Canela BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,45.0,g,Avena Instantánea de Manzana y Canela BELL'S Vaso,3.5,vivanda,BELL'S,AVENA ENVASADA
Avena Instantánea de Chocolate BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,45.0,g,Avena Instantánea de Chocolate BELL'S Vaso,3.5,vivanda,BELL'S,AVENA ENVASADA
Avena Instantánea de Frutos Rojos BELL'S Vaso 45g,S/ 3.50,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,45.0,g,Avena Instantánea de Frutos Rojos BELL'S Vaso,3.5,vivanda,BELL'S,AVENA ENVASADA
Avena con Cereal Andino 3 Ositos Bolsa 270g,S/ 3.60,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,270.0,g,Avena con Cereal Andino 3 Ositos Bolsa,3.6,vega,3 Ositos,AVENA ENVASADA
Trigo con Miel Vita Plus Bolsa 140 gr,S/ 3.90,wong,AVENA ENVASADA,2024-12-05 17:36:09.719595,140.0,g,Trigo con Miel Vita Plus Bolsa r,3.9,wong,,AVENA ENVASADA
Avena GRANO DE ORO Bolsa 370gr,S/ 4.00,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,370.0,g,Avena GRANO DE ORO Bolsa r,4.0,vega,Grano De Oro,AVENA ENVASADA
Avena Precocida BELL'S Bolsa 380g,S/ 4.00,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,380.0,g,Avena Precocida BELL'S Bolsa,4.0,vivanda,BELL'S,AVENA ENVASADA
Avena Precocida Santa Catalina 250g,S/ 4.10,metro,AVENA ENVASADA,2024-12-05 15:09:00.019098,250.0,g,Avena Precocida Santa Catalina,4.1,metro,,AVENA ENVASADA
Avena GRANO DE ORO Hojuelas Precocidas Bolsa 370g,S/ 4.19,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,370.0,g,Avena GRANO DE ORO Hojuelas Precocidas Bolsa,4.19,vivanda,GRANO ORO,AVENA ENVASADA
Trigo Atómico Original Forte Golpe Bolsa 125 g,S/ 4.20,wong,AVENA ENVASADA,2024-12-05 17:36:09.719595,125.0,g,Trigo Atómico Original Forte Golpe Bolsa,4.2,wong,,AVENA ENVASADA
Avena Precocida Santa Catalina 250g,S/ 4.30,wong,AVENA ENVASADA,2024-12-05 17:36:09.719595,250.0,g,Avena Precocida Santa Catalina,4.3,wong,,AVENA ENVASADA
Avena QUAKER Tradicional Bolsa 200g,S/ 4.60,vega,AVENA ENVASADA,2024-12-05 11:41:29.179161,200.0,g,Avena QUAKER Tradicional Bolsa,4.6,vega,Quaker,AVENA ENVASADA
Avena BELL'S Bolsa 500g,S/ 4.70,vivanda,AVENA ENVASADA,2024-12-05 21:30:25.305646,500.0,g,Avena BELL'S Bolsa,4.7,vivanda,BELL'S,AVENA ENVASADA
Avena Quaker Tradicional 200g,S/ 4.80,wong,AVENA ENVASADA,2024-12-05 17:36:09.719595,200.0,g,Avena Quaker Tradicional,4.8,wong,,AVENA ENVASADA
Avena Quaker Tradicional 200g,S/ 4.80,metro,AVENA ENVASADA,2024-12-05 15:09:00.019098,200.0,g,Avena Quaker Tradicional,4.8,metro,,AVENA ENVASADA
